PortOfLading,PortOfUnlading,dist
132,17,1.2981677273554462
218,6,1.3059518169611692
127,46,1.283657050691545
169,44,1.268020345164197
218,63,1.2965721422806382
218,44,1.2863377497331905
48,6,1.3080047039049012
218,46,1.2973687574267387
48,50,1.301710539364389
246,10,1.3353110551834106
218,8,1.3071893118321896
246,46,1.2997183331670905
246,53,1.3114795330911875
48,46,1.2999190225132875
169,63,1.2786480746498066
246,44,1.289734654926828
218,51,1.2996343557855912
246,6,1.3082786605560355
169,51,1.2824465480100895
218,16,1.3053603329961854
246,63,1.299887192485455
246,50,1.3017620827470506
169,2,1.2838800218222397
233,44,1.2622562082750457
244,44,1.2629359093095576
48,51,1.3024563573833023
169,8,1.2899099153333478
218,31,1.3205879495612212
48,10,1.3357601942760604
189,44,1.2715936090265
244,63,1.2738532141915389
218,53,1.3098451159894466
235,44,1.2720673664339952
48,53,1.3134888602154595
218,50,1.2988094603642821
130,0,1.3639270045927592
64,8,1.2932235661095806
246,17,1.3124078990492438
169,6,1.2885977931187622
42,29,1.3177875471966607
221,17,1.3087134893451418
246,51,1.3031335203143368
48,63,1.298550831420081
169,17,1.2919230234942265
244,16,1.2844504144574915
114,51,1.3044033838169915
235,16,1.2916909408356463
218,17,1.3089481640074934
48,31,1.325157230719924
114,6,1.309880815978561
218,65,1.3510382260595049
74,44,1.268140788589205
235,17,1.293613733989852
169,31,1.3049227276018687
48,44,1.2890856791553753
169,65,1.3309379436873965
169,46,1.2796164154673793
114,53,1.313885827681848
94,53,1.2868458574770816
159,63,1.2866881351385797
235,6,1.2911415206534522
235,63,1.2825555210666997
218,2,1.3025357820359724
235,51,1.2873964022312845
218,10,1.3334463398371423
43,35,1.1996744743415289
94,17,1.2858736512384243
220,63,1.277483161006655
27,17,1.3068326913884707
194,31,1.253539569143738
32,50,1.2878374957612582
152,8,1.2874012938035386
152,46,1.2766507249325514
42,20,1.31108408421278
221,6,1.3044022337666579
243,53,1.3123047848099045
138,6,1.2939012039984976
246,2,1.3051675792251314
