ShipmentDestination,ShipperPanjivaID,dist
115,3118,0.9232622385025024
17,3491,0.8614395779690572
83,5788,0.9922749346920422
9,6030,1.0591699756415827
116,6808,0.8505333087274006
21,6847,0.9369083265108722
100,5627,1.006870751934392
83,5282,1.1227105297148228
81,4011,0.9522050294492926
54,790,1.0361113734543324
88,2547,0.9548129604331085
25,1859,1.0977684610656329
21,2509,0.8329621710082782
83,5342,0.9170055176530566
92,2678,0.8475622375096593
83,1220,0.9629579521050411
113,4204,0.8714756699545043
81,6531,1.0646089453782355
116,742,0.8583133311143943
83,4441,1.1060359520571572
89,4528,1.0414540145014013
21,3441,0.9810005096452576
17,3919,0.9911789550845113
23,5378,0.8824380502836513
81,2362,0.8929122050425836
35,2494,0.9586692415177822
116,6039,0.9464430444474731
116,2663,1.0728360499654497
116,332,1.0206152264560973
17,2126,0.9688267399157796
23,153,0.9586882644465992
9,6844,1.0346462348742145
4,2539,0.9163814101900373
83,1528,0.9704914055764675
81,6066,1.072257427232606
81,430,0.9276119066136224
89,2380,0.9627968232546534
9,3677,0.8501235395669937
81,1913,0.8597328306308815
59,4528,1.0194853938051633
23,1837,1.0962323871042048
17,5238,1.0069295147633446
81,4337,0.8139653285699231
25,3441,0.9515936662043843
116,4528,1.0516280505274023
81,5353,0.7882416902908257
116,1197,1.0357934044940131
116,6751,0.978808834616627
92,2174,1.0376189478806086
58,1115,1.0114396959543228
92,5926,0.8843954732375485
88,140,0.863186485001019
0,3980,0.8688320238143206
21,5736,0.9740891307592392
89,1837,1.0790077656773585
81,6657,1.0294030695222318
36,2426,1.0421825277486019
23,6891,0.8911088918269213
97,2389,0.9315916539302894
17,3472,1.012487811169454
50,5901,1.059564704341548
89,6808,0.8262064999767712
36,2225,0.8598252462356218
89,3520,0.9535444977560213
116,2281,0.8710509626128312
89,6844,0.9884827589350087
116,1528,0.9941690016005721
17,4010,0.972389997116157
81,5626,0.8701735787160162
88,2459,1.0105271523020096
89,2487,0.8539810409503323
81,6295,0.844151741558952
116,4344,0.9574579516691821
81,2390,0.9745816492608615
36,3645,0.939850326893585
88,4183,0.9264961800404957
35,3915,0.829709747007915
89,6812,0.9724962881633213
35,5834,0.8926013873091766
