ConsigneePanjivaID,PortOfUnlading,dist
2357,17,1.0119417285147523
1477,6,1.044578489448343
1692,46,1.0163116005382367
1329,44,1.0139010229281016
2287,63,1.0771826794371009
2225,44,1.1869839919464928
2562,6,0.883522955434663
1355,46,1.1818575417356831
2409,44,1.154348632852946
5658,63,1.069990106725267
2134,50,1.1334737044359957
5675,10,1.1005335252973185
1728,8,0.9094938786168184
4679,46,1.124740885304553
272,53,1.1508173612611634
3394,46,1.070093168477927
2812,63,1.0719566025904246
2963,44,1.0708149296364613
1619,63,1.0888114187068172
685,46,0.8939012619001525
409,51,1.038095488612141
5658,8,1.0782650557479687
5782,6,1.1027572679200344
1762,51,0.9990913836019379
183,44,0.9321424463497741
107,16,0.9649211753691945
2774,63,1.0667408571711607
3437,63,0.9627894256263971
4466,63,0.9268512768404824
1491,6,1.1105078923449452
5782,50,1.0946118409130057
5422,44,1.1674357854894228
1957,2,1.0230265826519047
5782,46,1.1038425624636667
2651,44,1.1926487830600567
1484,44,1.1247152132647378
2852,51,0.9551091220762048
1837,8,1.0376070961356163
132,44,1.1175990205790316
409,31,1.0341374246137482
4080,51,1.0603936346513885
2436,6,0.9860786417765277
3431,44,1.0773902466254575
3591,10,1.2271840343517917
409,63,1.0256108098796435
936,44,0.9791824083243098
3994,63,0.9286698949124131
1511,63,1.0911894897664232
1157,53,1.1674066835216113
1541,44,0.9804270182337079
3371,53,1.05517921410501
3264,50,1.295174241065979
2335,0,1.1593631082214415
1802,8,1.1332343273929186
2982,44,1.0707898905633815
4679,17,1.1310584444020475
2471,44,1.1186370551586151
1331,46,1.2009449856621879
1145,6,1.0452260436224086
5068,29,1.106692069077066
5782,51,1.1017353489462818
1899,17,1.1951454289789711
3731,51,1.1465858646801539
3770,63,1.163731910288334
1901,51,1.143350241439683
1145,63,1.0289153379521199
1265,6,1.1394518281200103
3098,44,1.1279881021806173
2850,50,1.0536005603415626
3365,44,1.0734243520668574
5078,63,1.0514463697160994
48,44,1.0264950204374534
1378,17,1.0725705096764224
5644,50,1.0350244186286415
1508,16,0.9881711449873235
4798,51,0.9689990814243045
5726,16,0.8937705598239388
5264,17,1.0139609553984232
1708,44,1.054285361564585
4734,63,0.8335732208298785
2834,50,1.1912212542125158
3423,6,1.1777110514896256
409,17,1.0415191352367401
5064,31,1.179551601409912
1565,8,1.0717048139444418
511,44,1.038637894205749
235,53,0.9794470742344856
5724,46,1.2556954489222594
1221,50,0.9434770263199296
2134,51,1.1270014664956503
5024,6,1.0675838057483946
5796,63,1.172393894355212
3101,44,1.0757514445909433
5782,44,1.0886732308593179
1108,46,1.1217375504119056
1513,65,1.0185683090239763
2348,46,1.1319215965590306
2069,17,1.0616924786674125
4009,44,1.088176272011229
1636,8,1.2040982022881508
1619,46,1.1012184952518769
5658,6,1.086944444870044
3564,17,1.1517054326832294
4108,63,0.96581026747091
530,63,0.9218871533604605
2225,53,1.2127715657864298
1775,6,1.0808501179729189
1631,44,1.158418354179178
3956,44,1.0599650549037116
2109,31,0.9757653256612164
5724,63,1.2369036738083585
4104,63,1.1828064317149776
3113,63,1.1287591730776643
4027,44,1.072231042597975
2440,6,1.0301426979047912
1289,46,1.1530240869947843
1918,63,1.1874152150537287
409,50,1.0251704763088907
1367,44,1.1221035229308265
1505,63,0.8219400588423014
1445,65,1.296597022430173
1447,44,1.0146379018468517
2836,51,1.1665636809276683
2707,8,1.0723867619609726
2667,44,1.029341375189168
1242,44,1.0200130417943
1394,44,1.2030373961648106
2428,44,1.053975347924279
5607,63,1.0253863957311427
2706,51,1.174360601830163
1507,44,1.162377561309508
2990,46,0.9493151227278369
2188,53,0.9700290337204933
1992,63,1.143863977066108
3585,50,0.9919291277016912
3395,44,1.049640017956595
409,8,1.0338460206985474
3787,17,1.085297035851649
2225,6,1.2169002257287502
671,53,0.9696910381317139
519,63,0.9629055890919906
618,53,1.1081577906651157
3507,44,1.2392328275101525
5724,44,1.236023445081498
3815,63,1.100744579469652
3300,63,1.1665102119690605
2533,6,1.211394585935133
1964,63,0.9014430631484304
29,63,1.0638200997907137
3815,44,1.0924783452813114
2250,63,1.1783362179994583
2254,44,1.0825821472597974
3317,10,1.0565360727320825
3378,63,1.1363623504127776
1126,51,0.9528248549572059
3618,53,0.9887943721509406
2396,63,0.9635942583637578
1765,2,0.9577528469796691
1475,51,1.1646607656564032
4082,10,0.958154526672193
3101,63,1.0706396092261588
761,63,0.8608804886628475
4452,17,0.9646099380084446
1394,46,1.2047448115689414
1450,35,1.324933949325766
5782,17,1.099019700295425
200,63,1.048262847321374
4464,17,1.096310606159802
3101,17,1.097117859204965
1653,31,0.8844093259956155
2305,8,0.9904193862208298
1326,46,0.9936245935303825
5782,20,1.1401222380144256
1619,6,1.1041804690446173
1303,6,1.1283751859196596
1957,17,1.0118154055838073
1748,51,1.1415209430935127
3517,6,1.1670066501413072
4513,51,1.1646628475614957
