HSCode,ShipmentOrigin,dist
94,57,1.312768395457949
91,21,1.330852213714804
83,21,1.3587964233011007
93,21,1.3254058925168855
88,21,1.3328369238546915
32,21,1.3534236765865768
89,21,1.326617335634572
54,21,1.3455637920913952
44,21,1.3320552983454295
94,21,1.3230581826397352
43,21,1.3825714705245835
90,21,1.3304171274815286
39,21,1.3614493696285146
33,21,1.3629337645002775
10,21,1.34568165156192
34,21,1.369854508233922
31,21,1.384751511471612
92,21,1.326587665293898
65,21,1.3466055755104338
72,21,1.3748226453151022
63,21,1.3590470334248883
42,21,1.3500773671216197
58,21,1.3625884396689278
88,55,1.3426343885200498
81,57,1.3184037176626069
62,21,1.3516426677150386
48,21,1.3702419559870447
52,74,1.3246966611061777
92,55,1.3373292389691673
76,57,1.3150263290320123
90,80,1.3328676425984927
93,47,1.3343397581151553
0,59,1.3102960876089387
93,101,1.3309330567717552
15,44,1.3340800005410398
93,80,1.3372098207473755
40,71,1.3483892897410052
65,20,1.3537207447391535
88,62,1.3369422134544169
88,64,1.34042891154864
92,112,1.3343083235834325
42,102,1.3285311598862921
96,102,1.3135667986103468
39,59,1.3481580189296178
93,112,1.3352135425167424
93,55,1.3358642384077288
93,83,1.3338442285146033
33,20,1.3586403323071343
10,71,1.3400079998453813
50,20,1.3590570760092564
1,114,1.299646140209266
39,84,1.3577796359147345
10,20,1.3486190406339509
94,40,1.312775898824579
93,99,1.3435085724507059
89,102,1.3081503095371383
23,41,1.319321352190205
39,109,1.358188615180552
93,50,1.3315154159707683
92,14,1.3274522902710097
44,51,1.3232081535139255
96,101,1.3318113099251474
88,80,1.3423682398029737
38,51,1.369800394134862
85,21,1.3637963815459184
92,64,1.3342549952545337
10,18,1.3495729153177567
26,64,1.3624058440327644
44,101,1.3344391254442078
15,18,1.3610433755176408
45,24,1.319970459810325
93,64,1.3346500803849526
96,70,1.3173439715589796
94,85,1.3211788801210267
93,60,1.344534806840654
96,75,1.3250645133001464
93,32,1.321914662207876
33,44,1.3458005764654704
89,112,1.3311015593686275
65,50,1.3470348321965762
63,101,1.3609638171536582
93,14,1.3269579990633897
50,12,1.3447539412549563
88,112,1.339988055505923
93,51,1.3190984055399895
44,102,1.3067681310432298
92,95,1.3401977834956986
15,41,1.316490042688591
94,95,1.333562148468835
92,51,1.3192360810935497
88,47,1.3414691888860293
10,34,1.3287686295807362
50,14,1.354065592142953
32,40,1.3371646691645895
91,55,1.3400481763694967
92,101,1.3323616907000542
61,112,1.3523497150412627
93,37,1.318077635552202
72,57,1.3231240467035346
54,14,1.3432791391387582
92,102,1.3150196863072259
54,99,1.3490741183715207
44,47,1.3382607586681843
26,14,1.3522242940962315
54,80,1.3467526364007167
23,14,1.3598470868808883
89,96,1.3294324039348535
10,14,1.3402844189799257
88,101,1.3385630090321814
88,105,1.3306580856442451
93,108,1.3100107067397662
32,95,1.355474565178156
31,64,1.3783502174275262
38,64,1.383032956293651
38,83,1.3492582816896694
88,30,1.3432675546833448
94,32,1.310260602406093
40,44,1.3450729923455842
93,81,1.336564991090979
42,101,1.3533714331154312
10,109,1.342606557333576
46,100,1.3047948168324572
93,22,1.3244499319366045
93,40,1.318986773956567
79,47,1.3688936355922903
58,20,1.3605105472462518
92,27,1.3342846600072724
54,47,1.353886883040624
94,70,1.3071658707090787
88,28,1.3238146198647363
39,31,1.3526516457454167
32,47,1.3617820496271764
61,50,1.3456469955188888
24,52,1.3087554488863264
75,21,1.3408472556620836
10,39,1.3434660522533315
51,44,1.326253740383046
10,83,1.3380956990378243
92,60,1.3432703232392669
92,81,1.3353664300271444
91,108,1.3118241344179427
89,47,1.3337926949773515
42,16,1.3282996889735972
92,80,1.3361302550349916
42,44,1.3394660684945328
65,61,1.3338877707719803
10,27,1.3438604697585106
58,84,1.3597525834505046
10,4,1.347017667921526
88,99,1.3476854743702071
40,20,1.3570462241768837
91,47,1.339767305978707
45,14,1.3426520961469837
26,21,1.3577798620930739
50,21,1.361683653401477
81,21,1.3439782849912132
86,21,1.373761037364602
79,21,1.365693389837231
61,21,1.3470357906605517
78,21,1.3779890750135695
70,21,1.3602248435573918
88,51,1.3255238474479742
65,46,1.3420601508447103
93,9,1.3235250392130442
89,64,1.330505269047405
39,20,1.3628973902336188
49,22,1.3150769956409931
96,47,1.3386490033673388
61,83,1.333664424185242
24,14,1.3494519128331117
42,51,1.3417282647320203
24,20,1.3520958524729525
62,50,1.3499371370832836
28,39,1.3113993954445635
92,93,1.3283859203968729
93,102,1.3152695000171661
20,1,1.3272848916905267
93,10,1.3179082572460175
81,101,1.3439767477767808
94,101,1.327188712145601
40,14,1.3552274076001984
45,51,1.3373547412588127
16,40,1.3383574272905077
89,50,1.3260004810456718
45,50,1.341817929010306
93,78,1.3336091052208627
91,40,1.3207426552793808
83,112,1.3601755191172873
88,96,1.3385265046464545
33,4,1.3518864187811102
65,47,1.3539803656084197
88,22,1.3258505974497115
96,64,1.3394379615783691
93,105,1.3284896367362566
65,109,1.3467781240386623
74,80,1.3442027874823128
39,18,1.369065122878445
91,60,1.3448303619931852
93,92,1.336729419018541
54,101,1.3499852759497506
94,55,1.3327200980857015
92,96,1.333603429475001
90,64,1.3358864409549693
13,23,1.3195815214088984
50,64,1.3654209399329764
94,112,1.3313103847737824
94,47,1.331910150391715
91,14,1.3336830546281166
81,51,1.3353805997009789
89,27,1.3235282844730787
10,66,1.3431596014249538
10,3,1.342942122902189
88,83,1.3358760103583336
93,79,1.317398528967585
96,21,1.3305605966597795
61,101,1.3476077344800745
82,21,1.3752360572772366
67,21,1.3782315626740456
45,21,1.34666055600558
14,23,1.3266097389693772
58,77,1.3325757550607835
91,37,1.3208284303545952
54,44,1.3387499184879874
42,10,1.3239601839865958
10,28,1.3291462787560053
65,70,1.3288701730115073
90,112,1.3355569413730077
45,64,1.3498483587588583
39,71,1.3554401922571873
96,109,1.3349626106875283
61,102,1.3170429223350115
81,95,1.3365648170667035
62,47,1.3576233291200228
62,14,1.3530599705741875
93,109,1.3291342338281018
51,40,1.346893121089254
65,14,1.3455915238176073
94,102,1.3091412346277918
33,112,1.3680709589804922
83,95,1.344899753374713
90,102,1.3116153739392757
34,14,1.3679330029657908
32,112,1.3598630508141858
45,27,1.3337362062718188
93,90,1.3168098788176263
93,19,1.327240523483072
45,70,1.3179306164383888
76,21,1.3629023219857896
64,47,1.3622827198622482
65,51,1.3393722996115685
94,100,1.3045724130102567
94,108,1.3021392705185073
88,108,1.3153409553425652
29,55,1.392704305904252
58,112,1.3680538194520133
90,55,1.342098324426583
93,28,1.3195510017020362
10,52,1.3159163727291994
41,44,1.3406803916607584
40,59,1.3432924060949258
14,14,1.3602009703006064
63,112,1.3642899803817272
93,96,1.3342516967760665
65,33,1.3387271900262152
36,40,1.3438506168978555
0,18,1.3630179965070315
65,101,1.350471732871873
92,47,1.335600305880819
62,51,1.3441961133586509
90,47,1.3380702574338232
7,21,1.3840230330824852
