ShipmentDestination,ShipmentOrigin,dist
115,57,1.2752108765499932
17,21,1.2566067520529032
83,21,1.2489807797329766
9,21,1.2573502909924303
116,21,1.2661757543683052
21,21,1.2581081204116344
100,21,1.267682556595121
81,21,1.2614896685949393
54,21,1.2837843362774168
88,21,1.2552217175917966
25,21,1.2591902112056101
92,21,1.257450026593038
113,21,1.2633694298565388
89,21,1.2500842716544867
23,21,1.2607866882213525
35,21,1.2479082149054324
4,21,1.2531906270555087
59,21,1.251471466251782
58,21,1.2843789838786637
0,21,1.292597076988646
36,21,1.2526246314602238
97,21,1.275229245956455
50,21,1.2719622802521502
121,21,1.2630013105060374
78,21,1.2937540709972382
104,21,1.276975394492703
115,21,1.2516284895661687
82,21,1.2779380019221986
8,21,1.3022880634026868
92,55,1.2469565346837044
60,57,1.2699138091078825
68,74,1.2944477104714938
36,55,1.2413057131426675
116,57,1.2890892592923981
88,80,1.260003691273076
81,47,1.2653551899961062
36,59,1.291068630559104
36,101,1.2500625695101917
59,44,1.283669461097036
21,71,1.2724439150520734
83,20,1.269553148320743
9,62,1.2697045228310995
41,80,1.2656818660242217
17,64,1.2547181695699692
92,112,1.2579071612230368
17,102,1.2900381673659598
4,62,1.2808405607938766
36,62,1.280296737594264
89,102,1.2836134082504682
17,59,1.2900571950844355
89,112,1.25142174746309
4,55,1.2430415930492538
88,83,1.294940683990717
4,20,1.2713013546807426
81,71,1.2803608317460333
81,20,1.2806624727589744
42,114,1.2792976978900177
116,64,1.2642432557685035
59,112,1.2523262889257498
97,62,1.2813152500561305
115,84,1.2826207647366183
23,40,1.2666454230036055
4,99,1.276380398443767
83,102,1.2841074711510114
21,112,1.2572989761829376
88,41,1.3022215738892555
92,109,1.2836403442280633
36,50,1.2505643431629454
17,14,1.2538506111928396
9,51,1.2553807465093476
23,101,1.2577789560226458
51,55,1.250131671982152
92,80,1.2578469163605146
116,51,1.2665571463959557
36,112,1.2552965240819114
89,18,1.246677344398839
116,101,1.2647313037887216
81,55,1.2519360706210136
36,20,1.2731316068342753
83,112,1.2525253338473183
99,64,1.2620601393282413
116,112,1.2675290677164281
83,24,1.2896537642393793
104,112,1.2706337007028716
59,64,1.24946764005082
115,112,1.2526393362454005
41,21,1.2834153743460774
81,112,1.26329762169293
25,64,1.2534807750156947
4,101,1.2543753245845437
41,40,1.2779628442866462
113,70,1.2957301597510065
36,85,1.29675277109657
41,60,1.281204671732017
36,75,1.2994453279035432
0,112,1.2778423205018044
83,32,1.2922023321901048
116,80,1.2691692869578088
63,44,1.2857897675463132
88,18,1.2528415152004786
83,80,1.2542743384838104
17,101,1.2555819850947176
36,64,1.252173409398113
21,14,1.2519222785319601
116,12,1.2881382693137442
100,112,1.2665364486830575
97,55,1.2645424593772208
81,62,1.2868861087730952
21,84,1.2830468948398317
103,101,1.3034947024924415
115,80,1.254362749201911
58,112,1.2776469316865717
14,55,1.2690600752830505
25,112,1.2566172214491027
25,20,1.2730761574847358
83,51,1.2503675648144312
116,102,1.2983825472848756
104,95,1.2939545810222626
63,55,1.2528618254831858
81,41,1.3058090401547295
36,95,1.2853933370539121
25,51,1.257031840937478
36,84,1.2861403971910477
21,47,1.2616973966360092
88,64,1.2536639917109693
36,34,1.2952319223965918
23,51,1.2608378162341458
83,101,1.2490364957068647
35,14,1.245782348726477
59,47,1.2559425277369363
17,40,1.2631337536232812
23,64,1.2575542793742247
50,101,1.272544561220067
113,112,1.2595719817493642
11,50,1.2709402314254217
17,62,1.2816830075212888
23,112,1.261754056704896
12,47,1.3008288347295351
50,112,1.2714303125228201
121,101,1.2594425177999906
88,112,1.256726206413337
99,55,1.2555479843701636
9,101,1.2550469412900773
35,112,1.2500216359538692
35,47,1.2516001324568475
100,55,1.2584482921021325
36,37,1.2802524343132973
92,57,1.2799092148031508
35,102,1.2839223252875465
36,99,1.2783976175955363
9,112,1.2529753356107645
45,101,1.2741924657353334
59,55,1.238170437514782
4,112,1.2549123976911818
51,50,1.2513215807931763
88,47,1.2596053374665124
115,51,1.251894201551165
36,14,1.251037145299571
36,47,1.2568338279213225
9,47,1.2600692978927068
21,80,1.256462654897145
89,14,1.2477994060942106
9,64,1.2516182070331914
59,96,1.2625169147338187
21,40,1.2591071724891663
17,112,1.257613655179739
21,64,1.2539174418364252
116,47,1.269894493477685
54,14,1.2796727908509118
36,105,1.29827361873218
36,108,1.2874919633780206
4,64,1.2532080326761519
25,14,1.2541857021195548
32,50,1.2751377480370658
109,95,1.2859933003783226
83,64,1.249528780579567
32,64,1.2745724767446518
41,64,1.2734585840787207
38,18,1.310777726982321
92,83,1.2931005678006582
21,30,1.2799480802246503
92,51,1.257477876331125
88,32,1.298090500491006
70,112,1.2664578333497047
81,44,1.2934478670358658
92,64,1.2549138159624167
