Carrier,PortOfLading,dist
165,132,0.8541844716694739
22,218,0.7664565603647914
108,127,0.792843656880515
172,169,0.7697942842330251
308,218,0.7622841021844319
304,218,0.7798649051359722
280,48,0.8058033770815071
253,218,0.804331973195076
368,169,0.7777217919273036
534,218,0.826602949361716
236,48,0.7992696852556297
245,246,0.7819812283539379
121,218,0.7736029449318137
345,246,0.8299127809171166
456,246,0.7616016077143806
399,48,0.8342115412067089
158,169,0.7816537927303996
244,246,0.765297429902213
33,218,0.7677700679217067
22,246,0.7626244638647351
236,218,0.7935859582253865
331,246,0.7849065201090915
293,169,0.9578773310141904
173,169,0.8725978170654604
368,218,0.776363375463656
399,218,0.8230887874960899
105,246,0.8128535162125315
392,218,0.8962307021554027
116,246,0.761883445084095
172,218,0.7718627208045551
336,169,0.767130476555654
590,218,0.7867022295083318
566,233,0.751712586431365
116,244,0.7739800906607083
59,48,0.7730713257832187
57,169,0.9534094437424626
511,218,0.7861259771244866
473,218,0.7699602211692503
572,218,0.8202968905014651
104,246,0.8074079677462578
393,48,0.8187053057232073
107,218,0.7650218212178775
292,189,0.8424465544521809
22,244,0.7777762870703425
497,235,0.7762626699571099
116,48,0.7731838045375687
22,130,0.7495421256337848
116,64,0.7619700341352394
450,246,0.7521663292178086
395,218,0.7567509366864604
59,246,0.7554163935461214
336,42,0.7360992075077125
456,221,0.7797952219843864
172,246,0.7650680845337254
247,48,0.7585805314593017
247,218,0.7500983431403127
109,218,0.7835515955729144
59,218,0.7610058965427535
373,218,0.7588500707809415
242,169,0.8365808113345078
67,244,0.8692838767809528
582,114,0.9071043282747269
499,235,0.7921170869043895
244,218,0.7732430728418487
566,235,0.7113986366561481
187,218,0.7528675060187068
104,218,0.8159437272697687
104,48,0.8186284476625068
456,218,0.7672280626637595
261,218,0.7993934745235103
28,218,0.7629626651427576
590,48,0.7906967055584703
121,114,0.7662689712430749
247,169,0.7499985398192491
336,218,0.7658075477395739
108,246,0.7977562488189766
532,218,0.7803433816879988
187,74,0.7631482455347266
247,221,0.7611192274572594
511,246,0.7823514555181775
16,235,0.868880036686148
542,246,0.7819240226451386
331,218,0.7917608775730643
261,246,0.793125889131001
450,244,0.7629277397479329
386,74,0.8613281329827649
304,169,0.7794790072366595
109,246,0.780285914295486
343,244,0.8216849155724049
116,218,0.7674441997494016
445,246,0.757067975721189
336,48,0.7750428529190165
292,218,0.8460230986986842
590,169,0.7862845894747547
304,48,0.7908930080011487
445,218,0.7638464807532728
492,235,0.8652400001883507
22,48,0.7771581509815795
107,246,0.7565212482253888
187,246,0.7487432903477124
395,246,0.7513436934511576
61,246,0.784781205867018
28,246,0.7575018134500299
253,169,0.8037466321672712
456,114,0.7581424085157258
247,246,0.7444562488900763
511,48,0.7962295604603631
399,246,0.8233008902253849
280,218,0.7946721919413123
59,94,0.7560777767960515
520,159,0.879077779927424
542,218,0.7898953860359532
322,218,0.7947246783546039
78,235,0.7871803337974208
456,48,0.7780922928026744
425,218,0.8266885248678071
109,169,0.7822147192034338
359,218,0.7727074000452246
373,235,0.7418119238157358
393,218,0.8088946754245886
322,48,0.8088641964963504
536,218,0.9465866615729672
517,43,0.8555260059822883
304,94,0.7737051123487098
172,220,0.8655096374984298
336,27,0.7615058860475463
373,246,0.7506348171071815
455,194,0.9001477690679687
336,32,0.7555952956900001
116,152,0.7545160276017019
245,152,0.772480169818404
33,221,0.7782183199056557
331,243,0.795420978218317
359,138,0.8318459670990705
304,246,0.7731440016733748
280,246,0.7872973273375204
236,138,0.8490948602557182
336,141,0.7746114432811737
172,114,0.7616311019020421
336,136,0.7442494743902769
116,126,0.7935201908860888
245,211,0.8108701600826212
473,231,0.8395339193354759
64,58,0.8356690888426134
304,221,0.7910558368478503
336,88,0.7670292006805539
245,98,0.8908333017357758
172,127,0.7539924702474049
245,53,0.7789757187877383
336,236,0.7814483437687159
304,42,0.7508597730525902
244,90,0.7735791167776499
116,89,0.8759015751337367
373,158,0.7845753873033183
245,235,0.7717792164268238
336,166,0.7775959192908236
116,114,0.7572866157362503
236,127,0.7754425342593875
373,243,0.7608186740960393
473,42,0.7453821115195751
280,221,0.8094142418371381
244,221,0.7871927682842527
172,237,0.7620783565299851
336,11,0.7914514589522567
172,174,0.7618549056351185
28,243,0.7722483514142888
336,72,0.7674402985721827
244,48,0.7768047639567938
336,188,0.7597799425212932
594,148,0.8320440237543413
584,237,0.7911282554268837
172,23,0.8028965698821204
116,169,0.7676231956907681
245,27,0.7811523573972019
236,141,0.8185062408447266
336,122,0.8405081678314933
33,138,0.8157095414187227
245,42,0.7557879421593887
590,10,0.8809512406587601
245,114,0.7815202961542776
304,155,0.8418416934353965
359,169,0.7761017169271197
336,238,0.8664196951846991
430,32,0.8044402812208448
116,243,0.7715779524296522
121,246,0.7701161594263145
116,27,0.7670909099813018
331,48,0.8006511233480913
107,169,0.7605192186310887
304,202,0.7751396000385284
245,148,0.8037296028009483
331,32,0.7925563082098961
594,130,0.7727851803813662
373,138,0.8082892037928104
373,237,0.7425874864150371
331,221,0.8042162592921939
172,202,0.7853182777762413
236,221,0.8078117578157357
172,221,0.7846672343356269
331,114,0.7827891978834357
61,127,0.7711481494562966
409,215,0.8000126417859325
59,42,0.7352590795074191
22,127,0.7508973388799599
130,246,0.7980690257889884
120,218,0.8130754455924034
456,243,0.7683659398130008
464,158,0.7796608656644821
