PortOfUnlading,ShipperPanjivaID,dist
17,3118,1.0892519072762556
6,3491,1.0769163135971342
46,5788,0.9413392999142941
44,6030,1.1272579809384686
63,6808,1.2450715989938803
44,6847,1.294796154967376
6,5627,1.1603816454964024
46,5282,1.0264275499752589
44,4011,1.1250977931278092
63,790,1.1513855225805725
50,2547,1.1773543714412622
10,1859,1.2447474150519287
8,2509,0.9530337043106556
46,5342,1.1277358793387455
53,2678,1.189692907501012
46,1220,1.0698410724954945
63,4204,1.0142189232366425
44,6531,0.9644846096634865
63,742,1.123517105954566
46,4441,0.9724306778184005
51,4528,1.0952022826032979
8,3441,1.1835576625806945
6,3919,1.172434636824099
51,5378,1.2107278662068504
44,2362,1.0066931629553437
16,2494,1.238022240144866
63,6039,1.1529020840036017
63,2663,0.8956474129642759
63,332,0.9792849985616547
6,2126,1.1753908111048597
50,153,1.1041736953359629
44,6844,1.1998580332313264
2,2539,1.1069512106478214
46,1528,1.2321210908038276
44,6066,1.1335875820368528
44,430,1.1468257989202226
51,2380,1.2971046130572046
8,3677,1.0787166612488883
44,1913,1.111239645097937
31,4528,1.0896631524498974
51,1837,1.1326829876218523
6,5238,1.0460193332816874
44,4337,1.124414908034461
10,3441,1.1939102235649313
63,4528,1.0873521122017078
44,5353,1.0651408428592342
63,1197,1.0151303351989813
63,6751,1.1653907913714647
53,2174,1.079010424869401
44,1115,1.1686729033078467
53,5926,1.0819412869002138
50,140,1.1657744743196028
0,3980,1.1235315959368433
8,5736,1.0170377572732312
44,6657,1.035453540938241
17,2426,1.1539351301533836
44,6891,1.1569812968373299
46,2389,1.1685317821268524
6,3472,1.048035962906267
29,5901,1.01474313970123
51,6808,1.2439432257254208
17,2225,1.2624483800360136
51,3520,1.0681491430316652
63,2281,1.1871831619313784
51,6844,1.1991268992424011
63,1528,1.2427752273423331
6,4010,1.0121601609779256
44,5626,1.0557596449341093
50,2459,1.0325112023523875
51,2487,1.154787995985576
44,6295,1.114435683004558
63,4344,1.1556257479158896
44,2390,1.194751791123833
17,3645,1.1114282066534673
50,4183,1.1233108200665032
16,3915,1.1265519298613071
51,6812,1.2077968354736055
16,5834,0.9336431106286389
17,3483,1.1963131193603789
44,2430,1.098196692764759
63,1912,1.0394732948126537
6,1107,1.2345984684569495
17,4528,1.09876495759402
31,2154,1.1091191694140434
8,5980,1.2551042565277644
44,2560,1.1194964186953646
53,2329,1.1040379899953092
46,4555,1.2839764223567076
50,1837,1.1405587354674935
51,2547,1.1736035142093897
6,6812,1.222031980752945
63,1216,1.191557228565216
44,2575,0.9548538883349725
44,1528,1.2423160411417484
46,1279,1.1773657989022988
65,4582,1.1778176977698291
46,6585,1.2372422931449754
44,1158,1.1892634950179075
17,6748,1.1170744065727507
44,1656,1.2483076740588461
8,4582,1.1615996328847749
46,742,1.1369473018816538
6,3441,1.1773091490779604
17,6135,1.1844453843576568
63,4337,1.1260361948183604
63,6159,1.0218156363282884
53,6844,1.2271055238587516
6,1622,1.1843257929597582
44,2231,0.9866224949115089
44,6248,1.1252291722755348
31,544,1.1148428964827741
63,3554,1.100710184446403
63,2181,1.030397577477353
63,6812,1.205942920276097
44,6886,1.1794587285257876
6,6039,1.170354681887797
46,6827,1.1367157833384616
50,4528,1.088302438280412
44,476,1.2746011444500513
63,3518,1.116659610066563
65,6847,1.3092931061983109
44,6630,1.1904885204774993
44,3439,0.9884979277849197
51,3644,1.2231794223189354
8,6647,1.1801871457802398
44,6406,1.0038304956895965
44,3958,1.1143559637878622
44,6825,1.1551332223628248
44,3875,0.9552915096282959
63,1271,1.235855513385364
51,2154,1.0976309978536196
44,5736,1.0156466726745879
46,2126,1.159673891163298
53,6812,1.2195764482021332
63,1490,1.102670163980552
50,6663,1.146974385849067
44,5533,1.0458820717675346
8,4528,1.095494186239583
17,1483,1.1008026104952608
17,5733,1.015715024300984
6,6844,1.227473116346768
53,3541,1.1195771800620216
63,6329,1.1036164813808031
44,3977,1.057073179100241
44,4779,0.9830054415589464
63,3643,1.1472954494612557
63,6438,1.074894708980407
6,6770,1.1186897426045366
63,150,1.222760576089578
63,3467,1.0653368580554212
44,3643,1.1444134903805596
46,2438,1.0763443328406928
63,5853,1.1074353185748416
44,1354,1.1361122382804751
10,5926,1.1044685297778674
63,2225,1.2447509723050254
51,942,1.0662129457507814
53,4240,1.0421508593218667
63,4569,0.8265332388026374
2,3318,0.9973602177841323
51,3765,0.9516487957111427
10,3467,1.0311690337423767
63,2309,1.150787491351366
63,2560,1.118455664121679
17,3622,1.0301998700015247
46,2187,1.2173069103487901
6,2281,1.1898613816925458
35,3433,1.3414505938334125
17,6658,1.1226151253961558
63,80,1.09480228195233
50,3683,1.2706762648054533
44,4190,1.1814959246133054
51,2187,1.2079912722110748
17,3625,1.1385044412953513
