PortOfUnlading,ShipmentDestination,dist
17,115,1.066055724663394
6,17,1.0482935969318663
46,83,1.0647901488201958
44,9,1.0659643997039114
63,116,1.0444271096161433
44,21,1.057479243193354
6,100,1.055341427879674
44,81,1.0523562942232405
63,54,1.0468254131930215
50,88,1.0559276885219984
10,25,1.0692376121878624
8,21,1.0384618427072252
53,92,1.0488481926066535
63,113,1.0507029167243414
51,89,1.062757354761873
51,23,1.047277984874589
16,35,1.0564925095864706
50,23,1.0455437174865179
2,4,1.042104881789003
8,9,1.0529857778123446
31,59,1.0475583970546722
44,58,1.0434944948979787
0,0,1.0121359346168382
17,36,1.0457641524927956
44,23,1.048839841570173
46,97,1.0697989240288734
29,50,1.0226405092648096
65,121,1.0810282501791204
44,54,1.0517888622624534
44,78,1.056687407195568
63,23,1.0429970164384161
63,9,1.0606098132474082
46,104,1.073124318250588
44,115,1.0700006282755308
44,82,1.0691637790628843
44,8,1.0305135643907957
63,60,1.043352149426937
35,68,0.946761035493442
20,41,1.0347695776394434
21,42,0.9408909162240369
62,115,1.062014518039567
17,23,1.0464601452861513
17,51,1.0648369640111923
56,99,1.058031610080174
45,113,1.0648987527404512
34,63,1.0206411161593028
51,104,1.0698568267481667
44,97,1.0715695843100548
6,103,1.0377813268985068
8,14,1.043020558144365
45,82,1.0479938185640745
6,113,1.047760654773031
53,11,1.0401100292801857
51,12,1.0708518849153603
44,45,1.074860212526151
53,51,1.0604439824819565
53,54,1.0428769130791937
17,32,1.036704411464078
44,109,1.0500506332942419
13,32,1.044668742588588
19,38,0.9475770422390529
53,70,1.0566468334623746
44,12,1.075682061720207
46,105,1.0661244291279997
53,23,1.0421675805534636
20,23,1.0704116895794868
51,113,1.0529008560947009
44,113,1.055739285690444
10,100,1.071177170744964
50,104,1.0679434293082781
50,85,1.0596472291009766
6,60,1.0371025523969106
63,109,1.0455194913915224
6,25,1.069423323231084
53,4,1.0388223177620344
8,116,1.0396737051861626
51,85,1.061253150658948
5,15,0.9357758387923241
17,54,1.0477182960936002
62,9,1.0618195980787277
63,104,1.068877898156643
62,25,1.072174500141825
44,52,1.0301025350178992
36,72,0.9529256831322398
62,113,1.0533948412963323
63,82,1.0629388956086976
50,32,1.0330141953059606
63,21,1.051401932324682
60,112,1.033351972166981
62,60,1.0387534584317888
8,104,1.0598749539681844
6,82,1.0592682425464903
63,107,1.0542330337422234
44,51,1.0675856279475349
51,32,1.035559746835913
63,58,1.0389175351176942
62,103,1.0369543890867914
58,105,1.0276835443718093
63,97,1.066044689289161
63,65,1.0611525502588068
6,9,1.058221582855497
17,78,1.0539346135088377
23,44,0.9557813996715205
39,75,0.9578585092510495
53,78,1.0497029338564192
16,23,1.0490882843732834
34,59,1.0505866983107157
50,58,1.0378314182162285
63,11,1.046276839716094
63,51,1.0621349971209253
51,78,1.0542082488536835
8,28,1.02093220608575
16,109,1.0517452753015928
63,110,1.0237744961466109
52,90,0.9645461943000555
40,76,0.9472905745995897
17,117,1.0195401284311498
17,11,1.0441416906458991
44,39,1.045418701001576
63,36,1.045850321650505
50,12,1.0665574576705694
53,58,1.0295412742665835
44,100,1.0657905883022718
50,8,1.024663935814585
63,39,1.0403376200369425
44,11,1.0516058536512511
44,107,1.0582014130694526
41,77,0.954601328553898
37,73,0.9378390059407268
65,70,1.0563510081597738
51,45,1.0723165534436703
44,65,1.0639105295496327
51,54,1.0496998482516833
17,71,0.9995162433811596
16,78,1.057226697249072
25,46,0.9302763268351555
63,45,1.069504034572414
51,51,1.0650447372879301
50,51,1.0630344556910651
16,71,1.0074442923069
44,60,1.0479425990155764
63,52,1.0269978195428848
44,103,1.052515344960349
51,109,1.0474036602037293
17,102,1.0102757694465774
6,22,1.019111488546644
17,50,1.0402487250311034
53,89,1.0604126368250166
17,109,1.0470311641693115
44,108,1.0270171090960503
44,14,1.0579040444322996
63,87,1.0203599269901003
6,52,1.0188446236508233
50,60,1.0437010356358118
16,45,1.0748032171811377
63,115,1.0644744890076774
63,28,1.0342521582330977
51,11,1.0480010445628847
44,104,1.073564859373229
17,100,1.0619491913488932
53,45,1.0662109504586883
44,70,1.0743324298943793
50,11,1.046089151075908
51,8,1.0258857884577341
44,57,1.026143525327955
17,41,1.033172179545675
9,23,1.071258123431887
17,58,1.035917905824525
62,22,1.017194272152015
17,45,1.0707508040192937
62,100,1.0611285737582616
20,6,0.9870544491069657
44,105,1.0677585592493415
46,88,1.0657361149787903
37,11,1.0561020587171828
63,100,1.0602838013853346
16,57,1.0255839973688126
63,103,1.0478354777608598
63,24,1.034523032605648
63,7,1.0273321537034852
17,6,1.005678000194686
26,47,0.9435824044048786
16,54,1.0527895838022232
63,105,1.0617462433874607
63,78,1.0522277365837778
63,8,1.0263376331755094
44,98,1.0390808465225356
6,59,1.046727989401136
16,14,1.0578861215284892
17,12,1.0743372711752142
43,80,0.9349450245499611
63,64,1.022314407995769
44,7,1.0309910689081465
44,56,1.0249777473509312
63,31,1.0170887133904867
65,103,1.0440980738827161
63,12,1.0719972204949175
16,32,1.0410398947341102
7,20,0.9289711357227394
44,19,1.0231656751462392
17,85,1.063607748065676
17,29,1.0245522686413355
63,108,1.0238645896315575
58,88,1.09055256058595
16,59,1.050409917320524
53,109,1.0425007322004862
56,25,1.085819885134697
16,50,1.0423611370580537
16,11,1.0482774153351784
44,25,1.0774431452155113
24,45,1.0609200993286712
58,27,0.9581957486058984
17,118,1.0264477112463541
17,103,1.045736117022378
16,51,1.067784998033728
63,32,1.0360959150961466
44,106,1.0304365562541145
16,4,1.0467502336416925
50,92,1.0569751422320093
28,49,0.9483618374381747
30,55,0.9497678173439843
50,45,1.06866724469832
23,59,1.0954688100942545
16,6,1.0133165940642357
63,5,1.0189592497689384
16,41,1.0386675521731377
59,108,0.9494095503219536
17,4,1.0430155247449875
17,10,1.0147550595658166
46,85,1.0706598040248667
17,24,1.0315374221120561
63,22,1.0334679665310043
46,100,1.0696093237825803
51,60,1.0448855747069632
63,14,1.0532048440405302
47,84,0.9336862713098526
16,29,1.031248309782573
34,23,1.0552741289138794
2,23,1.052242445094245
10,112,1.0464078709483147
63,57,1.0234898286206382
54,93,0.9274352810212544
4,11,1.0503535196185112
63,40,1.031385519674846
53,104,1.0656365060380526
32,60,1.0259723599467958
49,87,0.9396680859582764
46,32,1.0432429047567504
17,97,1.0691133556621415
6,112,1.0541847704776697
31,18,1.0107987714665276
17,18,1.0257672390767507
44,24,1.0381533141647066
1,2,0.9509395270475319
16,102,1.0186618374926704
53,32,1.0328221842646599
17,92,1.0552047224981445
16,115,1.0690503524882453
16,117,1.0227121806570463
17,88,1.0592937767505646
16,100,1.0649110664214407
16,21,1.0554054730704852
51,62,1.0274960483823503
15,34,0.9268460428076131
8,97,1.0589997172355652
63,4,1.041677058807441
63,30,1.0335325321980886
57,100,1.0933572362576212
63,66,1.0317036839468139
20,4,1.0667402307902063
8,83,1.052849407706942
63,19,1.0198612213134766
63,106,1.026715254145009
6,0,1.0650525212820088
16,103,1.0502271801233292
63,10,1.0194289279835564
17,98,1.0368975400924683
62,78,1.0502314482416426
16,92,1.0595551526972227
16,1,1.0290467462369375
16,116,1.0513438412121363
51,101,1.0219182393380575
50,54,1.0469650807125228
41,63,1.0673877660717284
16,95,1.0253143832087517
16,36,1.05051089823246
6,115,1.0624522981899125
