HSCode,PortOfLading,dist
94,132,1.2477139006368816
91,218,1.249816011105265
83,127,1.3099475226231985
93,169,1.259631525192942
93,218,1.2493925424558776
91,48,1.2473695927432604
88,218,1.2519758716225624
32,218,1.2767286790268761
88,48,1.2481965209756578
89,246,1.2795867494174413
54,218,1.2625667984996523
93,246,1.2731873275978225
93,48,1.246269163276468
44,169,1.2736429923347063
88,246,1.2752652594021388
94,246,1.2858731980834688
94,169,1.2725251987576485
43,218,1.316232870732035
90,218,1.2516521529427596
88,169,1.2618278743965285
93,233,1.2554124903732113
93,244,1.267466314136982
39,169,1.2753599371228899
33,218,1.2711852533476693
32,48,1.2745655157736369
93,189,1.2678608106715339
93,235,1.2553269926990782
10,130,1.242975292461259
93,64,1.261358532522406
93,42,1.2729474465761865
94,218,1.2623144100819315
88,221,1.2561157739588193
54,48,1.26000853734357
34,218,1.2873235387461526
88,114,1.2641885802149773
31,235,1.3060143377099718
39,235,1.2678587489894457
54,114,1.277872262256486
91,246,1.2745423370173998
92,74,1.2824014510427202
93,221,1.2534055496965135
65,48,1.256741569510528
72,169,1.3299833514860697
63,235,1.2765972252402986
90,246,1.2727228520171983
42,169,1.288443569626127
93,114,1.2625317435179437
58,218,1.274762858237539
88,94,1.2668305103267943
81,159,1.2642337179609708
63,48,1.267223366669246
62,246,1.2927360108920507
48,169,1.3214808340583528
65,235,1.2650330268910952
52,43,1.2073822617530823
92,94,1.269804903439113
76,220,1.2785841886486327
90,48,1.2461382927639144
0,27,1.3006835345711028
15,194,1.2613757284624236
93,32,1.2429867908358574
40,152,1.2986120879650116
65,152,1.2806759519236428
92,243,1.2630866723401206
42,138,1.266072497836181
96,138,1.2460158605660712
39,141,1.2553652258855956
93,136,1.2662081228835242
93,126,1.2575364389589854
33,211,1.2594133578240871
10,231,1.2677958197891712
94,48,1.2578976133040018
50,32,1.250667657170977
1,58,1.2196412996522017
10,88,1.2646173632570676
94,42,1.2836375034281187
93,98,1.2673922681382723
89,127,1.2756140402385168
92,53,1.257306004209178
23,236,1.3046613591057914
39,42,1.2877884092075484
93,90,1.2664048091641493
62,89,1.2354546646986688
93,158,1.2789072969130106
92,166,1.2692445644310542
44,114,1.2773946800402232
96,127,1.274104474910668
93,243,1.2603888628738267
88,42,1.2776921253119196
38,127,1.3057044254881995
92,221,1.2580503704292434
85,218,1.2992256241185325
10,237,1.2746188789606094
10,11,1.251003990748099
93,127,1.2690107439245497
92,174,1.2501811278717858
26,243,1.2859006013189043
44,246,1.2870816588401794
15,237,1.3111667186021805
45,72,1.2568003040339266
92,48,1.2503353921430451
93,188,1.268206387758255
93,148,1.2630453087123377
92,42,1.2777646748082978
93,23,1.265913849496948
89,169,1.2673389006938254
96,27,1.2525863788489784
94,141,1.2569942506296294
93,27,1.2456249445676804
96,122,1.2872346055061956
93,138,1.248329299901213
33,11,1.2404579456363405
10,10,1.2477682775684766
92,114,1.2667560683829444
89,114,1.268273623926299
65,155,1.2946631175332837
63,169,1.276798591017723
92,126,1.2603711975472314
93,238,1.2419892751744814
88,243,1.2608170828648977
39,27,1.255779752773898
88,202,1.2478180208376475
88,148,1.264900075537818
33,32,1.2499642659510886
88,130,1.2237408971081354
44,138,1.2454605123826437
92,169,1.2641774117946625
15,32,1.2826824826853616
94,114,1.274908380849021
39,202,1.2502282527940614
88,64,1.2621513637048858
10,27,1.258367302694491
50,215,1.2558815040226494
32,42,1.2986287432057517
