ConsigneePanjivaID,PortOfLading,dist
2357,132,0.9221458421753985
1477,218,0.7600326715369842
1692,127,0.8385655550020081
1329,169,0.8510505072772503
2287,218,0.7382007390260696
2225,218,0.7575876489281654
2562,48,1.0669107948030745
1355,218,0.9140514907027993
2409,169,0.6168833300471306
5658,218,0.7884356166635241
2134,48,0.8868721811366933
5675,246,0.9145061219377177
1728,218,0.9818811234352844
4679,246,0.7823897727898189
272,246,0.8237442658948047
3394,48,0.8653290803943362
2812,169,0.7695279238479478
2963,246,0.8319994722093854
1619,218,0.7630771813648087
685,246,0.7778753526508808
409,218,0.8320328832737037
5782,246,0.6455355754920414
1762,169,0.9986206207956586
183,169,0.7688411386583799
107,218,0.8994457984476217
2774,218,0.7544324753273811
3437,218,0.8945268457755446
4466,246,1.1140608776892935
1491,218,0.7539231221058539
5422,218,0.6593166195920536
1957,169,0.7826588413278971
5782,218,0.6485261257205691
2651,233,0.6944619076592582
1484,244,0.596349835395813
2852,48,0.9979208001334753
1837,169,0.9024825974234513
132,218,0.8347563413637025
4080,218,0.7840466180018016
2436,246,0.9975585825741291
3431,218,0.7844709381461143
3591,48,0.6055474260023662
936,189,0.8244881236127445
3994,246,1.0044965139989341
1511,244,0.7398791342441525
1157,218,0.7373251590345588
1541,235,0.798769459394472
3371,48,0.8687686984028135
3264,218,0.6906602872269494
2335,130,0.7686743470174926
1802,64,0.7690816905648846
2982,246,0.7027318286044257
2471,218,0.7655207003865924
1331,246,0.7144245771425111
1145,169,0.7222762924752065
5068,42,0.7124310146485057
1899,221,0.8854297372911658
3731,246,0.7655202874115535
3770,48,0.7985837628532734
1901,218,0.89394546938794
1145,218,0.7058037279972008
1265,218,0.6815955628241811
3098,169,0.731398457395179
2850,218,0.8292404349361148
3365,218,0.7881502949125466
5078,218,0.8606463290218797
48,218,0.9995446694748742
1378,169,0.7587350463228566
5644,246,0.8381645434669086
1508,244,0.9933979921042919
4798,114,0.8797811796622617
5726,235,0.8699133472650179
5264,218,0.9265637866088322
1708,235,0.8290063156081098
4734,169,1.0631549156137876
2834,218,0.7786342677261148
