HSCode,PortOfUnlading,dist
94,17,1.174419799021312
91,6,1.1719170532056264
83,46,1.155589566699096
93,44,1.1893977097102575
93,63,1.1822461869035448
88,46,1.188109272292682
32,63,1.1670108778136117
88,50,1.1834347695112228
89,10,1.1774844197290284
54,8,1.166159721357482
93,46,1.189061965261187
93,53,1.1770904958248138
44,63,1.171105016555105
88,44,1.1894478116716658
88,63,1.1826176515647344
88,51,1.1817072480916977
32,8,1.1639721446803637
94,6,1.1788359518562044
94,51,1.1776926687785558
93,16,1.1755192237240928
43,63,1.141260877251625
90,63,1.1866173041718346
54,6,1.1682815849781036
88,2,1.1814475442681993
93,51,1.1824127350534712
39,8,1.1662139402968543
54,44,1.175947510770389
88,31,1.1694919019937515
93,6,1.1839210901941573
33,44,1.1633802907807487
32,10,1.1554929741791315
88,53,1.176867282816342
10,0,1.1398671120405197
93,8,1.1817784926721029
93,17,1.1790302672556467
93,29,1.1734894780176026
88,17,1.1789808060441698
54,63,1.1691552251577377
32,6,1.1658107010381562
32,50,1.1677920850259917
34,44,1.1576010286808014
93,50,1.1843192151614599
31,16,1.135738919888224
39,44,1.177046503339495
93,31,1.1711550248520715
88,8,1.1811471304723196
32,44,1.1733658420188087
91,46,1.1768465212413244
88,65,1.1563095014010156
92,44,1.1915133105857032
39,17,1.1651097216776438
94,63,1.1776648397956575
39,31,1.1541478314570017
65,44,1.1713612441505705
93,65,1.162268151129995
72,44,1.1495643822210175
63,44,1.158195668033191
42,46,1.1685906361256326
58,44,1.166132926940918
88,6,1.1833232236760003
81,63,1.1579747423529625
39,6,1.16897280727114
62,44,1.1640215132917677
88,10,1.174420720764569
48,51,1.1376932635903358
93,2,1.1839802243879862
65,51,1.1650662017720086
93,10,1.1779143788984843
52,35,1.0642492776470525
92,17,1.1813548335007258
76,63,1.1518504587667329
90,50,1.1868470758199692
0,17,1.1481450104287692
15,31,1.1224175656347402
40,8,1.149781492139612
65,46,1.1710932744400842
93,20,1.1819351336785726
92,53,1.1786646417209081
42,6,1.1625042845095908
96,51,1.1705829117979323
33,2,1.1506113016179629
10,44,1.1750320760267121
50,44,1.1684535411851746
1,21,1.0385465680821133
39,62,1.164823170219149
10,2,1.166949413716793
89,46,1.1926031389406748
92,8,1.1834198172603334
23,50,1.1458510437182017
39,53,1.1617635733314924
92,6,1.1855927897351128
44,44,1.1778909074408668
38,63,1.154011260185923
85,17,1.1460781970194407
10,51,1.1675269582441874
10,17,1.1633116326161794
92,56,1.1722637840679713
26,6,1.1621691435575485
15,51,1.14029026137931
45,46,1.170796126127243
92,46,1.190874851175717
93,62,1.180536463856697
92,20,1.1816777884960175
89,50,1.1870551577636175
94,20,1.1752346828579903
96,45,1.1458859262721879
96,17,1.1693712919950485
93,0,1.1640557742544584
33,34,1.1438854507037572
10,50,1.169109189084598
89,51,1.185463153890201
65,17,1.160683172089713
63,6,1.1520348191261292
50,63,1.1621546394058637
88,62,1.1792679918663842
92,10,1.1770038775035314
33,10,1.144321756703513
88,45,1.1506663699235236
92,51,1.1839703002146311
93,34,1.180473463875907
15,44,1.1498467634831155
92,50,1.186012021132878
50,16,1.1547075510025024
92,63,1.1845329531601496
96,29,1.1612597980669566
92,29,1.1739775740674563
91,56,1.1603900364467077
88,16,1.1762922193322862
61,63,1.1432146802544594
72,53,1.1328333807843072
92,16,1.1782509620700563
54,17,1.164155438542366
92,2,1.184504651597568
44,50,1.1730304999010903
91,50,1.1735051338161742
26,17,1.1577213129826955
91,63,1.171340020639556
50,6,1.1599431761673518
23,51,1.1449576914310455
89,31,1.172325726066317
10,8,1.1650815457105637
92,31,1.1722894992147173
31,46,1.1447799179170812
93,13,1.1699859244482858
38,20,1.1238676288298197
10,19,1.1357173674872942
38,53,1.1416943573525973
94,50,1.179437899163791
40,44,1.161669749234404
10,62,1.1629753421459879
42,63,1.1637867646557944
10,46,1.1714446651084083
46,53,1.1443701769624437
92,0,1.1613086823906218
79,46,1.1446169391274452
58,62,1.153810822537967
94,31,1.165813535451889
39,63,1.1705164930650167
26,46,1.1675173448664802
88,34,1.1779331117868423
