PortOfLading,ShipperPanjivaID,dist
132,3118,0.9010176711848804
218,3491,0.7680186288697379
127,5788,0.945369319458093
169,6030,0.8635493806962456
218,6808,0.8418490854757172
218,6847,0.80333040867533
48,5627,0.7999459272250533
218,5282,0.8099956874336515
169,4011,0.7835983280050901
218,790,0.859671454344477
48,2547,0.888945661219103
246,1859,0.9070269220641681
218,2509,0.8767856088067804
246,5342,0.9370595951165471
246,2678,0.8599266118503043
48,1220,0.829951145353594
169,4204,0.8482200865234647
246,6531,0.9990788386868579
218,742,0.8277171679905483
246,4441,1.0008889503244842
218,4528,0.8948210328817368
218,3441,0.7456876007573945
246,3919,0.7582007508192744
169,5378,0.9313778994338853
169,2362,0.8718068530516965
218,2494,0.8423563441860357
218,6039,0.8232174638126578
218,2663,0.8849569974201066
246,332,1.0040508678981237
218,2126,0.7418276710169656
246,153,0.8197339826396534
218,6844,0.7319062235099929
169,2539,0.8897378817200661
218,1528,0.8158067299851349
233,6066,0.7794216807399478
244,430,0.7116500618202346
48,2380,0.9463704042136669
169,3677,0.8161613416991064
218,1913,0.802756801779781
218,1837,0.9198827903185572
246,5238,0.7647099015968186
218,4337,0.859811526656683
48,3441,0.7539364948336568
189,5353,0.7858244106173515
246,1197,0.8667218099747386
244,6751,0.8658268840185234
218,2174,1.0989035147109203
235,1115,0.7906728567821639
48,5926,0.750134598995958
218,140,0.7923046073743275
130,3980,0.8703911664030913
64,5736,0.9291407891682216
246,6657,0.8822703497218234
246,2426,0.873114749789238
218,6891,0.7858711000798004
246,2389,0.7688295277101653
169,3472,0.8427132128604821
42,5901,0.9766637065580913
221,2225,0.8428316305258444
246,3520,0.990327388048172
48,2281,0.7510655117886407
218,4010,0.8328450447214502
169,5626,0.8132491792951312
218,2459,0.8233678394130298
246,2487,1.0394313048039163
218,6295,0.7829926854797772
218,4344,0.9263460077345371
218,2390,0.8232109474816492
169,3645,0.8215695146604308
246,4183,0.9315625306751046
244,3915,0.8281673969967025
114,6812,0.8475384797368731
235,5834,0.8039358066162094
218,3483,0.9565061743238142
235,2430,0.8885175897074598
169,1912,1.072615955557142
246,1107,0.8108121146048818
48,2154,0.9797639836158071
218,5980,0.7199031029428754
218,2560,0.719932533800602
218,2329,0.979509336873889
246,4555,0.786010704868074
169,1216,0.7581044520650592
246,2575,0.9021472781896591
246,1279,0.8320587266768728
218,4582,0.9238722715526819
246,6585,0.6491799785622528
74,1158,0.7770617247692176
221,6748,0.9644971665527139
246,1656,0.923323890460389
235,6135,0.7665365005710295
246,6159,1.022964611117329
246,1622,0.958810105919838
