Carrier,PortOfUnlading,dist
165,17,0.9941857494413853
22,6,1.0987714592899596
108,46,1.0712576870407378
172,44,1.0711556651762553
308,63,1.1095297113060951
304,44,1.058660898690245
280,6,1.0691967473498412
253,46,1.0505725416753973
368,44,1.0778397672942706
534,63,1.0480783943619048
236,50,1.0862105041742325
245,10,1.0946849903890066
121,8,1.0786389676587922
345,46,1.0305190772882529
456,53,1.1060860731772013
399,46,1.0608142635651998
158,63,1.0870980487338133
244,44,1.0847498050757818
33,63,1.0626957523303904
22,46,1.083699466926711
236,51,1.0871830827423505
534,8,1.0460840059178216
331,6,1.0857743663447244
293,51,1.010142752102443
173,44,0.9977667910446014
368,16,1.0826759753482682
399,63,1.0711762011051178
105,63,1.0221068414726429
392,6,1.022719835330333
116,50,1.0805183313786983
336,2,1.078784697822162
590,46,1.0720468099628175
566,44,1.0618686388645853
116,44,1.0737203881144524
59,51,1.0767236012699348
57,8,1.020931309621249
511,44,1.0714846242751395
473,31,1.0962404268128532
572,51,1.0591918786189385
104,6,1.0595247828002488
22,44,1.0848531488861357
393,10,1.0577138045004435
107,63,1.0627028016107423
292,44,1.0368584266730718
456,63,1.0993018501571246
22,63,1.0917084493807383
172,53,1.086579677249704
497,44,1.0486076644488744
116,53,1.083017743059567
511,50,1.079858124256134
22,0,1.1533639837455536
116,8,1.0797009329710687
450,44,1.0586418200816428
345,17,1.0327171856271369
395,44,1.066015705499532
59,46,1.0676460109118904
336,6,1.0695732214621134
336,29,1.0929535180330276
172,51,1.0806883701256342
456,17,1.0998569365058626
247,63,1.1033754348754883
247,51,1.1068202118788446
109,6,1.0641510167292185
59,50,1.07398157789638
331,51,1.0786260504807745
373,63,1.0943005031773023
399,44,1.064279489751373
242,17,1.0366668602717775
67,16,0.982397490314075
582,51,1.033440429185118
499,16,1.0495538828628403
244,17,1.0938285823379243
187,50,1.078946283885411
456,6,1.1042447558471136
104,17,1.055048145353794
104,31,1.065461819592331
456,8,1.1019069531134196
261,44,1.0803661101630755
22,53,1.102202289870807
28,50,1.102968819173319
590,51,1.081430050943579
121,6,1.0776735113135405
336,44,1.0567059421113558
532,65,1.0704846722739083
187,44,1.0691652878054552
247,17,1.1052643358707428
22,8,1.098871294941221
33,46,1.0546345484576054
534,6,1.0458389797380991
16,17,1.0418926063658935
542,63,1.108140447310039
331,53,1.0864264496735163
261,6,1.0905774406024389
386,44,1.0276984529835838
304,31,1.082667746181999
511,63,1.078720085322857
109,63,1.054022915661335
343,44,1.027091802230903
116,46,1.0737711074096816
445,63,1.0914346682173865
107,50,1.060290902853012
292,63,1.0431459354502814
590,65,1.1388856220458234
158,44,1.079224111246211
445,51,1.0914412375007356
368,8,1.0900809073022433
492,44,0.9695565870829991
107,44,1.0552036794168609
395,63,1.0714878024134253
61,51,1.0904713685491256
28,44,1.096171096499477
59,44,1.066618796753963
104,8,1.0637576111725398
399,17,1.0673968456685543
280,17,1.0637237206101418
59,53,1.0788638961634465
520,63,1.0110221356153488
322,63,1.0893025653702872
78,6,1.0463216762457574
542,44,1.1001827301723617
331,46,1.0686610415577888
116,10,1.096252606915576
425,63,1.1243875904807024
109,51,1.0550511378262724
359,53,1.090503554791212
393,2,1.0668072285396712
373,51,1.0970812940171786
511,10,1.088830006974084
536,63,0.9973282154117312
244,46,1.0850625282951765
517,35,1.0439464024135046
304,17,1.0602783552104873
172,63,1.0780021425868784
304,50,1.0630121842425848
336,17,1.0593523329922132
373,17,1.0943181387015752
455,31,0.9785942499126706
336,50,1.0627499563353402
245,46,1.069935301584857
373,44,1.0881088354757853
336,20,1.095960755433355
33,6,1.067921459408743
359,6,1.0872371941804886
304,2,1.0782106869987078
245,2,1.0934958117348808
473,44,1.0717441088386945
64,21,0.9990193811910493
336,62,1.063334879066263
172,46,1.0721896716526575
245,8,1.0765492458428656
304,53,1.0676195028104953
245,63,1.077086596616677
373,53,1.0993230449301856
473,53,1.0850973927548953
172,17,1.0802000665238924
244,6,1.0970805542809623
244,63,1.090978171144213
172,56,1.1079891020698207
28,6,1.1063763446041517
336,46,1.0555445009044238
33,62,1.0664333546135043
594,17,1.0567533445677586
584,51,1.0518489565168108
331,10,1.0866291001439095
172,2,1.096144638955593
245,45,1.125796799148832
236,17,1.0865333037717002
116,0,1.1474475083606583
336,34,1.0792976777468408
590,50,1.0774310300392764
245,17,1.0723061252917563
590,63,1.0796836726367474
116,17,1.077487774193287
336,8,1.0629276537469454
430,63,1.0321042904896396
121,44,1.0646996649780445
172,6,1.0841035305389337
304,62,1.064947753778792
594,45,1.0983449848634856
61,63,1.0890481961957579
409,16,0.9912115633487701
105,31,1.0367017526711737
59,6,1.08051702307005
130,44,1.0813396594354086
120,29,1.0355775984270232
464,53,1.1050914408905166
40,6,1.0943245887756348
26,17,0.9799260773829052
187,51,1.078507914607014
136,17,1.0509820160056864
187,29,1.1130244668040956
233,62,1.0984619852554585
542,65,1.15708654719804
368,10,1.095403874559062
395,50,1.0710571390975798
4,56,1.0924654954246111
247,16,1.1027203212891306
253,63,1.0554064809610801
296,6,1.0810698260154044
187,53,1.0883653738668986
208,8,1.0768741492980294
497,17,1.0566267142338412
578,63,1.1108259739620345
469,34,1.0884369643671172
483,31,1.0371647317494666
253,2,1.0723592660256795
412,62,1.0012705070631844
456,10,1.1042096699987138
247,50,1.104026235640049
399,50,1.0682253294757433
477,17,1.0659163051417895
413,62,1.069048387663705
48,17,1.0620953618947948
438,17,1.038666490997587
253,44,1.0480958024439002
233,63,1.0960591762725795
187,63,1.075850906116622
586,8,1.071232364646026
40,17,1.0914124186549867
594,6,1.0676752291619778
367,51,1.012680362377848
247,44,1.0962213586483682
61,50,1.0892507799768023
40,10,1.0836945144193513
142,31,1.0754106348114354
77,8,1.0807846058160067
505,29,1.1135174318083696
368,17,1.085232814507825
59,8,1.074820687861315
404,8,1.0851341933012009
158,8,1.0932860555393356
253,8,1.0619772028710162
456,31,1.1158298637185777
511,53,1.0905593942318643
512,17,1.0050053766795568
404,10,1.0922409780323505
61,17,1.0913053208163805
447,17,1.0281888054949897
368,13,1.195769082222666
452,20,0.9415682852268219
454,19,0.9386538735457829
77,53,1.086755050080163
321,63,1.0466826526182038
308,53,1.1198145151138306
245,62,1.077046284718173
368,63,1.0828420296311378
473,46,1.0691783279180527
336,53,1.0675584684525217
447,0,0.984712507043566
245,34,1.0981753851686205
499,51,1.0451750358832734
245,51,1.079233715576785
469,46,1.0615381300449371
410,46,1.0219416150024958
594,51,1.0635422987065144
473,62,1.081477356808526
445,44,1.0840445373739516
121,63,1.0720983666500874
543,8,1.0469306451933724
336,31,1.0802062185747283
109,16,1.0544586780347995
404,53,1.0875680510486876
116,31,1.1020780854991503
40,63,1.089464389852115
445,50,1.087965345808438
406,6,1.0245972741395235
464,17,1.1038944401911326
186,44,1.0123114053692137
485,44,1.0842779182962008
304,34,1.0841548240610532
33,31,1.0824785535889012
22,17,1.093313251222883
359,17,1.080874812390123
247,6,1.1101240877594267
233,44,1.0861877942723888
178,17,1.0485012073601996
280,44,1.0551035840596472
430,34,1.0222736671566963
136,34,1.0583172030746937
59,63,1.0729469855515552
84,17,1.0371038285749299
83,20,1.021387483392443
336,0,1.1327424384653568
86,62,1.0059938398855073
121,46,1.0645170956850052
473,8,1.077650519354003
541,20,1.0279809811285563
456,46,1.0900320283004217
505,46,1.0882243471486228
130,63,1.087489705000605
371,63,1.0408580743242055
49,44,1.0535960442253522
532,51,1.0131062780107771
590,44,1.0733693673142366
173,63,1.0088971711894763
