HSCode,ShipmentDestination,dist
94,115,1.3189882306115968
91,17,1.3320833263652665
83,83,1.3500984268529075
93,9,1.321113075528826
93,116,1.3133277595043182
93,21,1.3097108352397169
91,100,1.317888738853591
88,83,1.3247683803950037
93,81,1.3208742141723633
32,54,1.3078042311327798
88,88,1.3203238514917237
89,25,1.307612651160785
54,21,1.3166606426239014
93,83,1.3226964963333947
93,92,1.3081934760723795
44,113,1.341461572263922
88,81,1.3227478946958269
88,116,1.315205851835864
88,89,1.321066259273461
32,21,1.313537554017135
94,17,1.323070767734732
94,23,1.3204613870808057
93,35,1.3093074155705315
43,116,1.337737314403057
90,116,1.3286934260811125
54,17,1.3241491945726531
88,23,1.316007714186396
88,9,1.3206236639193125
88,4,1.3258647280079978
93,89,1.319898868245738
39,9,1.3134691310780389
54,81,1.3282974532672338
88,59,1.3044836797884531
93,17,1.315628347652299
33,81,1.3317962086626463
32,25,1.3066823546375548
88,92,1.3098026918513435
93,58,1.3050289558512824
10,0,1.2861023098230362
93,36,1.3127909685884203
88,97,1.3005251330988747
93,50,1.3090673674430167
94,89,1.3270301052502222
88,36,1.3150453642010689
54,116,1.3209706842899323
32,17,1.3217205277511053
32,88,1.3248204652752196
34,81,1.3377648230109895
93,88,1.318680641906602
31,35,1.3362122944423132
39,81,1.3142509066632815
93,113,1.3300209056053842
93,59,1.3024369009903498
32,81,1.3249158327068602
91,83,1.3378221222332545
88,121,1.299543634057045
92,54,1.3086216364588057
88,21,1.3108844815620355
39,36,1.3102022962910789
93,78,1.3068864792585373
92,81,1.3206851524966103
39,59,1.2993732978190695
91,104,1.32827540487051
65,54,1.300968661904335
93,121,1.3035772059644972
72,115,1.3478811127798898
63,82,1.2913859044866902
93,8,1.3206500645194734
90,113,1.340889545423644
42,83,1.331899764282363
58,81,1.3297864028385706
88,17,1.3170166611671448
81,60,1.3048434321369444
63,81,1.325491494366101
88,113,1.3294221854635648
39,17,1.3099792152643204
88,104,1.312162505728858
62,81,1.3243186441915376
88,25,1.3007995624627386
48,89,1.3493843653372355
93,4,1.3251434788107872
65,89,1.314750927899565
93,25,1.3015641591378622
32,116,1.317212673170226
52,68,1.2407070036445345
92,36,1.3133845350572042
76,116,1.3410318451268333
90,88,1.3338737870965685
0,36,1.348529883793422
15,59,1.3371490836143494
40,21,1.311486579344741
65,83,1.317330253975732
93,41,1.3215172120503016
92,92,1.3076606744102068
42,17,1.3245416624205453
96,89,1.3389120719262533
33,4,1.3383508686508452
10,81,1.319646669285638
50,81,1.3163751704352242
1,42,1.2095440099281924
39,115,1.308094424860818
10,4,1.3268807721989495
89,83,1.3319056715284074
92,21,1.3092122354677744
23,88,1.3235773614474706
39,92,1.3028048021452767
92,17,1.3151016512087412
44,9,1.333734197275979
96,23,1.3326858473675591
93,51,1.304435595870018
38,116,1.3161287627049856
85,36,1.343008156333651
10,89,1.319001195686204
10,36,1.3146392713700021
92,99,1.295966503875596
26,17,1.3178646000368255
44,116,1.3306225346667426
15,89,1.3472201568739754
45,83,1.3381673906530653
92,104,1.3110771306923457
93,115,1.311633703964097
92,41,1.3200807997158595
89,88,1.3263735036764825
94,41,1.328029345188822
96,113,1.3461264563458306
94,36,1.319875297801835
96,36,1.3340992416654314
93,0,1.2950515214885985
33,63,1.3317860066890717
10,88,1.318590307874339
89,104,1.3177087977528572
93,104,1.3142337213669504
65,36,1.307960389980248
63,17,1.3223574683070183
50,116,1.3084812217525073
93,100,1.3027106683169092
39,21,1.3021757741059576
93,23,1.314378940633365
93,103,1.302135164716414
88,115,1.3132779651454516
88,58,1.3047997940863882
88,14,1.2901814367089952
92,25,1.2991075941494532
33,25,1.3126786681158202
88,82,1.28495889795678
93,63,1.3248109849435943
15,81,1.347997995359557
92,88,1.3185135019677026
89,89,1.327020746256624
50,35,1.3083591237664223
92,23,1.3141512125730515
96,50,1.3284458134855543
93,11,1.3097946686404092
92,89,1.3192207259791238
88,12,1.2879584963832582
92,50,1.3087747586624963
91,99,1.3160493118422372
