PortOfLading,ShipmentDestination,dist
132,115,0.9987482247608048
218,17,0.9417941181787423
127,83,0.9405934864522091
169,9,0.953962675162724
218,116,0.9456733694033963
218,21,0.9564496928027698
48,100,0.9644814069781985
218,83,0.9369112786038646
169,81,0.941320826964719
218,54,0.9758230852229255
48,88,0.9535323823136943
246,25,0.9444481464368957
246,83,0.9194438967055508
246,92,0.9377703214330333
48,83,0.9458596847419228
169,113,0.9497709551027843
246,81,0.9232536235025951
218,89,0.940667233296803
246,17,0.9246904280568872
169,23,0.9519742833716529
218,35,0.9548199980386666
246,116,0.9292387781398637
246,23,0.9329691257859979
218,9,0.9547831075532096
169,4,0.9394326359033585
233,81,0.9848708467824119
244,81,0.9433970014963832
48,89,0.9505384431353637
218,81,0.9395955758435386
218,59,0.9569009747356176
218,23,0.9507671748953206
48,25,0.9703711441584996
189,81,0.9828114999192101
244,116,0.9499471762350628
218,92,0.9553955665656498
235,58,0.9920731484889984
48,92,0.9657811267035348
218,88,0.9435948918440512
130,0,0.995917335152626
64,21,0.9612337180546352
246,36,0.9331421261387212
246,97,0.9391537212899753
169,17,0.9449738434382847
42,50,0.9319606338228498
221,36,0.9420014577252525
246,89,0.9239279535998192
48,116,0.9543659559317997
169,36,0.9517657128827912
246,88,0.9270899607134717
244,35,0.9616787119635514
114,89,0.9378720519265958
235,35,0.9564587723995958
218,36,0.9495160297623703
235,81,0.9400930622858661
48,59,0.9690896357808795
114,17,0.9382038244179317
169,116,0.9472615271806717
218,121,0.9748859006379332
74,54,0.9870391828673226
235,36,0.950412460735866
218,78,0.9557082535965102
74,81,0.9652982503175735
169,59,0.9620971961745194
246,9,0.9353909396699497
218,104,0.9389907121658325
48,54,0.9867377302476338
169,121,0.9736469361398902
48,21,0.9657611091222081
169,115,0.9471463720713343
235,82,0.987591952085495
48,81,0.9484810062817165
246,8,0.9704361174787793
246,113,0.9320052899420261
169,83,0.9386594819703272
114,92,0.952209047973156
94,92,0.9363975099154881
159,60,0.9818340374955109
218,113,0.9509301659251962
235,17,0.9433814111564841
169,89,0.9429029699947152
235,116,0.945878936776093
218,4,0.9383960600410189
235,89,0.943122138934476
218,25,0.9611945966524738
43,68,0.9392289434160505
94,36,0.9294346092002732
220,116,0.9600496371941907
27,36,0.9249164057629449
194,59,0.9992521793714592
32,88,0.9424404134707791
152,21,0.9360350269292083
152,83,0.9177617324250085
42,41,0.9273695940417903
221,17,0.9328665914280074
243,92,0.9572145938873291
138,17,0.9763859840376037
246,4,0.9215942227414676
138,89,0.9769450037607125
141,17,0.9435972673818469
136,4,0.919620540525232
126,88,0.9311773158343775
211,4,0.9675511664577893
231,81,0.9584087851856437
32,81,0.9359468445181847
58,42,0.9518178871699742
221,59,0.9514687944735799
141,115,0.9416571906102555
88,4,0.9434916009860379
42,23,0.919212322149958
98,4,0.9696380038346563
53,21,0.9451188445091248
236,88,0.9387020388884204
42,92,0.922340744308063
90,81,0.9613432503039283
89,81,0.9612821441675935
158,36,0.9571988838059562
166,17,0.9546670913696289
114,9,0.948625424610717
127,23,0.9538924342819622
169,51,0.9775503767388207
127,116,0.9503092771129948
237,89,0.9193830458181245
11,36,0.9891374036669731
174,99,0.9526880646922758
243,17,0.943326400326831
72,83,0.9373002871870995
48,104,0.9491994210651943
114,116,0.9425784381372588
188,88,0.9332811816462449
42,59,0.92509203138096
