ConsigneePanjivaID,PortOfUnlading,dist
1225,62,1.1267112514802389
5752,62,1.0334675599421774
5298,50,1.0097170312489783
2566,62,0.9126694628170559
1183,49,1.1701018576111113
413,43,1.1180374175310135
5752,49,1.0303755599473203
2859,49,1.0733093257461275
1183,43,1.1473728428993906
413,15,1.117544106074742
5671,8,1.1579402525510107
1378,45,1.0225497811500515
3278,45,1.0250425620802812
3183,62,1.0605410092643328
2530,62,0.9714125616342894
470,15,1.1622899944029217
15,30,1.0059290874217237
5298,49,1.0125178338161536
5666,30,1.0033383443951607
1670,30,1.152035337207573
1427,61,1.1161899800437303
4101,50,1.1841704057795661
2453,62,1.05279121867248
2220,10,1.1254194998847586
1716,50,1.1549626354660307
2979,62,0.9871217866561243
2220,62,1.103297486502145
1144,52,1.0576752398462435
2805,10,1.1103268308298928
3798,62,1.1025428830512933
3353,45,1.093721534258553
1429,27,1.067075870132872
4548,61,0.9602634672607694
3582,43,0.9594644457101822
4963,50,0.9932736977934837
3422,62,0.9938281598900046
413,49,1.1251830181905202
3108,43,1.1255788848336254
448,43,0.9482827846493039
413,50,1.1299614161252975
2279,50,1.0481912698596716
5579,49,1.185458082439644
1429,43,1.043332582988244
5007,6,1.1620558963290282
3305,43,1.0693363866635732
2821,49,1.124560173600912
5626,6,1.0159637880112444
5752,45,1.0427324117294379
4053,49,0.9126651611711297
5751,43,1.1291663880859102
4224,45,0.9591357867632594
922,27,1.0953565230593085
2220,43,1.1021715262572147
5020,49,0.915819078351238
786,62,1.028314767671483
4803,43,1.047168462404183
4629,15,1.010621966528041
2220,6,1.1144366349492754
1854,62,1.0215746398483003
4675,45,1.052254677284509
4324,62,1.1317803237055029
5752,6,1.0359710156917572
5047,30,1.0963668948305505
1378,43,1.0260784277426345
1302,45,1.0029133414583546
2310,62,1.0152095726558141
2693,50,1.1563172904508454
5521,49,1.115076863073877
5752,50,1.037186823785305
1989,62,0.9804868070142609
2330,10,1.0657474072650075
3385,43,0.99943838521306
3559,6,1.224284223147801
274,62,1.0992126296540456
5390,49,0.9937576300331524
2819,50,1.102405454165169
2283,62,1.0637027457622545
5693,45,1.0805959680250712
1211,43,1.0258131559406007
2220,52,1.1239510290324688
