ConsigneePanjivaID,ShipmentDestination,dist
1225,114,0.9473603250724929
5752,117,0.8665650156991822
5298,90,0.8849376698157617
2566,117,0.8983183865036283
1183,44,0.9987358932516405
413,82,0.9418159403971263
5752,105,0.9042023991766784
2859,89,0.7961054242083004
1183,82,0.9387045084897961
413,35,0.937732284622533
5671,21,0.8683333363483793
1378,105,1.0118890632210034
3278,84,1.1041338499635458
3183,8,0.9410956395191273
2530,117,0.8809801851000104
470,35,1.068433417314996
15,59,0.9444838049156326
5298,89,0.8900811195905719
5666,59,0.9154153631201812
1670,59,0.8432992425348077
1427,116,0.8698814678937197
4101,23,0.8776945352022137
2453,117,0.9644154734976057
2220,25,0.8578107681657586
1716,90,0.844004586671612
2979,117,0.8961331344076565
2220,8,0.9040301394249711
1144,92,0.858341358602047
2805,25,0.9308872329337257
3798,117,0.9235210248402187
3353,84,0.9645493291318417
1429,49,0.9518607097810933
4548,116,1.0611812940665655
2220,21,0.9069503104048116
3582,82,0.9261016760553632
4963,90,0.964218709285238
3422,117,0.8479920117117997
413,89,0.9484215027519635
3108,82,0.9247499108314514
448,82,1.075762434729508
413,90,0.951191925576755
2279,90,0.9508859105408192
5579,10,1.0207048345889365
1429,82,0.9621360605316502
5007,59,0.9339267543650099
3305,10,1.1058392886604582
2821,89,1.0594819970428944
5626,16,0.8519561921379396
5752,84,0.8558255380817822
4053,89,0.9121101541178567
5751,82,0.8424005263618061
4224,84,1.0075401000878108
922,49,0.9221027035798345
5020,89,0.9696282229519316
786,54,0.9707176557609013
4803,101,0.9097203390473234
4629,35,0.9867365935019085
2220,16,0.8897744246891567
1854,117,0.9305285885930061
4675,84,0.8839553850037711
4324,23,0.9090666605957917
5752,16,0.8502627057688577
5047,59,1.0043735184839793
1378,82,1.0465924218297005
1302,84,1.0058893276644605
2310,117,0.8775139828877789
2693,23,0.9165850106094565
5521,89,0.9325202086142131
5752,90,0.8499311304518155
1989,117,0.9373323257480349
2330,25,0.8997239139197128
3385,82,0.8805574182687061
3559,16,0.9887514353197601
274,117,0.9517651732478823
5390,11,0.8219770602881908
2819,90,0.9288776937339988
2283,117,0.9094342876757894
5693,84,0.9064730908721685
1211,82,0.9369736186095646
2220,92,0.8938420734235218
5438,82,0.9503398242273501
1067,89,0.9259278566709587
4086,59,0.9117622734712703
1863,90,0.9701227258358683
413,59,0.9158592862742287
1736,82,0.9759380383683103
3569,84,0.9999809195952756
2235,82,0.9506053098344377
4053,23,0.9353791052209479
3225,58,0.9700048054967608
2634,122,0.9095682540376272
5395,83,0.7743088906364781
5752,40,0.8627510124019214
264,3,0.8370238106165614
1302,82,1.0230978695409638
3786,90,0.8627568214599576
4979,90,0.9420426557106631
2547,59,0.8684262005346162
1402,8,1.036157262112413
1386,92,0.7546434912032315
3293,8,0.9034073423993375
2086,16,0.9673015533813408
5692,90,1.0883705291364874
2923,114,0.9421258760350091
1941,25,0.9689203133540494
1680,35,0.9630238164349326
1460,90,0.9773943096931491
450,117,0.8444376332419259
4981,23,1.0057271756231785
4542,89,0.9749251819614854
4389,16,0.8820820115506649
1364,35,1.006324449820178
1393,82,0.9587228894233704
2000,54,0.9818633728261504
1316,84,0.9553564999784742
4384,82,1.0815282511923994
5615,82,1.0266393490809216
1794,21,0.8298807059015546
5576,117,1.0729014689901046
4675,35,0.8835007867642811
2461,21,0.8398589736648968
2782,16,1.1738974218522864
1696,16,0.9950613708102277
4281,84,0.9261036568454334
4552,113,0.8836958368441888
2191,89,1.0350787841847964
4569,3,1.002336788656456
4843,8,0.854825202079415
1468,35,0.825195644716067
5752,3,0.8333325678748744
3214,117,0.8490873766796929
42,90,0.9461562368752701
1460,23,0.9938239976763725
3146,82,0.9527954060052123
1211,117,0.9383673018642834
3508,3,0.9456537914063249
5752,23,0.8773468285799026
1601,84,0.9940918350060072
2399,50,0.9142259034727301
3586,77,1.011572855923857
3866,90,0.8684734872409275
7,21,0.928286965404238
899,21,0.7132794218403953
5465,8,0.8389801593231303
1144,84,0.8623938411474228
1457,82,0.987340548740966
91,89,0.7944072692521981
1122,116,0.9909298356090274
396,90,0.8632270667169776
5039,34,0.8399036924487778
