Carrier,HSCode,dist
243,92,1.1188346171485526
34,92,1.1336559860834055
135,32,1.1659131273627281
399,95,1.194290108446564
112,64,1.1193455786311202
103,87,1.1630417278834753
112,92,1.1207230192209994
182,87,1.121025889579739
528,93,1.120291291070836
473,87,1.1190166058284896
154,39,1.15486562784229
240,87,1.1499612725206785
574,87,1.1309560537338257
168,92,1.1397633744137627
502,42,1.1693976042526109
368,95,1.165903482053961
137,92,1.1443365067243576
112,32,1.151889586022922
100,87,1.16130712681583
168,87,1.1445528151733535
303,92,1.1266447491943836
182,78,1.1852847819349595
329,92,1.131584467898522
241,42,1.158203901456935
375,60,1.2037999225514275
373,87,1.1223961835993188
457,92,1.1187777960939067
538,87,1.1271010408444064
502,90,1.1485625627849783
291,92,1.1486397247229303
272,92,1.1802891338510173
359,92,1.140990290258612
23,32,1.1777831113764219
230,87,1.152399548462459
373,92,1.1161912339074271
59,92,1.103802811620491
457,87,1.1219343936869077
457,54,1.1380192962075983
112,87,1.125899082848004
508,92,1.1459811904600687
117,54,1.1523680639054095
23,44,1.1651646132980074
530,32,1.210877959217344
586,87,1.1609113216400146
530,87,1.2096108262028014
368,75,1.215009676558631
368,92,1.1430123400475298
564,90,1.2118140246186937
303,87,1.1339462766689914
243,87,1.1237856676535947
34,87,1.1390123441815376
398,92,1.1355018083538329
277,92,1.1314843488591058
3,90,1.201099625655583
329,87,1.1368248747395617
241,92,1.1285803876817226
249,87,1.1576328022139413
343,92,1.213484138250351
249,93,1.1578417548111506
103,93,1.1645821982196398
240,92,1.1459442089710916
249,15,1.2366195661681039
61,87,1.1153659660901343
243,90,1.125916275927531
23,64,1.141175420156547
59,57,1.1311006539368205
446,87,1.132137905806303
23,89,1.1504542715847492
277,87,1.1361747357462133
243,50,1.148384761597429
368,87,1.148175694580589
368,90,1.1495990843645163
68,60,1.2030275873839855
334,87,1.1511382537760906
116,74,1.213233238884381
334,92,1.1439809980137008
257,92,1.1040811043764864
104,95,1.1508442099605287
277,90,1.1393668843167168
457,39,1.1303556082504136
368,60,1.1847787180117197
115,61,1.1634690234703677
59,79,1.214002868958882
23,92,1.1399290593607085
105,92,1.1139632865254367
101,87,1.139673994055816
320,87,1.1332239380904607
485,87,1.120367984686579
117,92,1.1403424920780318
126,39,1.1561026126146317
277,44,1.1498986440045493
578,87,1.1593225066150938
116,92,1.1754165217280388
334,95,1.1671067666195865
489,80,1.189281050648008
59,87,1.1112254754241024
508,87,1.1521694553749902
232,92,1.1763026086347443
227,87,1.1275698095560074
413,61,1.1252491979726724
498,92,1.1386565252074174
249,92,1.152571545115539
202,92,1.1239072164254529
248,33,1.158768214817558
529,91,1.173300345561334
230,28,1.2461977672896214
103,92,1.1599024002041136
329,91,1.1331973842212133
112,91,1.1230719164013863
230,92,1.1483294814825058
39,39,1.1210153980978899
303,88,1.1473235253776823
230,91,1.1514278426766396
253,45,1.1902881041169167
586,81,1.2533355349940913
334,93,1.1506023651787214
373,91,1.1192962705556835
82,57,1.1636044457554817
562,93,1.1176939447011267
334,26,1.1655281326800053
334,42,1.1719999108463526
230,10,1.1634299286774226
456,4,1.1762685179710388
241,40,1.1571437820260013
329,10,1.1479711351650101
334,91,1.1477743259498052
334,39,1.1546224323766572
241,10,1.14277884843094
334,29,1.2778075164450067
303,64,1.125507798711104
282,49,1.2033067026308604
456,20,1.1451528455529894
359,91,1.1448472030460835
241,24,1.1601122612399715
112,10,1.1328915166003364
473,45,1.1453943401575089
117,64,1.1375975981354713
100,61,1.1720596988286291
240,82,1.215735727388944
431,40,1.183967889951808
334,10,1.1559217960706778
34,39,1.1408762583242995
112,63,1.19312819732087
329,14,1.1815384849905968
373,62,1.1450501863977738
456,48,1.1723993143865041
303,91,1.1303171887993813
334,40,1.1712103377961154
580,10,1.1955857990043504
241,33,1.1602501503324933
396,92,1.195356123149395
240,91,1.147692379408649
590,61,1.145260312195335
241,39,1.1373892715200782
590,87,1.125303953886032
117,91,1.1436713050518716
168,91,1.142043802355017
31,24,1.16270558695708
303,39,1.133240357240928
34,91,1.1359754295221396
431,26,1.1883168114083154
240,20,1.1970526911318302
334,60,1.190196821199996
518,92,1.182595971439566
116,91,1.1782898785812514
28,87,1.1388109283787864
85,91,1.2041723164064544
446,92,1.12569846039904
23,42,1.173392613019262
4,91,1.1247683184254649
582,91,1.1534449692283357
368,91,1.145522266626358
182,92,1.1137594837429268
483,92,1.170504825721894
202,50,1.148502279073
299,91,1.1833858085530145
369,10,1.1549788674871837
395,64,1.162304485482829
62,92,1.132939332796793
4,93,1.125561677983829
105,44,1.1369492550147697
413,91,1.117853364774159
476,93,1.203744385923658
398,80,1.1566844518695558
395,42,1.1895898931792803
