HSCode,PortOfLading,dist
92,244,1.0075407613601004
92,217,1.0040162663374628
32,217,1.0330825767346792
95,244,1.0080730180655206
64,171,1.0124273236308778
87,217,1.0061417477471488
93,234,1.004603708428996
39,56,1.01918192420687
87,171,1.0096425882407598
92,242,1.0120252924306052
42,51,1.0315379606825965
92,171,1.0069478547998838
87,175,1.0083960284079825
78,234,1.0365204747234071
78,217,1.0430267181779658
60,78,1.0551837884954043
87,51,1.0139883469258035
92,116,1.0008391535707883
90,51,1.0132994854024477
92,77,1.0500564553907938
54,217,1.0248805220638002
54,116,1.0247682567153658
44,242,1.02694198595626
75,244,1.053618600325925
90,217,1.0069428469453539
87,244,1.009090325662068
92,234,1.0021218380757742
90,234,1.0019645648343223
92,67,1.018734831895147
93,244,1.0097723262650626
92,220,1.0099563066448485
93,232,1.0355706385203771
15,51,1.0520281823618072
90,244,1.0106461282287325
64,217,1.0101990114365305
57,217,1.0191261736410004
87,130,1.0141819790005684
89,234,1.0166370911257607
50,234,1.0241760898913657
60,51,1.0416525134018488
74,116,1.0225683259112495
92,51,1.0108161547354289
95,189,1.0131334364414215
92,45,1.0138525398714202
87,220,1.0125946892159325
60,242,1.0406177703823363
61,234,1.0299894564918108
61,171,1.0333665236830711
79,233,1.0504470350486892
92,21,1.027122704046113
39,51,1.0312633078013147
44,171,1.0237744344132287
95,217,1.007486774453095
80,51,1.027643239923886
92,133,0.9765758610197476
87,116,1.0032126467142786
33,217,1.0255024124469077
91,217,1.006790320788111
92,235,1.0239680239132471
92,130,1.011474792446409
28,236,1.0289213681327445
91,241,0.9995289860027177
39,146,1.0268763383584363
92,100,1.056899684880461
88,45,1.0314823389053345
45,149,1.0507301954286439
81,51,1.0557499836598123
93,28,1.0265147409268789
93,99,1.044719255396298
57,56,1.0145185887813568
92,141,1.012772488806929
93,116,1.0037375997219766
26,168,1.0198383874126844
92,139,1.020714586334569
42,33,1.0437656832592828
10,236,1.0029990045087678
4,108,1.0037390446523204
40,56,1.0197740441986494
92,28,1.022531468953405
39,235,1.0393532727445876
92,241,0.9985953101090023
29,139,1.1095133775046893
92,188,1.0423987954854965
49,38,1.0390935526894671
20,194,1.0141910410353117
91,168,1.008624227983611
24,207,1.0315692179969378
10,230,1.0202875839812415
91,188,1.044227774654116
57,210,1.0179502293467522
91,244,1.0102205925754137
45,45,1.0563716643622942
64,242,1.0165480385933603
82,171,1.0370441057852335
87,202,1.0357109435967036
40,154,1.0239002779126167
10,144,1.023850595312459
39,202,1.0429048729794366
63,244,1.0409034352217401
14,154,1.0332555792161398
62,160,0.9983544275164604
48,192,1.0418485525463308
91,45,1.0175331767116274
40,91,1.0214292545403754
91,116,1.0031886930976595
33,153,1.0102958125727517
92,101,1.053326915949583
91,242,1.0138870594756944
61,244,1.0363762538347925
39,45,1.0388116048915046
87,133,0.9770721468542304
10,162,1.0345892161130905
10,153,1.0110479657139098
91,220,1.011986367404461
24,26,1.0100920093911034
24,185,1.0130727621061462
91,51,1.0140068126576287
39,111,1.0436349617583411
39,33,1.0459148713520594
26,154,1.027045528803553
20,189,1.0138612634369306
60,45,1.0460506273167474
92,97,1.019080967775413
87,147,1.0403065862400191
91,150,1.031792018030371
92,111,1.0272643810936384
42,241,1.0196375463690077
91,139,1.024014128105981
92,115,1.011514071907316
92,144,1.0193242643560683
50,168,1.0129601125206267
10,75,1.0426184982061386
64,207,1.0464261046477727
64,51,1.0156370284301894
93,139,1.0241195719156946
44,93,1.0464822564806258
93,217,1.0062426243509566
80,141,1.0162973733884948
42,116,1.0237209222146444
92,160,0.990209027592625
91,115,1.0111279487609863
40,8,1.0095515251159668
47,90,1.0573355140430587
47,144,1.0525952130556107
92,221,1.0299735888838768
93,97,1.0227405620472771
54,229,1.0276440871613366
38,139,1.0676729104348592
34,215,1.0349022905741418
95,104,1.0222885023270334
50,194,1.0277548400419099
60,111,1.057384499481746
42,217,1.025019561605794
12,154,1.054404614759343
80,217,1.0250518790313177
92,216,1.0284575298428535
92,150,1.0291100995881217
92,124,0.9883010350167751
50,9,1.0261650894369398
95,242,1.0117568033082145
10,168,1.0053426048585348
72,130,1.078772681100028
93,51,1.0130532107182912
48,56,1.0489862795386995
87,124,0.9921746557312352
89,130,1.0226787818329675
