ConsigneePanjivaID,ShipperPanjivaID,dist
1225,2306,0.6059845089912415
5752,2130,0.7251592023032052
5298,770,0.8611878547817469
2566,6088,0.6642766658748899
1183,3984,0.7323215327092579
413,4441,0.3177597778184073
5752,1489,0.5384196937084198
2859,5647,0.9598787061071822
1183,4483,0.9334347418376377
5671,5469,0.569735695208822
1378,2491,0.6372577441590173
3278,6723,0.7313734666178269
3183,5857,0.9334270884948117
2530,2073,0.40351426175662447
470,4017,0.5456805293049131
15,416,0.5602117308548519
5666,5163,0.6675049130405698
1670,6756,0.46044749447277616
1427,795,0.5479422679969242
4101,4708,0.8017577949379172
2453,400,0.8816276251205376
2220,1850,0.5232142593179431
1716,5469,0.5938353793961662
2979,4528,0.44681876472064425
2220,6111,0.42001245277268545
1144,2191,0.8033953825277942
2805,6727,0.4499863599027906
3798,5106,0.8975433110525566
3353,5551,0.4968205967119762
1429,6760,0.30501394612448557
4548,5061,0.3668683192559651
2220,1844,0.4811567749295916
3582,5520,0.7375831753015518
4963,1489,0.747784863625254
3422,2168,0.5621015951037407
3108,1284,0.906652704413448
448,1630,0.4378879283155714
2279,1106,0.5125466798033033
5579,6756,0.6497276872396469
5007,6727,0.5266686262828963
3305,6041,0.8882390665156501
2821,1339,0.8009106733703187
5626,3366,0.2945234179496765
4053,3564,0.37147195850099834
5751,2223,0.5397206566163472
4224,4149,0.6468784830399922
922,5141,0.3358868956565857
2220,3890,0.5942529993397849
2821,135,0.7576392653531262
5020,6044,0.6601992073868003
5752,147,0.4100791471345084
786,2309,0.7545995861291885
4803,6589,0.449806204863957
4629,1087,0.645835643368108
2220,6756,0.43813847643988474
4963,2437,0.9853939956852368
1854,2412,0.5561372126851764
4675,3203,0.5612077202115741
4324,599,0.45745592883655
5752,1441,0.7064522313220161
5047,1129,0.5466648361512593
1378,1623,0.6143042466470173
1302,4777,0.8799408067549978
2310,775,0.5941213369369507
2693,6727,0.5244855604001454
5521,2431,0.6579592802694866
1378,3518,0.43065720796585083
1989,5226,0.728043468935149
2330,3300,0.2564236181122916
3385,5460,0.49390686622687746
3559,3507,1.0159146759126867
