Carrier,PortOfLading,dist
112,219,0.8968407809734344
472,248,0.8971652170377118
133,238,0.8986663791750159
109,170,1.023208479530045
106,115,0.8938613863927978
184,238,0.8566541565316064
164,246,0.9044683936185071
385,170,0.8924664056726864
96,248,0.912569594170366
523,248,0.9187420723693711
608,170,0.865795702806541
41,246,0.968108124232718
164,219,0.8881776596286467
340,248,0.8972643294504711
459,219,0.8914271887125713
95,246,0.905026553402422
385,248,0.9020881886993136
369,54,0.878798045484083
92,219,0.9436473410044398
184,219,0.8724787740835122
250,219,0.8859261700085231
333,246,0.9980737530692879
112,79,0.9528311852897916
551,219,1.0984085188912494
382,248,0.8703976273536682
238,219,0.9009630382061005
21,129,0.9016583625759397
248,219,0.8611203815255847
250,238,0.879025861620903
377,54,0.8702173978090286
346,54,0.8580526040334787
273,248,1.092965055124036
556,219,0.9228257904095309
327,162,0.9873599942241397
580,219,0.9115921205707959
21,170,0.9027768904010632
254,219,0.8588777908257076
318,248,0.9283399810748441
184,246,0.8915714137256145
321,219,0.9957318819527116
152,248,0.9001384458637663
57,115,0.9688198766005891
221,219,1.0963852163404226
523,246,0.92933407372662
340,54,0.8710067681968212
465,170,0.9266528306262833
32,245,0.886352377012372
164,248,0.8934578044073922
36,238,0.8947162625512907
32,219,0.8815138818297003
472,170,0.8928240058677537
101,222,0.9520958062993097
254,54,0.8423351081354278
136,248,1.155438150146178
546,238,0.9404472368104118
556,248,0.928007961916072
346,91,0.8914693226771695
382,219,0.861533624785287
523,219,0.9079481544239181
502,69,0.9719176277784365
291,219,0.8971934148243496
136,219,1.142386816974197
56,248,0.8975446202925274
141,54,0.8872741958392518
346,219,0.8737104947545699
250,248,0.8980992681213787
459,238,0.8785946664533445
472,219,0.8881751038134098
46,238,0.9479628929070064
14,248,1.097129087828632
248,59,0.8547977592263903
608,129,0.8353886998125485
152,238,0.8753637458596911
152,219,0.8894214211530718
502,219,0.9739071913063526
579,140,0.9712580612727574
