PortOfLading,ShipperPanjivaID,dist
219,4143,0.7903004490903446
248,4572,0.9878253106560025
238,2286,0.8173138073512486
170,4033,0.9144750876086098
115,3840,0.8669562196092946
238,3181,0.8088147741343293
246,6844,0.8237839230735388
170,3818,0.9274814261921814
248,113,0.8783920417938914
248,2161,0.71514052684818
170,6053,0.8032838670270783
246,1464,0.8940086119941303
238,952,1.0278235551502024
219,4620,0.9985943553703172
248,6676,0.766173640532153
219,2345,0.7133519690749901
246,4824,1.023642400013549
248,6045,1.0792187715747528
54,1646,1.016282632946968
219,6192,0.894176684319973
219,6177,0.9425082941140447
219,2229,0.7318238424403327
246,2107,1.0913078138338668
79,1013,1.0089431452964033
219,3990,0.7733654731086322
219,6871,0.9189052020332643
248,2185,0.9681228823693735
219,6832,0.8530419032488551
129,4704,0.8466370997817388
219,2001,0.8528747297823429
238,3807,0.7394877001643181
54,3576,0.7970087677240372
54,3939,0.9657366849215967
219,2405,0.9648960387068135
248,3072,0.9493072746055466
219,4289,1.0084985656929868
162,6160,0.8252830739532199
219,5309,0.9419626386037895
170,4044,0.8906893509307078
219,2161,0.7104361153074673
219,2252,0.8975839774523463
248,3770,0.7526650972930449
246,6806,0.9738294786906668
219,6084,0.8310317817543235
115,5895,0.7862172605735915
248,1311,1.0787956890250956
115,6652,0.8995578608342579
219,1282,0.9801004928137574
54,2074,1.0786223289157664
170,1218,0.875858301030738
245,6069,0.8683044396873031
248,968,0.7942700343472617
238,3663,0.8230247667857579
219,1946,1.0326750121478523
170,6873,0.8603127013359751
222,5332,0.976310310619218
219,4958,0.9910401231214304
54,5616,0.8111983644110816
248,5206,0.9890495155372524
219,4228,1.008861051074096
219,3210,0.9091399184295109
248,5676,0.8135110496410302
238,1019,0.9141334981790611
248,6278,1.0172492683465992
91,1340,0.6936032431466239
248,5841,1.0015687069722585
219,6205,1.0680952641580785
219,3991,0.6831158873225961
69,5307,0.900580604161535
219,5719,0.8187605972800936
219,701,0.8188463843294552
248,5088,1.0363551160054547
219,3048,0.8372338946376529
162,3443,0.9934064357408455
54,3553,1.061402463021555
248,4122,0.8978953432025654
238,6395,0.8043577106935638
219,653,0.8880346058971814
219,3938,1.0343566133441138
238,6891,0.7730825947863715
248,4912,0.8750540081943784
59,4283,0.754276553434985
129,6662,0.7365062423383019
238,6135,0.9655419204916272
219,6873,0.8245174267462322
219,2063,0.8967671173491648
219,2282,0.829584671982697
140,3066,0.6531332944120679
