PortOfUnlading,ShipmentOrigin,dist
13,18,1.3843811367239272
38,18,1.370536636028971
4,18,1.3809905350208282
45,18,1.3720695078372955
54,18,1.3715226352214813
47,18,1.391883637223925
40,18,1.3774016456944602
23,18,1.4089403684650148
8,18,1.39009713275092
50,18,1.408084396805082
52,18,1.4228706317288535
2,18,1.3857853476490294
5,18,1.3794476283448083
47,110,1.395617316876139
54,14,1.3687766577516283
28,18,1.3998708384377616
44,18,1.37845236488751
2,12,1.4031809036220824
49,107,1.3972676949841636
44,61,1.379869505763054
13,62,1.4008872317416328
47,50,1.4210782114948546
13,50,1.413271495274135
45,99,1.3629429361649923
53,18,1.3901886237519128
26,110,1.388681975858552
13,110,1.3902518046753747
38,43,1.3709830279861177
15,18,1.4113421035664422
26,18,1.3884070089885168
4,12,1.4012907040970666
12,18,1.398324960044452
38,65,1.362711495586804
0,59,1.3483666873403959
53,4,1.392062593783651
44,110,1.3826430205787932
47,12,1.410645095365388
49,18,1.3937809722764152
4,62,1.396025647010122
40,17,1.3889416349785668
45,43,1.3717934233801705
49,110,1.389883360692433
4,43,1.3815735982997077
5,60,1.3641723075083323
4,36,1.414612508245877
13,45,1.397140507187162
54,50,1.4037370405026846
15,79,1.4073816857167654
5,62,1.393760593874114
38,80,1.3792704961129598
5,12,1.3972475571291787
4,45,1.3942427784204483
45,93,1.3590873799153738
44,79,1.3934141184602464
38,12,1.3931109479495458
5,43,1.3800515873091561
38,107,1.3891579232045583
54,83,1.391414925456047
2,110,1.3854333268744605
53,110,1.3911158229623521
54,43,1.3720782569476537
44,46,1.3784478136471339
26,43,1.3872662335634232
38,110,1.37601272548948
47,46,1.391243542943682
38,50,1.4028195142745972
28,107,1.4065654809985841
13,43,1.3847624020917075
44,16,1.379904338291713
54,110,1.3783454618283681
38,62,1.3873762445790427
45,16,1.3741264641284943
44,12,1.3995872459241323
54,99,1.3619592466524668
0,25,1.3689758607319422
26,107,1.3999380895069666
4,79,1.3967419862747192
49,66,1.3588089325598307
4,46,1.3796955517360143
45,35,1.3417181516332286
54,60,1.3623649052211217
52,107,1.4176446114267622
13,56,1.3976057129246848
38,46,1.3711971512862615
53,12,1.4077460999999727
25,107,1.417553567460605
49,50,1.420429723603385
47,8,1.410635226539203
47,1,1.4016897146190916
40,107,1.3929105677774973
44,58,1.380582481622696
2,90,1.3648308153663362
4,52,1.3670913385493415
47,45,1.4036115173782622
44,50,1.410370641521045
0,107,1.3944721583809172
13,93,1.3724549838474818
4,110,1.3849441387823649
44,83,1.3925829295601164
38,79,1.3906676769256592
13,26,1.4093140725578581
13,36,1.4168252434049333
13,12,1.40487836088453
54,46,1.3725496913705553
55,1,1.3786065174000603
38,99,1.3619803956576757
20,66,1.3556899992483002
47,78,1.3887934706040792
13,46,1.3851163110562734
2,26,1.3991760036775045
28,17,1.403618112206459
5,17,1.3921711615153722
28,94,1.4102931171655655
4,40,1.3815727829933167
40,43,1.3774767986365728
2,62,1.3958007821014948
53,17,1.398136453969138
38,17,1.3873451501131058
28,50,1.4248434432915278
40,71,1.3628840489046914
44,25,1.3863111691815513
13,98,1.403274804353714
2,50,1.4156153265919005
4,101,1.4173236595732825
47,82,1.4001948769603456
44,99,1.3706458359956741
45,101,1.4086267117943083
38,16,1.374629789165088
44,71,1.3658727705478668
15,1,1.392616589154516
45,62,1.387933224439621
15,7,1.371040292084217
5,83,1.3910436247076308
2,17,1.3913861129965102
54,62,1.3888069604124342
26,66,1.3679168820381165
24,79,1.396684213408402
40,99,1.369053732071604
40,62,1.3914072683879308
28,12,1.4146767939840044
53,45,1.3990554958581924
12,30,1.3683829350130898
54,52,1.357857411461217
47,43,1.3927513041666575
38,26,1.3999692755086082
47,79,1.4049693920782633
47,36,1.423580601811409
23,50,1.4369913403476988
2,79,1.39092275926045
15,17,1.407256462744304
4,49,1.3703891592366355
15,12,1.4233823886939458
13,97,1.38992454963071
5,110,1.3825271193470274
44,60,1.3636703682797295
40,40,1.3742453370775496
2,70,1.4036619546157973
54,70,1.407773005110877
8,62,1.3995877291475023
53,46,1.388224491051265
5,40,1.3766444410596574
23,110,1.405849380152566
49,12,1.4065905064344406
54,107,1.390689411333629
40,60,1.3612933329173498
39,110,1.3936413483960288
49,27,1.3584445416927338
0,58,1.3682756274938583
54,78,1.3684692574398858
12,17,1.4006563084466117
54,12,1.394632516162736
13,88,1.3714118557316917
15,40,1.3883719103676933
53,62,1.4026965882096971
45,52,1.3560377348746573
49,46,1.3909967711993627
15,90,1.3794590660503931
47,26,1.414966385279383
2,83,1.3879978656768799
8,17,1.3953757349933897
2,80,1.3755195481436593
53,34,1.4026015656335014
5,76,1.3577395869152886
40,45,1.3913148109401976
2,82,1.3791684891496385
31,16,1.3972245497362954
8,110,1.3890307715960912
23,43,1.408384540251323
38,93,1.35881869494915
5,50,1.4089600614139013
15,80,1.388410700219018
0,18,1.390397806252752
45,107,1.3886995826448714
28,82,1.390500185745103
54,93,1.3598062545061111
26,70,1.4082743717091424
38,71,1.3632204915796007
44,43,1.3787946360451835
15,58,1.3869877138308115
13,103,1.4073167145252228
4,50,1.4115205151694161
38,36,1.4072219963584627
53,36,1.4172573323760713
2,31,1.3872817318354334
39,82,1.3718877221856798
40,110,1.380760778273855
40,16,1.3794102647474833
13,83,1.4019896239042282
47,83,1.4056411321674074
5,45,1.3898741560322898
39,12,1.411419813122068
12,12,1.415697923728398
26,36,1.4158349548067366
54,61,1.3796426057815552
38,40,1.3740306454045432
44,36,1.413140846150262
50,43,1.404616402728217
13,34,1.4016422437770026
54,101,1.4101242699793406
8,12,1.4069651812314987
0,110,1.3843190733875548
54,88,1.3595277070999146
13,73,1.3725032678672247
45,60,1.3586853572300501
53,71,1.3683535477944784
40,22,1.3681722389800208
19,74,1.3569830288844449
4,106,1.4014258150543486
15,28,1.394316207085337
53,1,1.3898524535553796
54,79,1.3925570952040809
38,101,1.4087148436478205
38,60,1.359650548015322
23,12,1.4271992295980453
44,80,1.3812920259577888
54,36,1.408120029738971
49,43,1.3907153478690557
49,62,1.3991681252207075
40,46,1.3773703404835291
53,43,1.3906813157456261
45,110,1.3768172306673867
8,27,1.367910004087857
25,16,1.4050134675843375
49,17,1.3921468279191427
28,19,1.3785347917250224
4,83,1.396248540707997
26,46,1.3868675466094698
4,82,1.3913480469158717
12,83,1.3990772792271204
13,17,1.4002179290567125
47,4,1.4031646443264825
13,101,1.4209273074354445
12,60,1.369546760405813
8,60,1.3627329085554396
13,70,1.4159051839794432
2,30,1.3618431729929787
2,40,1.373539971453803
52,62,1.4227034130266734
53,73,1.3644524876560484
44,17,1.3927210164921624
12,98,1.3959562246288573
26,78,1.3727728703192301
47,25,1.3999741205147334
15,110,1.4089100446019853
54,106,1.3942721400942122
2,8,1.393944154892649
40,50,1.4077520604644502
39,62,1.4028861884559904
47,60,1.3782458028623037
13,13,1.3863671932901656
40,26,1.399192675948143
4,80,1.3864300974777766
13,94,1.4075346333639962
2,28,1.380313828587532
8,99,1.3808560158525194
8,16,1.3879844844341278
5,97,1.3800230302980967
13,109,1.3904085116727012
38,61,1.3769223519733973
53,94,1.4096774139574595
13,8,1.4050510568278176
8,46,1.3879713607685906
40,78,1.3697249442338943
13,106,1.402193552681378
12,73,1.3634440898895264
13,99,1.3754139925752367
2,94,1.4045665540865488
4,104,1.3963348184313094
13,58,1.391574238027845
2,88,1.3559633535998208
0,36,1.4146116226911545
38,94,1.3992181101015635
49,1,1.3772861957550049
40,34,1.3914057207959039
53,76,1.359492499913488
5,36,1.410189347607749
47,70,1.4235181957483292
38,52,1.3576820833342416
53,30,1.3733523849930083
44,107,1.3931079911334174
13,60,1.3739304776702608
54,45,1.3871019589049476
4,28,1.390608276639666
40,93,1.362401809011187
2,46,1.3835057254348482
4,93,1.3689819872379303
4,26,1.4058523092951094
53,83,1.397949795637812
5,46,1.3781652514423643
28,102,1.3638285143034798
13,92,1.3768740445375443
8,43,1.3893541970423289
4,4,1.3933082733835493
2,43,1.3859445112092155
4,99,1.3736951798200607
38,28,1.3845630479710442
0,61,1.3624506635325295
44,62,1.3933785749333245
40,79,1.3907259894268853
4,73,1.3652291319199972
33,106,1.4078759380749293
32,66,1.358200155198574
40,85,1.3652652406266756
47,99,1.3850421820368086
26,94,1.4050797734941756
54,27,1.3722791969776154
5,99,1.3723368282829012
15,97,1.3935362207038062
12,4,1.3909344524145126
53,82,1.3897125465529305
38,3,1.3761029413768224
2,101,1.4151189093078886
8,88,1.358141501035009
47,62,1.4063590935298376
50,107,1.4092738372938973
54,19,1.378271296620369
0,62,1.3947680528674806
26,42,1.374813084091459
2,1,1.380004380430494
39,60,1.356999735747065
38,70,1.4068293103149958
4,3,1.3829981642110007
47,106,1.4110883602074213
45,65,1.3604821200881685
26,99,1.3774326954569136
12,71,1.3687478389058794
30,73,1.3429913723043032
12,1,1.389003989951951
5,107,1.393340208700725
23,46,1.4055250393492835
26,62,1.3989805174725396
34,107,1.4167358768837792
47,56,1.4012000688484736
47,66,1.3836129669632231
15,36,1.433014065027237
2,48,1.362923679607255
5,79,1.392580739089421
47,94,1.4151529052427836
40,101,1.4126465235437666
54,65,1.3655464329889841
23,45,1.4174395629337855
38,106,1.3934903251273292
