ConsigneePanjivaID,PortOfLading,dist
414,219,0.8162517441170556
1430,248,1.0960969600959547
1671,238,0.9357593474643571
3653,170,0.7668398341962269
1444,115,0.7853362730571202
4675,238,0.9122387158817479
1853,246,1.092860609292984
1503,170,0.8610699730260032
1327,248,0.888676429433482
725,248,0.8059358320065907
2182,170,0.750387426997934
1100,246,0.725511467882565
5095,238,0.8834797697407859
2271,219,0.9979477681751762
2831,248,0.7250556679708617
1115,219,0.7729138088013444
5204,246,0.8933471095349107
2046,248,0.8146416544914246
5937,54,0.7686488801014743
448,219,1.1363791589226042
1509,219,0.9258577206305095
2257,219,1.0315570633060165
3647,246,1.0814505769605083
3005,79,0.850465074888364
764,219,0.9820438190030732
1210,219,0.781971162451165
1105,248,0.8635918957380844
2059,219,0.7226073831053716
2140,248,0.6958185860088894
1303,129,0.9605334127055747
285,219,0.6735670241926398
5880,238,0.7786937297454902
4735,54,1.081706537332918
4464,219,1.1126738020351954
3866,248,1.0316904185871993
3669,219,0.9362774246505329
1015,162,0.8108331284352711
2541,219,0.884376608034862
3778,170,1.0377542826214008
2546,219,0.6397047670824187
1890,219,0.683726640684264
330,219,0.6719974513564791
1894,248,0.820902803413836
2325,246,0.7484580669552088
5780,219,0.7485893964767456
585,115,0.8097506584599614
1650,248,1.0988613335482245
3638,115,0.7670655362308025
4494,219,1.043045578258378
3005,246,0.8011289813688823
1205,54,0.8328955399670771
4309,170,0.8537249676883221
589,245,0.8236936056720359
1501,248,0.7133614080292838
1400,238,0.7237487759973321
1560,219,0.8165019467206938
2248,170,0.8352368628340108
4402,222,1.0761147290468216
5684,219,0.8879416340163776
2578,54,0.9984179000769343
3633,248,0.970439246589584
691,219,1.012064968901021
794,219,1.1278052548212665
1339,248,0.8781044084046569
1170,238,0.728093296289444
3669,248,0.9297958710896117
2341,248,0.9662621761006969
1951,91,0.6766365042754582
4884,248,0.88288729391726
5207,219,0.886545383770551
3310,219,0.8995537337447915
4789,69,0.7745092234441212
1027,219,0.6343096348323992
2574,219,0.9935742127043861
1232,248,0.9444886827841401
2724,219,0.8504285791090557
2715,54,0.9682029161070075
1865,248,0.8886786160458412
1876,238,0.9361742218690259
1662,219,0.9317369567496436
253,238,0.7807385218994958
850,248,0.9191305876842567
255,59,0.8318158260413578
2140,129,0.6664111294916698
4526,238,1.061030360204833
2353,248,1.031471837311983
4142,219,1.0056554989090987
1160,219,0.9801671515618052
3049,219,1.001908743088799
2213,219,0.8545316074575696
1765,140,0.7867689973541668
1788,69,0.9239669192050185
2711,219,0.7149756997823715
1648,170,0.8314335101417133
3294,149,0.7425568231514522
2162,219,1.0782871608223235
2195,222,0.8048052457826478
1301,222,0.9331454506942204
1676,144,0.959581372993333
3190,97,1.0507233094956194
4899,127,0.9304187321769339
2401,219,1.0554786952478545
2726,170,0.7341395087007966
4308,248,0.8289603066763708
1302,219,0.7830602335078376
2528,127,0.851386624787535
1431,54,0.8412035799452237
3334,219,0.6994680836796761
1123,114,0.7916057407855988
1241,26,0.8063361011445522
1426,170,0.964431996856417
3766,69,0.8825296120984214
2985,219,0.7837957335369927
3005,219,0.7747323183076722
2229,80,0.7872016616165638
2522,29,1.019951677482043
2158,54,0.6724638321569988
1170,54,0.7445553934999875
5937,48,0.7726975828409195
5825,219,0.7935090575899396
3841,248,0.7482310107776097
4644,219,0.9244373166667563
3006,167,0.710437651191439
2854,115,0.9945151332233634
2038,114,0.9639279267617634
5836,176,1.0034317187964916
5564,170,0.7251254192420414
5937,219,0.783438803628087
698,219,1.0334051118365355
55,48,1.0818645600229502
5104,93,0.8574613955404077
753,219,1.0328660801585232
5341,245,0.7295928916760853
2950,115,0.9011647403240204
3963,219,0.8102986200579575
2974,69,0.7166178630931037
5854,54,0.7285555625567213
5698,185,0.8887771147170237
4090,219,0.9694925054375615
3900,219,0.9379734764141696
4536,246,0.8347080514899322
363,219,1.0465937650629453
1734,248,0.9180293286086193
418,170,0.9389569851170693
3627,219,0.8860203134162086
3206,247,0.8466461673378944
5276,149,0.926317453806145
5193,69,0.7577764136450631
1354,219,0.7798901892134121
5613,232,0.7792929791446243
2726,127,0.7506965433380434
3798,219,0.858339708830629
4279,219,0.8694610644930175
3756,219,1.0591299108096532
3276,238,0.9415831685598407
5063,54,0.9084612099187714
1560,222,0.8202104909079415
1893,219,0.9680425697671515
5640,148,0.8332002516170698
1105,170,0.8804712888917753
836,219,0.9231573028082494
812,190,0.7863659986427852
365,248,0.7718462949352605
676,219,0.8071493301540613
2903,219,0.9515852555965206
409,248,1.0505066343716212
2889,219,1.041585189689483
1339,222,0.8913795224257878
2195,54,0.7956956082156726
812,54,0.8279881606410656
3545,248,0.7640727715832847
1560,115,0.8129857336836201
4415,48,0.8091760511909213
5672,219,0.9950836306171758
3143,170,0.8344573453733963
1287,158,0.8012222264494214
1861,144,0.7786717361637524
4460,219,0.991180640512279
5084,248,0.971301229936736
1786,115,0.8061992813433919
5937,188,0.7612211081598487
5776,10,0.8629796580810633
1529,158,1.0591860671660729
1817,54,1.2016192844935827
3288,97,0.7664803697594574
5937,77,0.8250111022165844
5193,245,0.7666091727358955
1835,219,0.8526399630521025
4604,190,0.9334603709700916
5838,36,0.7218834132488284
5470,219,0.7219320854970387
3361,245,1.0542002961571728
1796,115,0.8843854538031987
5772,126,0.7363217728478568
4845,54,1.0606078867401396
330,245,0.6595472116023302
5251,127,1.0729603064911706
3018,245,0.8019543109195573
1218,222,0.9545257331005165
5937,100,0.8203611262142658
1270,76,0.9099180016034681
5442,170,0.8013252480554262
5440,241,0.8626503332384995
1302,248,0.7818564091409955
2035,127,0.8918295188673905
1,232,0.7518790279115949
4022,241,0.7832825221121311
1873,185,0.77616449990975
1970,245,0.9760969996984515
935,133,0.7516527154615947
4435,127,1.1214049985366208
2546,245,0.6431584134697914
2032,245,0.7144229473280055
1627,48,0.6908488582287516
1760,133,0.9870620455060687
5854,245,0.7616784503417355
408,245,0.7264364979096821
2349,129,0.7949032187461853
1170,222,0.7414721444781337
4024,241,0.7580624083057046
5599,248,0.7032028308936528
3390,111,0.7825410429920469
285,170,0.6728927402624062
5442,222,0.8001466699476752
2619,115,0.74720477525677
5339,97,0.8364774957299232
2929,10,0.9190680278199059
2128,169,1.02610340634627
796,183,0.9357193181557315
2858,33,0.8095226431531566
29,245,0.8441837069445423
5937,33,0.7784919059901897
3797,248,0.91626259538212
1102,155,0.7991561884326595
2998,149,0.8333865550479719
5408,241,0.9484391540421971
2328,222,0.7604173794388771
5470,115,0.7440553424613816
5064,54,0.7708613539912871
1474,219,0.7452408628804343
5772,222,0.736407204398087
3945,235,0.9388769497828824
1419,158,0.6297850885561534
1501,246,0.7346451875886747
5942,48,0.7795744724571705
2869,54,1.0816607498563826
3361,222,1.0654761998781137
3414,170,0.6966384899403367
5937,138,0.8123657557048968
66,111,0.9271712973713875
2528,115,0.8475084411246436
5582,170,0.9632173507873502
2253,54,0.9113935545111806
354,97,0.909391002463443
1200,111,0.9014011440532548
5302,167,0.981587467449052
4783,222,0.8954257045739463
754,219,0.815748221640076
2140,115,0.719833285680839
4581,204,0.9259336119783776
2182,245,0.7592797593346664
996,219,1.1130112963063377
39,248,0.8935099105749812
5229,72,1.0765147262385912
2512,222,0.9139649149562631
1890,222,0.6753583614315305
624,111,0.6802841720304319
1641,219,0.7037716997521264
2377,248,0.6971557800258908
1339,245,0.8790428436228207
1496,213,0.9338004712083473
1579,48,0.7340300977230072
2140,222,0.7083667655076299
11,245,0.9606379004461425
1118,245,0.7815476858190128
885,59,0.789109342066305
4452,240,0.8105833561691854
5751,167,0.9324658619506019
4071,77,0.8250553788883346
3002,162,0.7936707011290959
2456,222,0.9207954656864915
5120,241,0.7558176275342703
2424,219,0.7394118026963302
4934,238,0.9318436461367777
231,77,0.7847964391112328
1354,245,0.7834101915359497
2615,105,0.9750882035919598
3088,133,0.8669612748282296
1951,238,0.6997912526130676
3386,219,0.9036188019173486
5937,97,0.8126042901338744
229,233,0.9714409219367164
2125,240,0.7970962769218853
823,248,0.8716837767611391
5937,133,0.792466701939702
1368,97,0.9240088995013919
1942,135,0.7952928750642708
2886,115,0.8129760154656002
4512,133,0.9338828716427088
2704,127,0.8351441243929523
1980,248,0.945103661423283
5937,95,0.8788196721247264
1170,81,0.8233516194990703
2008,248,0.6289877202860745
3972,133,0.8573017407740865
245,245,0.9464740891541753
824,241,0.8095009912337575
2074,219,0.7176350642527852
4956,91,0.8138707599303286
5937,135,0.859839562858854
4181,190,0.9311933597283704
1017,34,0.9215421713888645
1985,216,0.8719424019966807
566,126,0.799385997466743
5937,246,0.7996977125959737
1251,248,0.874574914308531
3390,48,0.7775354682068739
2884,213,0.8748050610800939
3221,222,0.7206807689508423
1814,219,0.799257541341441
2140,126,0.7212823395218168
4831,115,0.7758373266884259
4403,194,0.8772523675912193
3406,170,1.0255705820662635
779,33,0.9127378837770915
4789,170,0.7626668299947467
1287,248,0.7386847848205694
5755,69,0.9370034070951598
2058,185,0.8342169555170196
2182,248,0.7483825172696795
3221,114,0.7061748073569366
2276,238,0.8072978130408696
3005,245,0.7766071526067597
3026,54,0.9012379798971649
5310,168,0.8113893658987114
5185,108,0.93837686534971
4051,131,0.8034447351736682
285,248,0.6656361589474338
1777,33,0.9078262884702001
720,48,0.8215118210230555
1501,127,0.7433896447931018
5937,144,0.8305121889071805
1112,138,0.7919961096985
5937,202,0.9761588051915169
2762,202,0.8893321348088128
4453,33,0.9273455268038171
3304,107,0.913252403194617
1327,222,0.8783501615481717
1239,144,1.0264008502875055
2072,167,0.671670775860548
2602,167,0.7756450905331543
361,114,0.7680428868957928
1572,246,0.9791072223867688
2802,77,0.8806400554811782
1488,110,0.9170390367507935
3309,127,0.9298936064754214
1041,219,0.883160172429468
1717,245,0.8252860515245369
683,248,0.9969844043787036
4071,36,0.8674716459853309
4798,33,0.9422850012779236
4818,190,0.9442332142165729
4108,248,1.0994886854397399
3107,127,0.8148364690797669
2528,170,0.8351576949602791
2699,245,0.7947000938334635
1998,97,0.8905710067067828
2182,126,0.7358325698546001
3582,248,0.776245489982622
4799,77,0.9410215348470956
2891,149,0.73575495077031
2831,222,0.7320975331323487
1419,127,0.6081659580980029
2314,135,0.8494915367503252
2988,245,0.8020262790045568
4789,246,0.7861019521951675
4826,245,1.0759733686489719
5320,149,0.8817460451807294
3953,97,0.7900607325136662
365,245,0.7712618857622147
3670,245,0.8595211928643819
5653,241,0.8325157359774623
1600,219,0.9460530642952237
3859,126,0.770621469377407
1524,12,0.7626650674002511
1400,222,0.7145686361358717
4954,170,0.8732124540422644
2608,115,0.9406963610755545
337,245,0.8764964371387448
2032,219,0.7208413846258607
2712,219,0.7841751825596605
4766,12,0.9213250050587314
2158,77,0.6874129737594298
1492,222,0.9208727620009866
2831,219,0.7380675221128123
557,241,0.9553728071041405
5114,248,0.8136684202722141
5470,245,0.7209639581186431
2452,238,0.7978165607367244
2803,59,0.8387680458171027
1101,87,1.00201822498015
913,48,0.8200904024498803
2610,222,0.804584472307137
5937,127,0.7834704539605549
1241,222,0.8226283863186836
1210,248,0.7791373357176781
2712,127,0.8041186612099409
1684,222,0.8799227625131607
5853,93,0.7786001495218703
1123,91,0.7597488697086062
2602,185,0.7813399237181459
766,248,1.020152471959591
270,48,0.9559989241617066
3006,185,0.7326647649918284
1400,229,0.753545419978244
1428,149,0.8371758623314756
4330,54,0.8694213894861085
2035,170,0.8779824767261744
4915,133,0.7890004467751298
2512,127,0.9060057577277932
3524,170,0.7488164688859668
1454,114,0.7296618244477681
553,97,0.7499626321452004
1338,185,0.7936140304165227
4649,222,0.7671741350953069
2103,238,0.8484981232987983
5480,170,1.0137237721272478
5369,12,0.8546472723994937
1280,54,0.7865866875009877
2140,127,0.7242929456489426
3944,221,0.8422672982726779
1181,115,0.9078814387321472
3142,174,1.0391177737287112
995,222,1.1298341136425734
1890,115,0.6929942374782903
3393,245,0.9606775109257016
5315,162,1.0547001878065723
