Carrier,ConsigneePanjivaID,dist
112,414,0.6912806502410344
472,1430,0.8181670632745538
133,1671,0.7169563089098249
109,3653,0.7807693220674992
106,1444,0.7072816353424319
184,4675,0.9407284110784531
164,1853,0.9352121095040015
385,1503,0.655401528945991
96,1327,0.8002010924475533
523,725,0.6712052061089447
608,2182,0.8495277836918831
41,1100,0.7481547253472465
184,5095,0.7485158081565585
164,2271,0.9626680474196162
340,2831,0.6298143906252724
459,1115,0.7800760460751397
95,5204,0.9988038782695574
385,2046,0.8198254358555589
369,5937,0.6215724790069673
92,448,1.0541904781545912
184,1509,0.7587656878999302
250,2257,0.961610971018672
333,3647,0.9222324868398053
112,3005,0.7073991862790925
551,764,0.7565954135996955
164,1210,0.6684371701308659
382,1105,1.0755118014557021
238,2059,0.6720582800252097
382,2140,0.6816409304738045
21,1303,0.8784782995602914
248,285,0.7551460147702268
250,5880,0.9082810731737742
377,4735,0.9924830099833863
346,5937,0.5625928501997676
112,4464,1.0152916421315499
273,3866,0.7875560569976058
556,3669,0.7639243398859564
327,1015,0.8575794771313667
580,2541,0.5957239014761788
21,3778,0.9859578143805265
459,2546,0.8516789791839463
184,1890,0.6442130702946868
254,330,0.6914151981472969
318,1894,0.7220534575836999
184,2325,0.7743713962180274
321,5780,0.69060492888093
106,585,0.7754103062408311
152,1650,0.918766145594418
57,3638,0.7951501320515361
221,4494,0.6791551922048841
523,3005,0.7312743472201484
340,1205,0.8758023131106581
465,4309,0.7844787569982665
32,589,0.7240324158753667
164,1501,0.6791256683313155
36,1400,0.6353334866996322
32,1560,0.8907600917986461
472,2248,0.9564345812291971
101,4402,0.8667935319244862
164,5684,0.7208353167931948
254,2578,0.9028231533510345
136,3633,0.8099542813641685
184,691,0.8874114650700774
254,794,1.0193949464176382
96,1339,0.7338126844593457
546,1170,0.793047934637538
164,2341,0.744051816208022
346,1951,0.6499143897422722
523,4884,0.8044568542391062
382,5207,0.8454649616032839
523,3310,0.7093980035611561
502,4789,0.7663053699902126
291,1027,0.8109679552061217
136,2574,1.029916148067319
56,1232,0.9088154104538262
184,2724,0.7293370280947004
141,2715,0.7158398159912654
346,414,0.6557539446013314
250,1865,0.6576037321771894
238,414,0.6914545276335308
459,1876,0.885644488701863
472,1662,0.7932682377951485
46,253,0.7840267675263541
14,850,0.8379442180906024
248,255,0.6029580363205501
608,2140,0.6441077398402351
152,4526,1.150805945375136
164,2353,1.003097174955266
152,4142,0.8092356749943325
250,1160,0.8598822871489185
502,3049,1.0549182714790473
32,2213,0.7583509449447904
579,1765,0.8831568541271346
459,1788,0.8033990136214665
472,2711,0.6251809650233814
546,1648,0.8284223251310843
319,3294,0.5742198803595134
175,2162,0.8897268431527274
112,2195,0.6078460067510605
184,1301,0.7472195220512471
536,1676,0.80674591713718
96,3190,0.8574191012552806
142,4899,0.9608260608677354
21,2401,1.0288410176123892
164,2726,0.7723156197794846
164,4308,0.7860596871801785
53,1302,0.833028526045382
164,2528,0.7015848287514278
382,1431,0.6721601124320712
254,3334,0.7311020578656878
