Carrier,HSCode,dist
112,90,1.1424676603637636
472,95,1.1525530219078064
133,95,1.1277487674461943
109,67,1.140276608206997
106,95,1.1845542808462466
184,95,1.1363350236788392
164,90,1.1729915109795652
385,95,1.1515798148299967
96,95,1.1323813514650933
523,90,1.1971947838153159
608,93,1.1404961099116397
41,53,1.187787880455809
184,85,1.2182716600862997
164,92,1.1915109596614326
340,95,1.148560038634709
459,90,1.1871278307267599
95,67,1.1762990557721682
369,95,1.1482532299788935
92,95,1.178896383515426
250,90,1.1555934862366743
333,95,1.1128565855324268
112,95,1.1299395297787018
551,37,1.1145998979253429
382,95,1.1711169204541616
238,90,1.1702268799500806
382,90,1.1846665519156627
21,93,1.1678922165717398
248,95,1.1754093832735504
250,93,1.1513231322169304
377,53,1.1794277679707323
346,90,1.174558836833707
112,35,1.1723894524787153
273,95,1.163805527479521
556,90,1.1775085689233882
327,95,1.1864800165806497
580,90,1.1524731421044894
21,98,1.1933737606741488
184,90,1.153448489760714
254,90,1.149834337511233
318,59,1.2632863798311778
321,90,1.1079577196921622
106,90,1.196358708797821
152,95,1.164302839964096
57,67,1.1810408575526838
221,57,1.1294997846042472
340,67,1.166511018361364
465,95,1.1896890157035418
32,95,1.1640812885016203
164,95,1.1606000957212277
36,90,1.1107100006192923
32,90,1.1766283153556287
101,45,1.1731590230982485
164,94,1.1703567152310694
254,93,1.1496033161612493
136,90,1.0958965523168445
546,93,1.1563796974452478
346,42,1.1986657945173127
523,95,1.1827965011554105
523,57,1.2072547635595714
502,95,1.1289868562349252
291,42,1.169325087618615
136,37,1.0937612818587306
56,90,1.1844168502305235
141,67,1.1986594704378928
250,95,1.141367109226329
459,53,1.1999242031680686
472,90,1.1634268811238664
46,65,1.1377899663057178
14,93,1.099371652384954
248,34,1.2519957130508763
608,95,1.1286634297243185
152,93,1.1732052993029356
502,90,1.1337302401661873
32,84,1.2727203965187073
579,42,1.206781577851091
459,95,1.17300484568945
546,57,1.175462991597929
319,95,1.171224898924785
175,95,1.2174959009779351
112,57,1.1537739907923554
184,12,1.1555821528392178
536,95,1.1513346912605422
96,46,1.2504897052422166
142,74,1.2450818640312977
21,95,1.1579968104405063
53,90,1.1661751068064146
164,67,1.1838636725941407
382,57,1.1957021873178226
254,95,1.1394067342792238
318,94,1.1849052011966705
112,29,1.1542030535638332
96,90,1.1478177806628602
21,90,1.1715232827035444
523,45,1.2284929672522205
371,90,1.154266161578042
69,49,1.2473611666687898
546,96,1.1604079843631812
346,96,1.1746728532016277
490,90,1.1448954124269741
92,90,1.189166620440249
418,43,1.1994938600276197
93,63,1.1961930181298936
391,95,1.1336970097784485
486,10,1.1349258928426675
57,95,1.162104232519466
106,35,1.2256743546043123
412,48,1.1738822795450687
318,95,1.1777022246803557
496,95,1.1498317026666232
152,90,1.1755869199654885
422,95,1.1727006273078067
32,94,1.174270655028522
604,17,1.2418269009462424
364,35,1.089344786213977
518,93,1.1446173377335072
472,53,1.1810686880988734
523,92,1.2143881126706089
580,95,1.1456108343388354
546,67,1.17557471152395
92,35,1.2126097624256675
319,90,1.186041893836643
106,94,1.1940510806494526
250,94,1.1532554546637195
164,64,1.2149137197328466
459,94,1.1822777882750546
382,36,1.210674877544599
141,96,1.1848175621458463
172,93,1.1584698344979967
414,95,1.104021433075624
53,41,1.251808402793748
248,67,1.1970945173608405
95,93,1.1623816000563758
36,95,1.101883099913331
608,90,1.141732897210334
586,93,1.172172290805195
205,46,1.2780030558684043
291,94,1.1416735780824507
382,18,1.2630523068032093
291,90,1.1437346753830622
465,35,1.221232637230839
3,29,1.1810871783111776
346,95,1.1584382592035192
382,60,1.1974773944488593
377,45,1.1991231723555498
346,94,1.1717520908319525
316,95,1.1760090291500092
334,95,1.1245400123713938
485,95,1.1662868679101979
