ConsigneePanjivaID,ShipmentOrigin,dist
414,18,0.9249722739415509
1430,18,0.9192043266126088
1671,18,1.133730445589338
3653,18,0.872426546045712
1444,18,0.8505723252892494
4675,18,1.1036811018628734
1853,18,0.8286893764244658
1503,18,0.9867717538561139
1327,18,0.9772814043930599
725,18,0.9056150721652168
2182,18,0.9054424964955875
1100,18,0.8889894796801465
5095,18,0.9922454596630165
2271,18,1.072917437846107
2831,18,0.913198573248727
1115,18,0.8661165551415512
5204,18,0.933246656187943
2046,18,0.8986669683030674
5937,18,0.9336288116340127
448,18,1.0771658425884587
1509,18,1.0041115872029747
2257,18,1.0655823844884122
3647,18,1.098649678485734
3005,18,0.9235324705285686
764,18,0.9087778127619198
1210,18,0.8725081151351333
1105,18,0.829239427378135
2059,18,0.9402306729129383
2140,18,0.8860750012099743
1303,18,1.1872787827492826
285,18,0.8785912002037678
5880,18,1.0309435581522328
4735,18,1.0003253173615252
4464,18,0.9362497382930347
3866,18,0.9017702136188745
3669,18,0.9640243287597384
1015,18,0.8181339439137706
2541,18,0.945736034640244
3778,18,1.075767922614302
2546,18,0.8747498914599419
1890,18,0.9031071732086795
330,18,0.9055316597223282
1894,18,0.9420611086700644
2325,18,0.91956640493923
5780,18,0.8621128681781036
585,18,0.9975404352215784
1650,18,0.9411488003762705
3638,18,0.9122667115713868
4494,18,0.9346929896689419
1205,18,0.8254186574901853
4309,18,0.904486424688782
589,110,0.9751577664698873
1501,18,0.8544913908200604
1400,18,0.9704744918271899
1560,18,0.9574701325701815
2248,18,0.8462361480508532
4402,14,0.8790264683110374
5684,18,1.0188842421131474
2578,18,1.1782543478267533
3633,18,0.986584583563464
691,18,1.1408924087882042
794,18,1.1220186556622918
1339,18,0.7791985065809318
1170,18,0.9613123392420155
2341,18,0.9781197034088629
1951,18,0.9130697303584644
4884,18,0.9325918582534152
5207,18,1.0472624442939247
3310,18,0.9506872251097646
4789,18,0.8339565667722907
1027,18,0.82611069721835
2574,18,1.1032323592475481
1232,18,1.0077504616762911
2724,18,0.7689498016344649
2715,18,1.0269521988396133
1865,18,0.8819178811141423
1876,18,1.0309682773160083
1662,18,0.916432762252433
253,18,0.8990034820245845
850,18,1.079394397991044
255,12,0.9451011593586632
4526,18,1.0302106173975127
2353,18,1.0562643589718002
4142,18,1.0475862132651466
1160,18,0.9278778150411588
3049,18,1.2016676403582096
2213,18,0.8607937831963811
1765,18,1.0421567282506399
1788,18,0.8963080772331783
2711,18,0.9197561468130776
1648,18,0.953265393152833
3294,107,0.8238917062325137
2162,18,1.038100274545806
2195,61,0.9811035176473004
1301,62,0.9884160586765834
1676,50,0.9069241242749351
3190,50,0.9878470237765994
4899,99,1.0273867409144128
2401,18,1.2323363543088948
2726,18,0.8861281493944781
4308,18,1.1611654886177607
1302,18,0.9189597538539341
2528,18,0.83815498650074
1431,18,0.8301672070686307
3334,110,0.8608498275279999
1123,110,0.9350310457604272
1241,18,0.8942848683467933
1426,18,0.8433859486665044
3766,18,0.9300120525045453
2985,18,0.9482514932751656
2229,18,0.8905399516224861
2522,110,1.0122155589716775
2158,43,0.8956365063786507
3334,18,0.8484488786863429
5825,18,0.9475229676546795
3841,18,0.9712287953921727
4644,18,1.1146779117573584
3006,12,0.7962512565510613
2854,18,0.9118171179933208
2038,65,1.0069267387901033
5836,59,0.9280002943373152
5564,18,0.8925426389489856
698,18,1.0052480069654328
55,4,0.8963908877755914
5104,18,0.9273426500814301
753,18,0.9682230566229139
5341,110,0.9165464011686189
2950,18,0.9186383395322731
3963,18,0.9692150724419791
2974,18,0.9346813197646823
5854,110,0.9784321607356625
5698,12,1.055235918611288
4090,18,0.8911522700052176
3900,18,1.0221949879612242
4536,18,0.991094747292144
363,18,0.887085173279047
1734,18,0.8835281982485738
418,18,0.9458893973912511
3627,18,0.7396292239427567
3206,18,1.0097918920218945
5276,18,0.9066986726330859
5193,18,0.9260508928980146
1354,18,0.8386534304091973
5613,62,0.8678068982969437
3798,18,1.00195460287588
4279,18,1.0318343095215303
3756,18,1.0600090771913528
3276,18,0.9146773777902126
5063,18,0.8655882512352296
1893,18,1.138894363705601
5640,17,1.0018173599881786
1560,43,0.9533042583082404
3294,110,0.8069354193950338
836,18,0.9815751548324313
812,18,1.013113573758996
365,18,0.9088710357568094
676,18,0.8680027364087957
2903,18,1.0926708595028944
409,18,0.8994723279029131
2889,18,0.8534925411056195
1339,62,0.7904098981193134
2195,18,0.8624798421348844
3545,60,0.853803014316197
4415,36,1.1328240247177226
5672,18,0.9451093335103776
3143,18,1.0283160912139075
1287,45,1.0205684410674232
1861,50,0.8797455479257873
5937,79,1.0021983257361822
4460,18,1.054567405687911
5084,43,0.9728391532387052
1786,62,0.8034805639513901
5937,80,1.0553676283785276
5776,12,1.0335773160415036
1529,45,0.9553726710645216
1817,93,1.0112408729536193
3288,50,0.9523590465209314
5937,12,0.9443556546632733
5193,110,0.9408186886991773
1835,43,0.8331460186413356
4604,107,1.1381795102996486
5838,83,0.9517754018306732
5470,110,0.8597642768706594
3361,110,1.0372116076094764
1796,43,1.0479302938495363
5772,46,0.8986388681722539
4845,43,1.141966068318912
330,110,0.9119381212762424
5251,99,1.1736701049106029
3018,110,0.9910515200878892
1218,46,1.0628271968370038
5937,50,0.9368202663525673
1270,107,0.7431617459016187
5442,43,0.8237903022340366
5440,16,0.9654798981334481
1302,43,0.9374419339001179
2035,110,0.9353621410472053
1,62,0.885172514244914
4022,16,0.8975155690152731
1873,12,0.9333935658879844
1970,110,1.3222137810662389
935,50,0.938069154641458
4435,99,1.2153252701142006
2546,110,0.8838841484061309
2032,65,0.9988427247319903
1627,25,1.0067008695166026
1760,50,0.8244501442282594
5854,107,0.9879373346588441
408,110,0.9407538435272207
2349,66,1.042439774210964
1170,46,0.9697123670152256
4024,35,1.0903149829911334
5599,60,0.947334307112864
3390,56,1.01721481819238
5442,46,0.808624938662563
2619,99,1.0135088871632303
5339,50,1.0309874257072806
1890,110,0.9163578396629808
2929,12,0.9822576679289341
2128,107,0.9197246783546039
796,50,0.8540353572794369
2858,8,0.8133262145732131
29,110,0.8350479656032154
3797,43,0.818938280322722
1102,1,1.0300300908940179
2998,18,1.0337150756136648
5408,107,1.021510707480567
2328,62,0.8808992116578988
5937,58,1.0366564318537712
5937,90,1.0883999516123108
5064,52,0.9391537039939847
1474,43,0.9249010639531272
5772,110,0.9074153639376163
3945,18,1.0909442198462784
1419,45,0.8603290703945926
5942,107,0.9237942312444959
2869,93,1.0060140586325101
5937,83,1.0389043066118444
3414,18,0.9740635088777968
66,26,0.8709185954981616
5582,18,1.0058035194607717
2253,43,0.9936131377305303
354,50,1.0190752297639847
1200,36,0.9488854386976787
5302,12,0.9790010981793914
4783,46,0.9719278482454163
754,18,1.0161296102617468
2140,110,0.8947980244244848
4581,1,1.0421621397669827
2182,110,0.915884501167706
996,18,1.0956159819449698
39,99,1.0404740593263082
5229,66,1.0640286797923701
2512,78,0.8281376690470746
1890,46,0.8941143554236207
624,26,0.9207223286918763
1641,18,0.9367631540766784
2377,43,1.037027008831501
1339,43,0.7925545456154006
1496,17,0.9022502104884812
1579,18,0.9329366481729916
2140,62,0.9059478762958731
11,110,1.00876607464826
1118,110,0.8945267958832639
885,17,0.9663810381399733
4452,94,1.0510456253375327
5937,36,0.9905103296041489
5751,12,0.9787627631532294
4071,40,0.905037515796721
3002,43,0.9134095790130752
2182,43,0.9207531745944705
2456,110,0.9512453783702638
5120,16,0.9352930624570165
2424,62,0.9066575242738638
4934,43,1.004296182521752
231,17,0.91261424017804
1354,110,0.8564115158681359
2615,17,0.9155640383916241
3088,50,0.9937957163367953
3386,18,0.9232889094523021
229,71,0.8516696100788457
5937,25,1.0702777302690916
2125,98,1.0434298834630422
823,43,0.9276377026523862
1368,50,1.0087812987289257
1942,101,0.8612338265603674
2886,99,0.8586334705884967
4512,50,0.9739692264369556
2704,18,0.8217496669718197
1980,43,0.9142021196229118
1170,82,1.0543787713561739
2008,99,0.9283738120325974
3972,50,0.91361136042646
245,110,0.9489756403158286
824,16,1.1881699615291186
2074,18,0.9093199484050274
4956,18,1.018782832792827
5937,101,1.0201165223760265
4181,16,0.9876304981963975
1017,71,1.0073277955276094
1985,1,1.0258044728210993
566,62,0.9438858213335541
5937,7,1.1388024389743805
1251,43,0.9575579326067652
3390,83,0.9460739891177842
2884,17,0.8271173973168645
3221,110,0.9351896797639451
1814,18,0.9015288175017174
4831,43,0.9969786293804646
4403,66,1.0760511356805051
3406,18,0.8495878582554204
779,79,0.9281962322337287
1287,99,1.0255606094641345
5755,62,0.9314902885151761
2058,12,0.7707996102316039
2276,18,0.8823236900248698
3005,110,0.9421129833374705
3026,18,0.8110921782042299
5310,45,0.8993680732590812
5185,30,1.0743759106844664
4051,52,0.9923091046512127
285,43,0.8912153421468767
1777,26,0.9954225543354239
720,36,0.976512275370104
1501,46,0.8565200663038662
1112,79,0.9342687002250126
2762,12,0.9468931992139135
4453,17,0.8599629972928337
3304,49,1.0673944332769938
1327,46,0.9631114032651696
1239,50,1.1519277266093664
2072,12,0.8546862487814256
2602,12,0.8937529194434839
361,110,0.9925370062036174
1572,18,1.145395566543032
2802,12,0.8898296521178314
1488,97,1.0468045584857464
3309,62,0.8211959089551654
1041,110,1.0018658807634242
1717,110,0.9251730878438268
683,60,0.7884456621749061
4798,70,1.0017537881753273
4818,18,1.0505989204560007
4108,43,1.0502023702221257
3107,99,0.984256920005594
2699,110,0.9633768573403358
1998,70,1.1160126060047852
3582,18,1.088912535059665
4799,12,0.9791150896676949
2891,18,1.0139659514783748
2831,62,0.9368722066283226
