ConsigneePanjivaID,PortOfUnlading,dist
414,13,1.1453198213130236
1430,38,0.9536864172135081
1671,4,1.0676918833383493
3653,45,1.0002558452210255
1444,4,1.1428624764084816
4675,38,1.038233308121562
1853,54,1.0767523241894585
1503,47,1.0182973071932793
1327,38,1.0611127934285574
725,40,1.074105892330408
2182,4,1.0698363929986954
1100,40,1.1406500206461974
5095,38,1.0696635344730956
2271,23,0.9462446461298636
2831,8,1.1055578542873263
1115,38,1.2186290972999163
5204,45,0.9750138755355563
2046,50,1.1418114538703645
5937,45,1.1471650834594453
448,13,0.9274674260190555
1509,54,0.9280675737619666
2257,54,0.8718103502344873
3647,54,0.9187786977605096
3005,38,0.9929619897156954
764,38,1.1973271806325232
1210,4,1.0586682387760706
1105,54,1.0257092267274857
2059,45,1.1296752180371965
2140,38,1.1340499087902052
1303,52,0.9451535268287573
285,45,1.188004900568298
5880,13,1.0714483740074294
4735,13,0.9566700737923384
5937,2,1.1667317226529121
4464,38,0.9986645643200193
3866,54,1.1901780652946659
3669,54,1.0316549901451384
1015,54,1.0831141325512104
2541,38,1.0779536858733212
3778,54,1.0026674145566565
2546,2,1.179385970745768
1890,2,1.2243978828191757
330,54,1.1519476441400391
1894,38,0.898931585252285
2325,45,1.0745219131931663
5780,50,1.103658794292382
585,13,1.0967387684753962
1650,45,1.0538001830157424
3638,5,1.0976467654109001
4494,38,1.002366287899869
3005,54,0.9957135354301759
1205,38,1.1716359337525708
4309,54,1.0565364717372827
589,47,1.0816886717719691
1501,54,1.116767056286335
1400,54,1.1493314525910787
1560,54,1.087063426684056
2248,23,1.0743587810013975
4402,54,0.9967966500137534
5684,45,1.0120604836515017
2578,45,0.9418877480285508
3633,54,1.2393306802426065
691,45,0.8813948135024735
794,38,0.9913335655416761
1339,13,1.1027200679693903
1170,47,1.2047379910945892
2341,54,0.91534416696855
1951,28,1.1712659384523119
4884,54,1.0025583251512475
5207,54,0.8792558392243726
3310,54,0.965305612555572
4789,4,1.108373302700264
1027,38,1.2202614332948412
2574,54,0.8920168557337352
1232,44,0.9201746231078037
2724,44,1.2232982452426637
2715,38,0.9651174603828362
1865,40,1.046129078471235
414,45,1.1534788512757845
1876,13,1.1672691511256355
1560,40,1.085045658584152
1662,38,1.0664326708231653
253,54,1.0869331663208348
850,13,1.111699734947511
255,2,1.1230179137949432
2140,52,1.1982539197696107
4526,54,1.0508324394800834
2353,54,1.0438049925724044
4142,38,0.9077589341572353
1160,45,1.0246324459356921
3049,38,0.904007117663111
2213,54,1.0360292353268181
1765,54,0.9952890005494867
1788,54,1.0581737841878618
2711,8,1.0905836352280207
1648,13,1.0573921448085457
3294,49,1.0995974212086626
2162,54,1.0888199252741677
2195,44,1.2017632818647794
414,38,1.1489533970930748
1301,13,1.179605902305671
1676,47,1.0729938596487045
3190,13,1.0839241594076157
4899,45,0.9699096568926636
2401,54,0.8706448493259293
2726,45,1.025043762887695
4308,40,0.9801445135048458
1302,38,1.0717659635203225
2528,53,1.1576639647994722
1431,38,1.1842436386006219
3334,26,1.1885713349495615
285,47,1.1726762019097805
1123,13,1.063674584031105
1241,13,1.109335497021675
1426,54,1.1493241058196872
3766,38,0.9579203692930085
2985,38,1.0703612246683665
2229,38,1.1376317015716009
2522,26,0.9646788878100259
2158,38,1.160389322255339
5937,15,1.1742929805602347
5825,54,1.0247529188969307
3841,53,1.1395946840556073
4644,40,1.0174728003995759
3006,4,1.097200557589531
2854,12,0.9987291001847812
2038,38,1.072397189480918
5836,0,1.2857846157359225
5564,44,1.0773192613518663
5937,54,1.136378951370716
698,38,0.9563956247376544
55,53,0.9602382204944401
5104,54,1.0963124203096544
753,54,1.0417524158422435
5341,44,1.1405688489654235
2950,44,1.1367352489115936
3963,45,0.9646709965808051
2974,26,1.0360059485371624
5854,26,1.0470053431178843
5698,47,0.939869259084974
4090,45,1.1367911962526185
3900,23,1.2359764597245626
4536,54,1.1563615973240562
363,13,1.0909582780940192
1734,54,1.1699724266571658
1501,38,1.1124418952635355
418,4,1.2104901197765554
3627,5,1.1835978031158447
3206,8,1.089422380817788
5276,49,0.9245315055762019
5193,26,1.109670470601746
1354,38,1.0820269967828477
5613,4,1.1504263853920358
3798,2,0.9406380546944482
4279,54,1.1024248360523157
3756,47,1.0212170598762376
3276,40,1.0613493783665555
5063,26,1.0782415447257725
1560,4,1.0847277542842286
1893,38,0.9464636453028236
5640,40,1.1724695818764823
1560,45,1.1014868595770426
836,38,1.0873657214854444
812,38,1.0533762659345354
365,4,1.124960086707558
676,44,0.9871214501825827
2903,4,1.0717123564598816
409,13,1.120046354830265
2889,45,0.9186306217951434
3545,5,1.050657022212233
4415,4,1.157125309641872
1890,13,1.206890004021781
5672,54,1.2138643179621016
3143,47,1.0318694189190865
1287,13,1.0417722399745668
1861,54,1.163459952388491
4460,45,1.0891296288796835
5084,45,0.8841746619769505
1786,5,1.242791650550706
5937,38,1.1362913538302695
5776,5,0.9859198365094406
1529,4,0.9959097866501126
1817,45,0.845146317367575
3288,54,1.1243730911186762
5937,44,1.1461931094527245
1835,5,1.0394633392404233
4604,38,0.9009104778191873
5838,54,1.1763917303511076
5470,2,1.1208859007539493
3361,53,1.044220186237778
1796,54,1.1543208246252366
5772,44,1.19494094061
4845,26,0.9618598472859178
