ConsigneePanjivaID,ShipmentDestination,dist
414,38,0.9674219071332898
1430,81,1.140948718945895
1671,18,0.8615065695984023
3653,89,1.1318352712052209
1444,18,0.9741138858454568
4675,54,0.7715366879212004
1853,116,1.0121765620341259
1503,91,1.0361435365464007
1327,81,1.1730312587959426
725,83,1.0587118406380926
2182,18,1.1295282888625349
1100,83,0.9941121871982302
5095,81,1.0285838320851326
2271,51,0.8822006498064313
2831,100,1.1200743112713099
1115,81,1.0865111342365188
5204,89,1.1524965989935612
2046,105,1.0913978948124818
5937,89,0.9696213275061122
448,38,1.1235162924442972
1509,116,1.0568138019048743
2257,109,0.977145001824413
3647,100,1.0201344362327032
3005,81,0.9710687617106097
764,81,1.040173458866775
1210,113,1.093886606927429
1105,116,0.9590982220002583
2059,89,1.0761150462286813
2140,9,1.1318001028682505
1303,112,0.9967729800513813
285,89,1.0175026974507742
5880,38,0.870397820004395
4735,38,0.9151561436176833
5937,4,0.9343303614961249
4464,81,1.1729570403861413
3866,116,1.0668637534337384
3669,116,1.0206680808748518
1015,116,1.0742280472602164
2541,81,0.9540765759135995
3778,116,0.9706246804978166
2546,4,1.1676945595868997
1890,4,1.044776611695332
330,116,1.013015028222331
1894,81,1.0509033682090896
2325,8,1.131080298019307
5780,105,1.188413136771747
585,38,0.9992458035371133
1650,89,1.1362223559325295
3638,22,1.048098482723747
4494,24,1.0327383721513408
3005,116,0.9773705106760774
1205,81,0.973156215356929
4309,116,1.0413828545383044
589,91,1.0146998556197755
1501,116,1.072166204984699
1400,9,1.0828036700508423
1560,116,0.8820453538958516
2248,51,1.193339737398284
4402,116,0.9321441911160946
5684,89,0.9558810272387096
2578,89,0.958218004288418
3633,116,0.8247613023434367
691,89,1.0187352926337294
794,81,1.021188312875373
1339,38,1.06661495913951
1170,91,1.009464695783598
2341,116,1.1184134462050028
1951,64,1.040666788816452
4884,116,1.054385476878711
5207,116,0.9950420643602099
3310,116,0.9797411011531949
4789,18,1.1706403137317725
1027,22,1.1439299487641879
2574,116,0.9989140295822706
1232,88,1.1086899978773934
2724,88,1.0682533095989908
2715,81,1.1840030678680964
1865,83,1.0555911119694688
414,89,0.9773919233786208
1876,38,0.9361622743308544
1560,83,0.8635690135083028
1662,81,0.8968536504960086
253,46,1.1865880185339068
850,38,0.9268493173377854
255,4,1.0683796991194998
2140,112,1.1203784461000137
4526,116,0.9340325726994446
2353,9,1.0177740630294596
4142,81,1.1323118465287345
1160,89,0.9552496007111456
3049,81,1.143842677984919
2213,116,1.1290935716990913
1765,24,1.0924592821725778
1788,116,1.0812184121459723
2711,27,1.00118580779859
1648,38,0.9446192825479167
3294,99,1.0619002796177353
2162,116,0.7967349200376442
2195,85,1.063856900070927
414,81,0.9731517662793132
1301,38,0.9332797814692769
1676,24,1.0092835619247384
3190,38,1.0341353549488954
4899,89,0.8755655432386058
2401,116,0.956670305026429
2726,89,1.1574624389676111
4308,83,1.0709133758874876
1302,97,0.9744295706706387
2528,115,1.1529938927186387
1431,113,0.9975587475512709
3334,59,0.9122223598616463
285,91,1.0074784894074713
1123,38,0.9275196732154914
1241,38,1.0818170426147324
1426,67,1.0112373541508402
3766,81,1.142709103013788
2985,81,0.9571267255315823
2229,81,1.0421858892909117
2522,59,0.990860835516027
2158,81,1.02709900321705
5937,42,0.948285343923739
5825,116,1.0815150365233421
3841,115,1.0118216507669007
4644,24,0.9340817811233657
3006,18,1.101373559662274
2854,37,0.9753356623862471
2038,105,1.112695962190628
5836,0,0.9642238851104464
5564,88,1.1465363885675157
5937,116,0.9712545853108168
698,52,0.9788859992155007
55,115,0.8817286959716252
5104,116,1.014966399541923
753,113,1.109100223319339
5341,88,1.0984106872762953
2950,88,0.8760276229253837
3963,54,1.2502383291721344
2974,59,1.082628817031426
5854,59,1.024498728769166
5698,91,1.0167153360421903
4090,89,1.0280060744179147
3900,51,0.7455205438392503
4536,116,1.028290738218597
363,38,1.0521415897778101
1734,116,1.0074986581291472
1501,81,1.0680845994502306
418,100,0.9419557920524052
3627,22,1.0716348412845815
3206,27,0.9442943643246379
5276,99,1.0361170736806733
5193,59,1.0310738129275185
1354,104,1.0611831088151251
5613,18,1.0683027636259794
3798,4,1.0515696736318725
4279,116,0.9581585103379828
3756,91,1.0090391242078371
3276,83,1.0543733845864023
5063,59,0.965558511870248
