ShipmentDestination,ShipperPanjivaID,dist
38,4143,1.091956012483154
81,4572,1.140542796580121
18,2286,0.9295351816607373
89,4033,0.9555014217538493
18,3840,1.0220879028950418
54,3181,0.9171504484755653
116,6844,1.1291670583720719
91,3818,0.9759024594511304
81,113,1.2183217001812798
83,2161,1.1980334797075816
18,6053,1.2228469444172723
83,1464,1.0489383736359221
81,952,0.9645390697488827
51,4620,0.8959453250946743
100,6676,1.040399937757424
81,2345,1.0512543892753976
89,4824,1.114364757468658
105,6045,1.1052159491394247
89,1646,0.8092149698308536
38,6192,1.3327866704868419
116,6177,1.1874825081654958
109,2229,1.128172103847776
100,2107,1.0305339433252811
81,1013,0.8042984318786434
81,3990,1.0405899435281754
113,6871,1.2142358608543873
116,2185,1.1405764581369502
89,6832,1.1888556012085505
9,2161,1.1966292038559914
112,4704,1.148538390174508
89,2001,1.0156567671469279
38,3807,1.0555523152995323
38,3576,1.1257160890049167
4,3939,0.9733773246407509
81,2405,1.1075876126331943
116,3072,1.0264430277581726
116,4289,0.9183754920959473
116,6160,1.063653927795323
81,5309,0.9317052520013281
116,4044,1.0654655492731504
4,2161,1.1795178854039736
4,2252,1.1292340494692326
116,6871,1.203399449054684
81,3770,1.1886380655424935
8,6806,1.0538326219788618
105,6084,1.0625298173233335
38,5895,1.0665649473667145
89,1311,1.1149787801717008
22,6652,1.0353194746587957
24,1282,1.0388331046061856
81,2074,0.9391579393829618
116,1218,1.0188883955457382
91,6069,0.9528996330419821
116,968,1.0464200212487154
9,3663,1.090769010329885
116,1946,0.9363070353865623
51,6873,1.1746717686099666
116,5332,0.9958677526031222
89,4958,1.0663635008303183
89,5616,1.0062967070511408
116,5206,0.8695862234703132
89,4228,1.07715797743627
81,3210,1.1412239117281777
38,5676,1.1422351896762848
91,1019,1.0395401970682931
116,6278,0.9026320087058204
64,1340,1.0387487879821233
116,5841,0.9418964652078492
116,6205,0.9521458591001907
116,3991,1.0464558226189442
18,5307,1.0658075122960977
22,5719,1.0260694261108125
116,701,1.1041209527424403
88,5088,1.1073446401527949
88,3048,1.139534828984844
116,3443,0.9222219639590808
81,3553,1.1202547779040677
83,4122,1.0001341337254936
89,4143,1.0931005919202497
38,6395,0.9131066708692482
83,653,1.0841544402563679
81,3938,0.8754750479544912
46,6891,1.1599334089883737
38,4912,1.0991980188659258
4,4283,1.1462515629827976
112,6662,1.0101261116298181
116,6135,1.0252936759830586
81,6873,1.2036788397069489
89,6871,1.185904896152871
81,2063,1.1737688801118307
116,2282,1.0387361847928591
24,3066,1.1238861786467689
116,2306,0.8488536185718009
27,3195,1.2090447912258762
38,3017,0.9143610394426754
99,3485,1.0448476757322038
116,6077,1.0058642317141806
85,5305,1.1303000732191972
81,4143,1.0884812475581254
38,244,0.9987948148378304
24,703,1.0992840794580323
