PortOfLading,PortOfUnlading,dist
65,38,1.1448430542035826
59,53,1.1840018925390072
202,53,1.1717850130849652
167,15,1.1973077584324139
5,2,1.2020115064723151
219,39,1.198644224022116
173,5,1.1675051876476832
39,44,1.1639183754367488
214,49,1.1185071525563086
77,28,1.1813046018193876
22,23,1.1320835767047746
133,44,1.2243841632402368
44,26,1.1266629848895329
159,45,1.1401727167623383
164,4,1.140741411995675
137,54,1.1596387433154243
205,54,1.2233866575573171
133,26,1.2156177407928876
62,39,1.1296282151181782
232,13,1.2221278183694397
223,4,1.1518374644552491
173,2,1.1725142550588186
59,44,1.2015827718589986
56,15,1.1541430406006319
48,28,1.214712138154677
83,38,1.1473882597471987
137,19,1.1292690198336328
162,23,1.1790181275989329
65,54,1.1439066252538137
69,47,1.1663290672004223
127,47,1.1945218720606394
111,53,1.2172960303723812
140,5,1.1439138406089373
232,44,1.2369065923682814
60,18,1.12261318801237
202,13,1.1765148059598036
236,26,1.1662301201140508
97,26,1.2284806405327149
82,53,1.1152483843533056
180,54,1.1788413460765566
209,15,1.1148611572571099
149,28,1.210523088861789
1,47,1.1774541118315287
84,55,1.0860584702874934
238,0,1.2362710860158717
149,33,1.2681264435606343
25,38,1.1885917259912406
245,2,1.2029904523598296
26,45,1.2104908153414726
140,40,1.1612933373876981
219,55,1.2098609429917164
215,37,1.1852638008339065
56,26,1.1661578370258212
148,54,1.2031537278422288
10,15,1.183649172740323
22,0,1.1337332174714123
83,26,1.1343994502510344
33,26,1.2361355485128505
59,28,1.1847393025444555
166,35,1.1353109409766537
232,5,1.2222153770271689
185,40,1.200447451589363
138,47,1.2049088632421834
129,13,1.1545343715697527
188,40,1.2297183565263237
121,13,1.154877720533737
202,44,1.1895822801494174
124,2,1.1312467533030681
97,40,1.2350158616900444
5,53,1.1885870188208563
119,39,1.127732604342912
215,8,1.176687778905034
7,8,1.1297459216522319
59,4,1.1950693396585328
133,53,1.210372868925333
217,38,1.1524048266666276
125,8,1.2047174080674137
12,44,1.212208685332111
224,47,1.1517945385671087
155,2,1.1836897544562817
215,47,1.1635660007596016
110,12,1.1362401659467392
55,5,1.1711827724107675
174,4,1.1959665401705675
76,26,1.1572231645030635
240,38,1.1999160048684903
48,40,1.2208729812077113
247,2,1.1944671531340905
233,4,1.1528976254298218
83,4,1.1411254374044282
186,13,1.1572244525221842
158,5,1.1666721726900764
148,5,1.1845846995711327
79,44,1.1998934649995394
235,45,1.1654605439731054
210,2,1.1714886317827873
217,40,1.1542957604729704
120,47,1.1283880770206451
111,40,1.2326015027772104
125,38,1.209647179714271
196,5,1.1404494701751642
244,13,1.1691318689180272
232,15,1.2452803227518285
202,2,1.1835505379629987
205,5,1.210923902740303
78,4,1.1691959181002207
133,40,1.2217824759094842
184,14,1.0930519013532571
129,0,1.177820838455643
149,40,1.2205174171498843
66,22,1.1346034306500639
21,38,1.1430654576314347
205,23,1.2407366069299834
100,28,1.1493634028094155
217,54,1.150635574545179
223,44,1.1550777814949729
230,4,1.1754734690434165
77,0,1.204937563410827
125,45,1.2060736534850938
71,38,1.1985366795478123
185,12,1.209496727150898
162,44,1.1691055824714047
173,13,1.1754832422094685
69,2,1.1979290087308203
133,5,1.206479794345796
170,12,1.2258080568696772
189,36,1.1065445499760764
135,12,1.226611936099029
94,26,1.160343023283141
190,40,1.177923811133951
196,28,1.1287793796509504
147,47,1.1108496527719711
26,5,1.202227228454181
247,38,1.199278060879026
244,2,1.1653378720262222
216,5,1.159226472888674
33,55,1.2726823141565546
149,55,1.2390436386423451
5,4,1.19991071415799
202,47,1.164773537112134
240,44,1.2045370039663144
97,44,1.2397760661052806
178,47,1.1355228193902545
111,12,1.2394610254892282
216,4,1.1719511678176266
188,13,1.213265377695539
124,5,1.1243098761354173
33,43,1.2914718416120325
233,15,1.138875037539817
149,13,1.2056885276521956
108,33,1.1611612582845348
56,2,1.164947569636362
59,40,1.199120208621025
41,13,1.190505186361926
113,52,1.1842024448726858
138,12,1.23652955171253
160,14,1.1205339868153845
138,26,1.2252778229968888
167,12,1.2026105537744505
77,44,1.1948614925412195
167,38,1.191212776516165
110,47,1.133165089679616
105,28,1.1518173377428735
67,23,1.1278999599495105
80,44,1.1848912544415466
240,23,1.2122000131223882
10,39,1.1683346687683038
221,34,1.1686278650803226
12,4,1.208308984750017
44,28,1.118283842823335
104,40,1.1461670249700546
89,26,1.1616249196231365
18,5,1.12414801360241
197,8,1.1489890206804765
122,4,1.1686803616051162
205,39,1.2341358363628387
51,13,1.1672418479408537
215,15,1.1780564920211742
113,43,1.202696977449315
97,12,1.2431829449321543
27,13,1.168160795899374
6,13,1.1624927989074163
27,23,1.14553268466677
9,26,1.1773731037974358
89,54,1.1722963705126728
174,13,1.1853437945246696
225,13,1.1393923903150218
153,15,1.1493496328060115
5,23,1.206385801945414
86,13,1.1478064133386527
230,13,1.1673147460678592
232,26,1.2329453559858459
232,45,1.2312313177223717
63,47,1.1495613987956728
36,19,1.2389051882284028
167,49,1.1965132988989353
208,28,1.1429078278264828
79,13,1.1856890507042408
26,47,1.1944513102727277
129,28,1.160756555785026
136,44,1.1844092713935035
125,54,1.20820705432977
5,13,1.1856143192521162
79,49,1.2124057217900241
149,47,1.1953098294990403
89,40,1.1693668303612088
248,46,1.25924637062209
1,5,1.1867174005934171
95,4,1.1626909954939038
74,4,1.2036709571257234
108,49,1.1588577104266733
99,28,1.1151020327316863
51,15,1.155898877020393
165,2,1.2012986056506634
41,4,1.2077792660732354
93,40,1.201543251318591
78,47,1.153419383934566
26,0,1.232999785138028
18,13,1.1330953216446298
223,5,1.1403568625184042
228,54,1.1473123292837824
217,4,1.1472841371848648
63,45,1.1656041624290603
81,13,1.1741450386387962
122,5,1.158948177338711
119,47,1.143098324005093
141,49,1.1282437309356672
217,44,1.1517209413993572
245,45,1.1914985557751996
100,13,1.1518082141077943
113,30,1.2041864331279482
211,54,1.1592155610477286
106,45,1.1389632283576898
144,44,1.2053451125643082
224,4,1.1752184565578188
9,54,1.1871634838836533
26,40,1.2187732008418866
97,2,1.242303876472371
91,4,1.1948361450007983
54,23,1.2148536954607283
202,39,1.158166561807905
196,15,1.1408119656677758
150,4,1.1868359877761188
113,38,1.20974511174219
106,54,1.142549070928778
165,13,1.1895163767039776
154,47,1.1509022829788071
205,40,1.2274324938688161
20,28,1.1287920395178455
54,34,1.2625860199332237
215,13,1.178259707055986
236,40,1.1778452045151167
232,49,1.2436572760343552
96,13,1.1355159250753266
11,38,1.142104614908541
166,18,1.1346100653920854
170,50,1.2711740636399813
108,28,1.1498844255028027
168,4,1.1486368240522487
129,47,1.145357736718974
246,2,1.1914648530738694
208,5,1.1570628937333822
9,8,1.1739140528121166
204,8,1.1443694888481073
111,54,1.2276441742266928
158,40,1.1852271971958024
130,15,1.1277935172298126
97,23,1.2497545608452387
206,28,1.1135812484925347
85,12,1.1329562310129404
70,49,1.145153796433338
31,49,1.176523714193276
215,20,1.1844443955591746
16,47,1.1279330024761813
65,26,1.1268208724047457
236,4,1.1750481610319443
201,53,1.1666969692201488
240,47,1.1731427952181548
40,44,1.2045769611639636
154,13,1.162033406086266
13,40,1.1323381579880203
5,39,1.1961383988548602
211,43,1.093060682660767
80,23,1.1887886630637305
109,47,1.1558684029150754
55,39,1.1564240829486931
216,39,1.1672576784289308
167,8,1.1907979023775883
193,5,1.1615091737891947
39,4,1.163726228023214
26,8,1.2191228552588396
104,54,1.1500926044370448
93,38,1.195873700082302
221,54,1.1736882744090897
166,13,1.176338224538735
136,15,1.1605725083500147
39,5,1.1481233543184186
55,47,1.1663442464279277
192,28,1.1388995922503196
68,44,1.1399548570625484
61,5,1.1423118271548967
170,8,1.2151143843574184
155,5,1.1738830811477132
166,8,1.1709746704436839
146,38,1.168788141038801
173,38,1.1870870124548674
129,26,1.1611323000064917
134,26,1.1601285213338477
126,23,1.200754473251956
100,53,1.1516377979091235
155,13,1.181063073022025
49,49,1.1247862597395266
235,40,1.1712772047945432
242,4,1.1227920736585344
222,12,1.2051723775054728
33,28,1.230688089371792
232,47,1.2139125476990427
83,40,1.1457449405321054
246,0,1.2040904898728644
53,47,1.1592713881816183
116,54,1.1528572094227587
147,54,1.1304166231836592
198,19,1.1246774760740144
216,38,1.177474389784038
188,5,1.2142687474510498
63,38,1.1680967680045538
235,26,1.1644464853618826
127,26,1.2144279602382864
45,54,1.1570727207830973
77,47,1.169878020150853
216,2,1.1767135081546647
8,5,1.1296478823891707
9,4,1.1844069979020528
39,53,1.1445408969053201
70,16,1.1115426969315325
246,23,1.199670492538384
126,12,1.2035531988367438
173,23,1.1700381583401136
33,54,1.237035110592842
62,52,1.136910803616047
125,39,1.1959972951029028
179,28,1.124955456437809
165,5,1.1881622821092606
135,47,1.1933690426605088
141,26,1.1325207980615752
125,12,1.2134042055612164
101,53,1.1486551822828395
248,49,1.2104004842362233
126,8,1.1940356330679995
245,5,1.1830618871109826
125,40,1.2115892017526286
138,39,1.2338438353368215
227,40,1.145668233611754
88,4,1.1890958957374096
94,49,1.1646109341776796
212,28,1.131568201684526
1,39,1.1846621864076172
125,23,1.2058995440602303
100,5,1.1515290041321091
69,53,1.1788411044648714
42,26,1.158218284270593
21,54,1.1414595573608364
147,38,1.131476015384708
76,35,1.1297456230968237
114,12,1.2031157479754515
59,15,1.2010485408827662
250,2,1.1491191760370774
91,49,1.2068772414433104
63,44,1.1718435425843512
235,54,1.1668618034039224
40,53,1.1884099303611688
217,53,1.1332784843231951
15,49,1.1570705848612957
51,4,1.1750303661184651
56,12,1.170591537441526
114,40,1.1920632746602808
17,5,1.1416412285928215
64,16,1.1194799531783377
171,28,1.1356977607522691
65,4,1.1428168549734568
175,2,1.1288873212678092
113,18,1.1916439937693732
245,39,1.2030287528676646
33,27,1.290727042726108
250,38,1.165913360725556
173,8,1.1768803202680178
114,53,1.1797698741512639
172,54,1.1467200970011098
205,15,1.2360818710710322
29,40,1.1775649113114923
135,38,1.2142872081271239
240,52,1.2206617561834199
106,40,1.1406682538134711
198,40,1.169623919895717
191,5,1.1487111220402377
135,40,1.219285465244736
110,40,1.1512639575770922
103,50,1.1321996644671475
138,0,1.247176630422473
140,38,1.16106006237013
205,38,1.2283317551815085
193,18,1.150821162653821
146,44,1.1659338868090086
7,28,1.118713387022061
40,4,1.2063026428222656
39,40,1.164305071878646
161,44,1.1537898486214024
210,28,1.1538640790552432
232,12,1.2468389448310648
154,40,1.1775384180779969
131,47,1.1483205684593745
55,28,1.161625620243805
109,12,1.174935975112021
40,52,1.1683252538953508
119,2,1.1538329688566071
79,5,1.1868097175444876
33,0,1.260339535041047
238,55,1.2379561346024275
147,4,1.1292785395468985
180,53,1.1582728725458895
127,12,1.2322706951693232
203,16,1.110445280692407
94,18,1.131435970360014
174,23,1.2150051492665495
146,5,1.149255360875811
227,38,1.1494537961802311
157,5,1.124499072054667
79,53,1.1901607558663403
166,28,1.1575183789911014
113,2,1.2037670406113778
140,44,1.1582594503249442
248,10,1.2513959902737821
51,28,1.1465207034988063
91,15,1.2057201291234898
240,5,1.1851017246288913
247,0,1.2009855248034
14,2,1.1415794467154359
219,49,1.201658251562289
126,10,1.2373289678777968
133,49,1.2363237238356046
76,18,1.1287835741947805
250,45,1.1598281439925944
63,53,1.1501784846186638
89,44,1.1738458859867282
193,48,1.1534445259187902
117,13,1.1385880916246347
149,0,1.2403109794748681
62,0,1.1519642961045196
113,39,1.1836051036204611
91,53,1.185569459805265
86,47,1.1365029774606228
198,54,1.1744072687080396
62,28,1.1402169106129025
5,5,1.1846205789063657
10,40,1.1883085971432072
10,44,1.1910070603979486
148,38,1.2026731201580592
242,39,1.0923456944791334
80,4,1.1835155979331051
34,50,1.1334823622767414
178,45,1.1482140576200826
101,13,1.1559497418680362
186,4,1.1668839265725441
78,13,1.1593916268487061
174,5,1.1838346884718962
101,5,1.1503385828837054
180,44,1.181943131344659
63,50,1.1800727032657181
245,12,1.2111264640199286
10,4,1.185298700417791
247,5,1.1856530702539854
148,55,1.2032274827361107
222,52,1.2106419184378214
81,4,1.183912391109126
129,2,1.1742188055068254
181,2,1.1500274544315678
62,5,1.1418825214994806
32,41,1.1244920307404496
91,47,1.174622651455658
238,12,1.2285317326230663
9,13,1.1773369455976146
9,15,1.1745061436668038
122,26,1.1669266077556781
91,18,1.2309425132615226
158,54,1.180697878556592
144,26,1.1952398919633456
48,6,1.2822452541440725
247,4,1.1945423787193639
136,38,1.1859482095709868
236,53,1.1672888684219547
41,54,1.2073497224066938
122,28,1.1575351671448775
111,28,1.2226971190954958
79,54,1.1916041863816125
101,12,1.1582110710442066
122,47,1.149769939482212
12,8,1.2064782229385205
91,2,1.201533283772213
25,40,1.1831909183944975
84,33,1.0796050780585833
235,5,1.1584157911794526
10,54,1.1870570283915316
43,40,1.1611485731388842
240,12,1.210465656593442
201,54,1.1890737345176083
127,39,1.230517556624753
206,49,1.1187707777800304
109,26,1.1658227832189627
115,50,1.2476548616375243
41,28,1.1852725995704532
222,46,1.253086662718228
180,13,1.1666872453476702
135,44,1.2188689626221145
125,26,1.199492892042534
223,38,1.1551355482744319
94,13,1.17033935125385
15,39,1.1369340665268541
114,0,1.203384986945561
228,44,1.1482687925121613
48,39,1.233756187771048
69,8,1.1915733859807784
166,2,1.173065854901714
119,5,1.1474892050027847
222,28,1.1856898249659156
230,39,1.1637037002614565
65,53,1.1264107035739082
73,28,1.141353042530162
226,40,1.1315810033785445
1,53,1.1831484530121088
109,28,1.1588452610054187
220,47,1.147041681887848
173,40,1.181785630860499
5,26,1.1941896280539888
157,13,1.1347584735069955
80,47,1.1660294085075813
196,39,1.1192625047905105
52,28,1.1285199367973422
