HSCode,PortOfUnlading,dist
90,13,1.154681581438386
95,38,1.1544185033334153
95,4,1.1527590019229268
67,45,1.1565299624843257
90,54,1.156325142298426
95,47,1.1600076059278632
90,40,1.156788298328008
93,4,1.1411645955273084
53,40,1.154001294369144
85,38,1.1100359660174166
92,23,1.1121342690062843
95,8,1.1547035936798369
90,38,1.1552014683506318
95,50,1.1317560237699322
95,45,1.1583989899871605
95,13,1.1531467149699373
95,54,1.154989073851279
37,38,1.1240016188405986
90,4,1.1532343626022339
90,45,1.158738618966059
93,52,1.1314931589045696
93,13,1.1410582710855774
53,13,1.1521311470174365
90,2,1.1714398502538512
35,38,1.1419409595962082
98,54,1.1513442702125758
59,38,1.13317880653111
90,50,1.1290823842531867
67,5,1.1712401631687368
57,38,1.1541315102949739
67,38,1.1527667487971485
95,23,1.136145236768893
45,54,1.1501895388189172
94,45,1.1567360741818058
93,45,1.1463381829006332
93,38,1.1421654896278466
93,47,1.1485730643783296
42,28,1.1546751828864217
57,54,1.155416768975556
42,38,1.1534860819977308
37,54,1.1250902158873421
90,44,1.1579615048665022
95,40,1.1568964047889625
65,54,1.1476755671070091
34,2,1.1399798900155085
95,52,1.1476423810568772
93,54,1.1426319969551904
84,54,1.118035068269819
42,54,1.1545792409950602
90,8,1.1525924394705467
57,13,1.1528532377311163
95,49,1.1746561547042802
57,44,1.1553826942108572
12,13,1.1435767297766037
46,13,1.1193135338170188
74,45,1.1121311441862158
67,53,1.1569362959624934
95,26,1.164438517398334
94,13,1.1523679900398878
29,13,1.1516566871598894
45,38,1.1487144738369222
90,26,1.163862971189831
49,38,1.121049311411168
96,47,1.1609409997805156
96,15,1.1624298028681161
95,53,1.1605259365668255
43,4,1.145706845447421
63,12,1.1301199292231883
10,0,1.105272767666195
35,53,1.1434325092871274
48,54,1.1357960679701395
95,44,1.1578956517790044
94,26,1.1609237482106047
17,47,1.1365568933210202
35,45,1.144445117296917
93,23,1.1221749473895346
53,54,1.1550465197568494
92,54,1.1369373851588793
67,4,1.1511013080765093
35,5,1.159690783658464
90,49,1.1717629852438611
94,4,1.1511396035285932
64,45,1.1378892406022973
94,44,1.1561389062553644
36,54,1.1544148175578033
93,40,1.1435870307364635
41,38,1.1245499237660883
67,40,1.153828931174108
46,45,1.1200062865890297
90,5,1.175008511478414
18,4,1.1450905074764575
35,54,1.14316852497203
29,54,1.154276123370177
95,15,1.1644334580217088
60,45,1.1577479565250022
45,5,1.1667045982820647
94,38,1.153171997251255
95,5,1.1746142300378
22,38,1.1386417682182841
95,2,1.1726225691049226
96,45,1.158009238358188
91,47,1.149890328890511
96,38,1.1546860060521535
67,28,1.1566352067748085
12,44,1.1472826177653457
12,45,1.1485943057175194
53,44,1.1555760818716538
98,38,1.151551906722099
12,0,1.142863113832261
16,49,1.139157130516001
31,45,1.10366194535579
42,13,1.1528208822299868
90,47,1.160840347143156
10,25,1.0687321238219738
93,49,1.160090247036091
35,47,1.1469128926816796
94,54,1.1540649618421281
12,49,1.1598410962947778
53,47,1.1582585421856493
12,40,1.1466817932710651
94,2,1.1688390227167733
22,0,1.1215733695509178
96,13,1.1530669500519122
90,53,1.1603526387895857
55,8,1.0987237327998238
47,54,1.151290938058602
27,13,1.1462422497570515
37,40,1.1212339836971037
94,53,1.1580663210313236
50,55,1.0917899539428098
5,20,1.0788796320557594
96,2,1.171612127950149
43,28,1.1464336878353996
60,5,1.1737192166703088
36,28,1.1512912506503719
65,4,1.1470811774155922
36,4,1.1493880187294312
27,53,1.1457113860441106
27,38,1.1474321600981057
