PortOfUnlading,ShipperPanjivaID,dist
13,4143,1.0692459855760847
38,4572,1.0446119960397482
4,2286,1.0730056084160293
45,4033,1.1701338035719735
4,3840,1.0862673529024636
38,3181,1.2171386065227645
54,6844,1.1261633760961038
47,3818,1.183407482291971
38,113,1.065379537642002
40,2161,1.1605664029983538
4,6053,1.1347095732178007
40,1464,1.113212741379227
38,952,1.1085673453552383
23,4620,1.1292695509535926
8,6676,1.0309423266776971
38,2345,1.1064806820026465
45,4824,0.989100884113993
50,6045,0.8950920993728297
45,1646,1.0650158609662737
13,6192,0.9689167266977685
54,6177,0.9246967083641461
54,2229,1.0411957880215985
54,2107,0.9393954668194056
38,1013,1.0740149143551077
38,3990,1.277092999645642
4,6871,1.1695091091096401
54,2185,0.9652701509850365
45,6832,1.0187903653298105
38,2161,1.1479904119457518
52,4704,1.133847412254129
45,2001,1.0621509567967482
13,3807,1.1113347639994962
13,3576,1.1081486839268888
2,3939,1.0338346830436163
38,2405,0.9757426273343819
54,3072,1.1363557853869029
54,4289,1.0681272239557333
54,6160,0.9183392790811402
38,5309,1.1220555800412382
54,4044,1.090701159621988
2,2161,1.1754699269575732
2,2252,1.07677243703178
54,6871,1.1663955391517706
38,3770,0.9025350320818168
45,6806,1.0716954131743737
50,6084,1.2312055536146675
13,5895,1.0460284352302551
45,1311,1.103737240756995
5,6652,1.1623607873916626
38,1282,1.0976682523531573
38,2074,1.1888685511159045
54,1218,1.1907203836100442
47,6069,1.2386479782206672
54,968,1.1842566579580307
54,3663,1.1055530888926504
54,1946,1.1048279080007757
23,6873,1.0827191566848862
54,5332,1.129181026348046
45,4958,1.0135692757155215
45,5616,1.1728532532496112
54,5206,1.1970597255442823
45,4228,1.00007841948952
38,3210,0.9663440776722771
13,5676,1.124527404350894
47,1019,0.97850615637643
54,6278,0.913562894399677
28,1340,1.187264407319682
54,5841,1.0720513022637792
54,6205,0.8845376414912087
54,3991,1.076260746855821
4,5307,1.0719212687441282
38,5719,1.099618639264788
54,701,1.1594052344028438
44,5088,0.9974026951406684
44,3048,1.063587728355612
54,3443,1.1009475234895945
38,3553,0.992017788546426
40,4122,0.9939954552267279
45,4143,1.0622955092361994
13,6395,1.0790689688708102
40,653,0.9890391805342266
38,3938,1.1183331454438823
54,6891,1.082134799765689
13,4912,1.0620287983578496
2,4283,1.0218981939833611
52,6662,1.1578013102657028
54,6135,1.0324818126059003
54,2161,1.1518589963338204
38,6873,1.0598184982580798
45,6871,1.153824179034148
38,2063,1.1650202160734418
54,2282,1.062777426359909
54,3066,1.1155874013368572
54,2306,1.1656592190265656
8,3195,1.0256273820996284
13,3017,1.083060228132776
49,3485,0.8539548271468708
54,6077,1.0374575214726585
44,5305,1.0491404051759414
38,4143,1.0607593953609467
13,244,1.1414790435561113
47,703,1.122070591364588
13,747,1.1957844474485941
45,160,0.9906037509156574
54,607,1.1453550556408507
45,1960,1.0555080492049456
40,6211,1.0748607564185346
38,863,1.0891418579433645
53,3110,1.1992791039603097
38,6898,1.1834198232474071
26,1003,1.1694531600390161
47,6248,1.1134923028335575
13,1003,1.1458064860531263
13,6840,1.1636454313993454
54,6497,1.055598821114732
38,4255,1.0619722221578871
38,1049,1.1781546702342374
38,2258,1.1678249410220556
38,3728,1.1400585786572524
26,835,1.1653853761298316
38,6553,0.9736680323258042
47,3669,0.9589530313387513
15,3589,1.1667365838906594
26,3056,1.1444483541750483
54,5007,0.9454411029416535
53,236,1.1835470109113626
40,2001,1.0795951943312372
4,6665,1.2073031514883041
12,4050,1.1897383374827248
38,6926,1.0710653391267573
0,3972,1.2938419561833143
44,3327,1.1352420167199202
54,6847,1.1806170240576779
38,1196,1.0597453261060374
53,5155,1.2688432271991457
54,6410,1.1993326103963358
