PortOfLading,ShipmentOrigin,dist
219,18,1.1371275370142289
248,18,1.1232764895872347
238,18,1.146736642345786
170,18,1.1364487972376602
115,18,1.145401572542531
246,18,1.1509820935981614
54,18,1.127418547070452
79,18,1.1541134810873441
129,18,1.1747173752103532
162,18,1.1901122062866176
245,110,1.1519072236759322
222,14,1.21988322692258
91,18,1.153344424707549
69,18,1.148399401988302
59,12,1.1505759677716665
140,18,1.1624198396291052
149,107,1.120352454483509
222,61,1.2109836744410651
222,62,1.1643200293183327
144,50,1.1448253648621696
97,50,1.1174429362373692
127,99,1.1381914433357971
127,18,1.1438691948673554
219,110,1.147801244897502
114,110,1.1515720688870974
26,18,1.1404140630204762
80,18,1.1649776244802135
29,110,1.1683335112673896
54,43,1.1241563228624207
48,18,1.1417087657111031
167,12,1.145163664860385
114,65,1.1975462181227547
176,59,1.189254216849804
48,4,1.1747538255793708
93,18,1.1710094306617975
54,110,1.139036448938506
185,12,1.16019091542278
247,18,1.1770467183419637
149,18,1.1410588850932462
232,62,1.1440928557089396
222,18,1.1512172855436802
148,17,1.1702821903995104
219,43,1.1353577268975121
149,110,1.1445387112242835
190,18,1.1792482339910098
222,43,1.1478673821049077
248,60,1.1619408524462156
48,36,1.1416513068335397
158,45,1.1515936234167643
48,79,1.159416166799409
248,43,1.1200546217816216
115,62,1.1608587673732214
188,80,1.200442488704409
10,12,1.181112834385463
54,93,1.177002486373697
54,79,1.1638069706303733
77,12,1.1603542007505894
190,107,1.1372191774259721
36,83,1.1670903712511063
115,43,1.1412933367703642
126,46,1.1670095771551132
222,46,1.1529677041939326
100,50,1.1892656215599604
76,107,1.1694113335439138
170,43,1.134319213085941
241,16,1.1235842712755715
127,110,1.153653064476592
133,50,1.1225348133593798
245,65,1.2034225932189397
48,25,1.177257891212191
245,107,1.133101946009057
129,66,1.2004651320832116
241,35,1.1738848430769784
111,56,1.200941311461585
115,99,1.1440632620028086
169,107,1.1785152448075158
183,50,1.1964463421276637
33,8,1.1596513614058495
33,79,1.1561578959226608
155,1,1.2049593265567506
241,107,1.1044814699728573
33,58,1.1890213234083993
115,110,1.1545803121158056
48,90,1.2059895204646247
54,52,1.1767374788011824
222,110,1.1581453340394157
235,18,1.1476421196545874
188,50,1.1432723296540124
48,107,1.1263226994446345
188,83,1.1822310877697808
138,79,1.172348712171827
111,26,1.1675951949187688
111,36,1.1609156408480235
204,1,1.1887261675936835
248,99,1.124412968222584
72,66,1.2021311074495316
222,78,1.1863762087055616
245,43,1.144550890794822
213,17,1.1889733970165253
59,17,1.1932759774582726
240,94,1.1823558339050837
77,40,1.2110229028122765
162,43,1.1857120892299073
219,62,1.1545580375407423
238,43,1.1445785026465143
77,17,1.1998171689254897
105,17,1.2007520784224783
233,71,1.1867478383438927
240,98,1.2439401660646712
135,101,1.163801052740642
95,79,1.2150720336607523
81,82,1.187843615455287
190,16,1.1598488853446074
34,71,1.1687908545136452
216,1,1.2188221322638648
126,62,1.1729418571506227
33,7,1.2086528092622757
246,50,1.143462275687073
48,83,1.1677647424595696
194,66,1.2262537415538515
69,62,1.1605085890207971
168,45,1.2050615336213792
108,30,1.1961134799889155
131,52,1.208382466009685
33,26,1.1563552458371436
127,46,1.1491221487522125
202,12,1.1725895319666182
33,17,1.1664657390543394
107,49,1.191523170896939
188,79,1.1785631094660078
110,97,1.2071548849344254
127,62,1.1587659264249461
36,40,1.1963309539215905
33,70,1.1680868864059448
97,70,1.1701814383268356
126,110,1.1703893808381898
149,62,1.1484610129679953
12,17,1.1810646589313234
219,99,1.1402172329170364
87,107,1.2146405588303293
91,110,1.155067311865943
48,50,1.123863052044596
229,46,1.176069798214095
149,27,1.181300652878625
48,58,1.1971744341509682
127,78,1.1744635749076093
222,88,1.2061395049095154
12,40,1.1923390233090945
221,52,1.1933803643499101
174,46,1.1445648627621787
188,110,1.16776562162808
91,17,1.1790949766124998
139,83,1.1542961916753225
69,43,1.1439999405826842
229,18,1.1759898236819677
138,34,1.1673564240336418
77,76,1.2186400847775596
219,45,1.1244173129754407
100,82,1.2095048001834325
201,12,1.223931101816041
115,101,1.172136468546731
219,107,1.1294363683887891
33,80,1.181237097297396
92,18,1.2141785898378916
188,18,1.1605402444090163
238,99,1.1498929022678308
170,107,1.1242265214345284
144,82,1.2014641165733337
247,110,1.1719784353460585
205,70,1.1767035744019918
205,4,1.1879166577543532
125,62,1.162309821162905
2,103,1.1871695989476783
22,46,1.1834898963570595
240,50,1.1731626189180784
188,36,1.16586948292596
48,12,1.1294637162770544
220,43,1.1718035755412919
33,31,1.193211385181972
240,82,1.2275118040187019
111,83,1.1813419610261917
180,45,1.1631997089300836
218,12,1.2295041041714805
232,46,1.1400406227580138
128,99,1.173836966444339
94,107,1.1838407165237836
212,107,1.1966909319162369
170,61,1.2044303970677512
114,43,1.1475406853216035
216,12,1.1990360362189156
215,12,1.1664441440786635
246,43,1.1467897088399954
150,82,1.184781817453248
170,88,1.201921718461173
165,50,1.1867369647536958
111,73,1.208272499697549
77,22,1.2194278559514455
250,74,1.1893815621733665
248,106,1.1652723614658629
36,28,1.1834673030035836
245,101,1.173627836363656
188,12,1.1457550461803163
205,98,1.2104595729282923
97,36,1.1462578613843237
174,43,1.1377633990986007
178,62,1.2227627070886748
174,18,1.1416415987270219
248,27,1.1836355115686144
169,16,1.198387365256037
62,17,1.208089115364211
9,12,1.175655725811209
42,19,1.1846796205001218
162,62,1.199833648013217
205,83,1.1744255061660493
247,46,1.1758962571620941
154,45,1.156273097864219
111,4,1.1860931345394679
78,43,1.1890866181680135
213,30,1.1992924043110438
124,18,1.230530430163656
220,18,1.1817492544651031
77,18,1.1808017854179655
129,62,1.179754186953817
69,46,1.1532229270253862
54,62,1.1450100636907987
59,18,1.1728976858513696
205,73,1.2070016052041734
36,17,1.1794151301894868
69,60,1.1783994500126158
48,98,1.1992962573255812
248,78,1.165161445736885
245,99,1.1497759457145418
111,25,1.190959902746337
48,110,1.1486232791628157
219,106,1.1783610486558505
100,8,1.2133905270269938
26,110,1.1439739790345942
71,50,1.1882740940366472
181,13,1.2020439952611923
149,17,1.1641374954155512
248,26,1.166627216551985
59,28,1.2010788002184458
54,99,1.1288780820156847
245,16,1.1603189972894532
224,97,1.2276238245623452
111,109,1.2281605622598104
219,61,1.2061006533248084
205,56,1.1935192005974906
54,46,1.1347586363554
223,46,1.227736309170723
224,106,1.2041259248341833
219,101,1.1707196491105216
230,110,1.2045550921133585
115,46,1.1513977348804474
118,104,1.207557852779116
74,45,1.1570694595575333
122,45,1.1713498724358422
188,94,1.1667478382587433
219,88,1.1999852125133788
192,40,1.2125409288065774
246,62,1.165097360100065
59,1,1.194132713334901
246,46,1.1576510364455836
5,107,1.1776995084115438
55,50,1.2013153795685088
69,99,1.14890568703413
111,70,1.1901812851428986
159,52,1.2038784218685967
236,52,1.177514557327543
210,30,1.1934633808476585
205,36,1.1589957709823335
162,45,1.1709711301539625
213,40,1.1996458492108755
1,62,1.2175453369106566
90,26,1.1843742110899516
80,99,1.161724157099213
68,99,1.2141869557755334
54,58,1.2012676766940527
187,102,1.2155211312430245
57,92,1.1987777618425233
170,99,1.1363409411694323
249,107,1.192524722644261
166,107,1.1720813023192542
224,36,1.211209265249116
229,99,1.164561859198979
91,45,1.1315912529826164
73,107,1.1828280783125333
224,79,1.2130788756268365
238,93,1.2020023252282823
181,73,1.2295680067368917
127,45,1.125256395433098
60,107,1.184062405356339
174,62,1.150891091142382
143,106,1.2297573302473341
191,66,1.2035336696675845
127,85,1.2220866403409414
170,50,1.1299421128683858
222,106,1.1870264070374625
41,94,1.1632968400205885
79,43,1.148824393749237
48,97,1.1853368750640325
33,36,1.1401069462299347
222,45,1.134783568658999
33,4,1.1698384072099413
153,3,1.2078754348414285
126,18,1.165969037583896
245,88,1.1996722285236632
54,107,1.1190874323781048
1,18,1.2173563220671244
149,19,1.1704011772360121
193,42,1.1788372599652834
149,43,1.1378661889050687
22,62,1.1791375620024545
129,60,1.194986464721816
54,88,1.1924807727336884
48,26,1.1578747374670846
97,106,1.1603676506451197
115,65,1.2090861392872674
149,71,1.1850389050585883
129,107,1.1569218529122216
50,19,1.2019445257527488
182,73,1.2025963174445289
210,1,1.184029292847429
88,83,1.197524560349328
129,12,1.1575164103082247
26,43,1.1357402907950538
31,107,1.1798414715698786
100,46,1.2116139573710305
111,66,1.1991950528962272
248,110,1.132737864873239
48,48,1.2131866472108024
113,107,1.1530422504459108
5,94,1.1957705808537347
127,101,1.1658667155674525
91,12,1.1372415492577213
91,62,1.1617222151585989
54,36,1.156077837837594
33,45,1.1187951415777206
54,106,1.1676055448395866
133,45,1.120726422539779
52,107,1.1986789288265365
239,19,1.1755512141223465
59,36,1.1755799991743905
144,107,1.1533144297344344
222,66,1.1970794669219427
163,18,1.2368832400866918
77,96,1.235972530075482
242,66,1.2274214327335358
36,30,1.2026794339929308
245,62,1.159330498959337
33,94,1.1430413882647241
40,12,1.1914358979889326
126,52,1.2086350215332848
190,35,1.1946134130869592
174,27,1.1833891804729189
246,110,1.1581389935953277
115,78,1.183893776365689
31,66,1.1982930707080024
93,43,1.1651552841067314
207,16,1.1929478411163603
23,107,1.18385568686894
51,1,1.1705181556088584
149,12,1.1220581257449729
242,50,1.2365517286317689
127,0,1.2314007793154036
44,107,1.1882135378462928
33,109,1.2053325027227402
109,110,1.245194015758378
222,99,1.1536264196038246
196,40,1.20448637008667
129,110,1.1756706003631865
48,44,1.199023282953671
31,36,1.1963964253664017
155,108,1.2157684585877828
149,99,1.1471484931451934
26,101,1.1579044503825051
56,17,1.2065599049840654
232,110,1.1426185742020607
41,82,1.1939037718943186
154,95,1.2156159452029638
124,43,1.2220930265528815
63,78,1.1700076694999422
240,45,1.1660762620823724
246,101,1.1774813405105047
174,17,1.1705108072076524
36,27,1.190585841025625
97,34,1.1509821361729078
54,45,1.1155691822724683
149,77,1.1900705801589149
48,73,1.1942745660032545
78,18,1.1947495745761054
127,90,1.2122104253087724
231,45,1.2006231205804008
26,46,1.1454301540340697
248,62,1.140503879636526
80,43,1.1577849404088087
210,17,1.2028036628450667
111,79,1.172302395105362
41,45,1.1656373079333986
148,77,1.1781634092330933
89,34,1.1702705259834016
246,93,1.1973842403718404
133,26,1.1672291117055076
33,97,1.1765441745519638
31,12,1.1999066301754542
144,34,1.1766521164349146
59,40,1.2083721331187658
105,28,1.189065573470933
133,34,1.1597775859492165
242,45,1.2224156899111611
174,109,1.2071247228554316
67,18,1.2605861915009362
188,46,1.1663449364049094
222,101,1.1735375129750796
246,99,1.1493870882051331
33,56,1.1748524542365755
238,78,1.1878212935158186
13,46,1.245414909507547
88,106,1.2081368224961417
149,28,1.1725973444325584
48,91,1.2085199803113937
114,62,1.156950437596866
109,16,1.2268889205796378
217,46,1.217186274273055
222,55,1.2478560635021754
51,77,1.182732688529151
59,79,1.1843306507383073
143,16,1.2352714836597443
33,82,1.176213338971138
205,34,1.1740814128092356
36,50,1.1517669962985175
36,10,1.2024010121822357
65,18,1.2295779819999422
59,19,1.190514815705163
33,103,1.1895396241119929
5,27,1.2259655467101507
185,34,1.1945266414965903
173,18,1.2399156838655472
39,12,1.201627561024257
214,27,1.1878885243620192
219,93,1.1934797870261329
167,34,1.179483348769801
95,16,1.236962942140443
164,71,1.2110842221549578
232,61,1.1861776262521744
137,17,1.2118026305522238
219,8,1.188325791486672
174,99,1.1437820153576987
100,11,1.2379903623035975
129,6,1.2162759176322393
36,22,1.201108427984374
62,40,1.2141703494957514
79,99,1.151415805731501
59,108,1.216758851494108
129,51,1.2338269693510873
83,46,1.251142259155001
111,106,1.179872018950326
137,43,1.2242506508316313
133,36,1.1573355602366584
222,34,1.179927053728274
245,18,1.148036448551076
114,18,1.1504371602620398
149,25,1.1775727442332677
115,90,1.2162378898688726
174,77,1.19361569413117
82,79,1.2145319879055023
100,66,1.217326934848513
48,56,1.1852833011320658
205,26,1.1747724286147527
248,107,1.11134082238589
26,62,1.150913696203913
209,46,1.2532500156334467
149,10,1.2026637217828207
1,110,1.2103051681603705
84,16,1.2274530508688517
174,110,1.1447755481515611
236,18,1.1824311103139604
25,70,1.1964701797280992
127,43,1.1399734221797968
183,34,1.205845758318901
48,94,1.1492198684385844
54,61,1.195413657597133
56,77,1.1885313774858202
148,12,1.150214662509305
219,37,1.2181979226214545
170,62,1.1541653387248516
33,83,1.1590480229684286
219,14,1.2142903400318963
48,38,1.2151417987687247
111,104,1.2091759741306305
69,45,1.1311839818954468
121,103,1.1994960084557533
69,83,1.181267378585679
100,18,1.2087906301021576
5,97,1.221845601286207
115,45,1.1294710513736521
119,12,1.2241791199360574
219,46,1.1447375012295586
33,10,1.2090850600174494
7,12,1.2500731476715632
217,62,1.2296072734253747
129,43,1.1720612006528037
54,50,1.118289371154138
111,107,1.1496177060263497
236,78,1.1892829963139124
219,52,1.189921107675348
55,13,1.1790040678211622
33,77,1.1908317591462816
205,97,1.1952824145555496
222,107,1.138718909983124
247,62,1.1785448619297572
188,7,1.232224194066865
138,58,1.2047009021043777
186,74,1.2076381615230016
91,46,1.1534251123666763
77,28,1.206683126943452
148,18,1.1777586649571146
29,99,1.170111590198108
120,103,1.1885626060622079
213,42,1.1858612618276052
78,99,1.1871606845940863
36,12,1.1494211589119263
115,50,1.1372855748715145
244,12,1.2160284742712975
48,31,1.2034334795815604
59,66,1.1942350545099802
184,16,1.2202471217938833
129,82,1.207155059490885
183,8,1.199164213878768
33,50,1.1217897119266647
149,34,1.158814909202712
162,110,1.1940265260636806
139,107,1.1473977587052755
66,16,1.2093337710414613
21,52,1.2140329544033324
135,18,1.1790117781077112
217,24,1.2330062368086405
222,74,1.2102144126381194
205,48,1.2189803357635225
133,82,1.1880510640995843
97,82,1.1772235078471047
188,25,1.196189013975007
77,93,1.222515378679548
222,12,1.142239608402763
220,62,1.1886653027364187
25,36,1.1941509395837784
148,19,1.1618931155119623
222,60,1.1865701419966561
5,106,1.2155582968677794
205,107,1.1454976999333926
59,50,1.1578421965241432
219,17,1.1819578728505544
188,82,1.1972168236970901
133,80,1.1974964993340629
127,93,1.1925226971507072
115,85,1.2274809607437678
189,28,1.185342466192586
115,25,1.195648335984775
196,30,1.1793610815490996
62,79,1.2010020230497633
188,104,1.2129415273666382
100,90,1.2254847969327654
147,78,1.213261651141303
133,106,1.1706866409097398
84,106,1.223240688443184
126,26,1.1936746090650558
185,81,1.216815933585167
149,37,1.1972083768674306
5,21,1.2315485392298018
115,60,1.1833486301558358
111,34,1.177106840269906
54,63,1.2176684715918131
33,59,1.2063072472810745
126,111,1.2200087585619517
188,56,1.2015188847269331
219,9,1.2333822335515703
108,19,1.1760591502700533
248,111,1.1930474936962128
56,28,1.1834829705102103
48,46,1.1463218416486467
238,101,1.1765220889023371
160,16,1.2032159652028764
126,50,1.1569704934954643
81,29,1.2039218183074678
36,36,1.1704124308058195
248,101,1.1556612338338579
240,61,1.245224009667124
222,6,1.2114029824733734
149,101,1.160355629665511
167,1,1.183212548494339
240,110,1.2012376253093993
129,93,1.2166285578693663
238,62,1.1639457903802395
54,47,1.2236379023109163
77,45,1.1574365113462721
104,18,1.2337555789521761
238,61,1.2128483951091766
18,45,1.2161129053149904
33,34,1.1526197801743234
197,27,1.1961672795670373
149,41,1.1962467155286245
129,99,1.1771200693079404
238,111,1.216979831457138
174,75,1.2048916699630874
127,107,1.1288787475454487
31,98,1.2152966580220632
240,34,1.203019414629255
27,80,1.1924112439155579
6,103,1.1819294935890607
27,18,1.2151348676000322
238,17,1.187401024358613
54,16,1.144012856164149
245,12,1.14173815479236
100,44,1.2258918625967843
138,84,1.2131918604884828
188,38,1.2285645774432592
222,23,1.2254553501095091
174,28,1.182189913732665
225,12,1.2565409711429052
232,34,1.158826804054635
86,92,1.1943841140185083
232,43,1.1347396591944354
170,110,1.1477616227098875
54,104,1.2023384049534798
129,41,1.219223033104624
48,8,1.1722329620804106
205,106,1.1797988308327538
174,60,1.1692078305142266
245,29,1.2141621772732054
77,109,1.2251643666199274
111,33,1.2183098218270711
27,16,1.1948003534759795
36,107,1.1354588280831064
208,12,1.2446323824780328
224,70,1.2218616689954485
93,107,1.151365235980068
136,17,1.2154029033013753
33,33,1.1987645328044891
207,107,1.174558401107788
115,103,1.2145171867949622
33,101,1.1537392714193888
29,107,1.1506291053124837
188,62,1.1698370512042726
187,41,1.206356059227671
5,50,1.1918741092085838
187,96,1.2181820081812995
170,26,1.1809259865965163
138,31,1.21137136220932
148,22,1.1850505364792687
240,103,1.2358884449516023
89,94,1.1705143696495466
188,37,1.2217501252889633
105,40,1.2013970538973808
162,61,1.2371433483702796
74,95,1.2069396866219384
108,12,1.194998022701059
248,84,1.2042146154812403
99,41,1.184176490242992
62,94,1.200244786483901
229,52,1.1990770825317927
219,111,1.2119968980550766
149,108,1.193191226039614
62,66,1.197886083807264
228,99,1.1908418482967786
126,88,1.2158139922789164
246,45,1.1370363027921744
229,85,1.231843271425792
246,107,1.1377477092402322
222,93,1.2006353991372245
141,22,1.1840253482971872
100,105,1.2417916868414198
222,73,1.2059880133186067
248,88,1.1857052658285414
211,107,1.2012934259005956
106,110,1.231108906013625
111,98,1.2136114069393702
219,0,1.2341472719396864
26,45,1.1177888243858303
77,110,1.1829724982380867
127,52,1.1858949937990733
188,58,1.2089148206370217
127,65,1.2044269027454513
33,37,1.197059495108468
205,8,1.1841815965516227
48,104,1.1986190378665924
27,110,1.203528038093022
167,93,1.206034507070269
188,97,1.1974146280969893
97,25,1.1742213389703207
193,98,1.2155834074531282
106,43,1.2343599434409822
54,82,1.1858217694929667
5,46,1.2131308615207672
205,80,1.2051986349480492
29,18,1.1710335782596044
219,65,1.2060546704701014
154,5,1.2271953948906489
20,107,1.175864797617708
129,71,1.2164322499717986
246,90,1.2142287599188941
111,44,1.2106881035225732
26,6,1.1883843945605415
111,50,1.1469365251915795
33,13,1.192810337458338
91,40,1.1948594450950623
