ConsigneePanjivaID,ShipperPanjivaID,dist
414,4143,0.35192658645766123
1430,4572,0.43494334391185213
1671,2286,0.351391328232629
3653,4033,1.023145397326776
1444,3840,0.5331131517887115
4675,3181,0.7571494962487902
1853,6844,0.4191752246447972
1503,3818,1.10839592186468
1327,113,0.8298591338098049
725,2161,0.5410658482994352
2182,6053,0.24937716126441956
1100,1464,0.5787578469940594
5095,952,0.7122985358749118
2271,4620,1.0655183898551124
2831,6676,0.442256291529962
1115,2345,0.6204435697623661
5204,4824,0.3795927507536752
2046,6045,0.5304957159927913
5937,1646,0.6460193294499602
448,6192,0.7269645162991115
1509,6177,0.7869258086596217
2257,2229,0.5668029316834041
3647,2107,0.5597930209977287
3005,1013,0.6720154934695789
764,3990,0.35794409683772493
1210,6871,0.6688176670244762
1105,2185,0.9143152298139674
2059,6832,0.3591521212032863
2140,2161,0.40669949991362436
1303,4704,0.8490450142749718
285,2001,0.7233801995004926
5880,3807,0.4955442420073918
4735,3576,0.870927591409002
5937,3939,0.9648394137620926
4464,2405,0.7184118716312307
3866,3072,0.6141675561666489
3669,4289,0.5530983401196343
1015,6160,0.7370400317013264
2541,5309,0.3791711372988565
3778,4044,0.42245691801820484
2546,2161,0.4333790966442653
1890,2252,0.9932926462164947
330,6871,0.7266101464629173
1894,3770,0.3505873850413731
2325,6806,0.7959950545004436
5780,6084,0.515614523419312
585,5895,0.5406649559736252
1650,1311,0.28048873799187796
3638,6652,0.436494094984872
4494,1282,0.367831215262413
3005,6844,0.5661981510264533
1205,2074,0.7919389115912574
4309,1218,1.1317374069642807
589,6069,0.9435223500643458
1501,968,0.4809695567403521
1400,3663,0.6279038946543422
1560,1946,0.8993012851902417
2248,6873,0.3044858319418771
4402,5332,0.5436489752360752
5684,4958,0.5351610226290566
2578,5616,0.5683835106236594
3633,5206,0.5131592303514481
691,4228,0.5904203610760825
794,3210,0.9421434338603701
1339,5676,0.6340976698057992
1170,1019,1.0365165174007416
3669,968,0.7135235262768609
2341,6278,0.8214327214019639
1951,1340,0.2429695384843009
4884,5841,0.9846408532134124
5207,6205,0.7616974541119167
3310,3991,0.8337643227673003
4789,5307,1.003393282847745
1027,5719,0.39109763503074646
2574,701,0.7286285257765225
1232,5088,0.5903136943067823
2724,3048,0.6767109760216304
1015,3443,0.5814757006508964
2715,3553,0.7810619352385402
1865,4122,0.6700005653713431
1876,6395,0.5914808548986912
1560,653,0.82737866536315
1662,3938,0.6553592213562557
253,6891,0.38642179540225435
850,4912,0.3401871366160257
255,4283,0.5594198554754257
2140,6662,0.4998503965990884
4526,6135,0.5270459524222783
2353,2161,0.8211179918476513
4142,6873,0.32905830655779156
1160,6871,0.6358363436801093
3049,2063,1.115872482103961
2213,2282,0.6198410434382302
1765,3066,0.34085032769611906
1788,2306,0.9707433300625
2711,3195,0.672814881162984
1648,3017,0.629420423081943
3294,3485,0.8337407105302971
2162,6077,0.5638397846903119
2195,5305,0.5361359715461731
1301,244,0.2803815858704703
1676,703,0.542324885725975
3190,747,0.4253791889974049
4899,160,0.7003185365881238
2401,607,0.9660897462495736
2726,1960,0.9758749553667647
4308,6211,0.7381023035517761
1302,863,0.650961350117411
2528,3110,0.21234949571745737
1431,6898,0.41955776299749103
3334,1003,0.4450710586139134
285,6248,0.5043192622917039
1123,1003,0.5337420659405845
1241,6840,0.5861411626849856
1426,6497,0.652501299944041
3766,4255,0.8581176517265183
2985,1049,0.6908058325893113
3005,2258,0.6060102369104113
2229,3728,0.3747602914060865
2522,835,0.462867157799857
2158,6553,0.9145917163363525
1170,3669,0.9095891043543816
5937,3589,0.5667765374694552
3334,3056,0.6397454621536391
5825,5007,0.7238854989409447
3841,236,0.5549365601369313
4644,2001,0.7238644020898002
3006,6665,0.5365496927074024
2854,4050,0.7706396539828607
2038,6926,0.6684112415782043
5836,3972,0.12890960489000594
5564,3327,0.5478858607155936
5937,6847,0.8248387553862163
698,1196,0.5000598047460828
55,5155,0.6669420301914215
5104,6410,0.7455542614417416
753,2229,0.6722971733127322
5341,3321,0.5544555719409671
