Carrier,PortOfUnlading,dist
112,13,1.1493977960199118
472,38,1.1468734667370362
133,4,1.1281837906156267
109,45,1.0809565809156214
106,4,1.1382920209850584
184,38,1.1246148425021343
164,54,1.1437321613941873
385,47,1.1515761927834578
96,38,1.1379714544330324
523,40,1.1640230787784926
608,4,1.1817555015108414
41,40,1.164362051657268
164,23,1.203354382089206
340,8,1.194141955247947
459,38,1.1493080295622349
95,45,1.1590264359755176
385,50,1.22114331807409
369,45,1.1451461373695306
92,13,1.1071991132838386
184,54,1.120785219062652
250,54,1.1328164738203799
333,54,1.1282822919477309
112,38,1.1550631334206887
551,38,1.1177659636097295
164,4,1.1472094090921539
382,54,1.1546132729521819
238,45,1.1557080633938313
382,38,1.156708159084831
21,52,1.2496922736588334
248,45,1.162980173581413
250,13,1.126641035079956
377,13,1.1227574172828878
346,2,1.182051154119628
273,54,1.1449957557737693
556,54,1.1339708812800902
327,54,1.0968813571546758
580,38,1.1204511722815889
21,54,1.1626798223171915
459,2,1.1732231878808566
184,2,1.1607246521328176
254,54,1.1717436207192284
318,38,1.155961876069861
184,45,1.1292377333821995
321,50,1.089306914613449
106,13,1.1302464407469546
152,45,1.1554271169006824
57,5,1.1394701025315694
221,38,1.0827093943953514
523,54,1.1471524268521793
340,38,1.1664579223309244
465,54,1.1341819518378802
32,47,1.1434395826820816
36,54,1.1503028483795268
32,54,1.1478555819817953
472,23,1.1955865089382445
101,54,1.1510444709232874
164,45,1.1485433940376555
254,45,1.178535592343126
136,54,1.1258365330951554
254,38,1.172538856310504
96,13,1.1320313651646887
546,47,1.1115898905055863
346,28,1.17648581069495
502,4,1.1440590875489371
291,38,1.163238066647734
56,44,1.159692314519946
184,44,1.1314280502099012
141,38,1.1763983759363847
346,13,1.14397385556783
250,40,1.1502881513110228
459,13,1.1385092527738638
32,40,1.1641499921679497
46,54,1.1351341224674667
14,13,1.08730452348079
248,2,1.1858666209237916
608,52,1.2517693872962679
152,54,1.150605984032154
152,38,1.1517727337777615
250,45,1.1391337854521615
502,38,1.1446765714458056
579,54,1.1004352942109108
459,54,1.1449950278869696
472,8,1.1758692158120019
546,13,1.104985237121582
319,49,1.201600724032947
175,54,1.0851164247308458
112,44,1.1561200730502605
346,38,1.1554653931941306
184,13,1.1159157752990723
536,47,1.1511037011763878
142,45,1.1820322243230683
164,40,1.1596415351544107
53,38,1.177411485995565
164,53,1.1564137946282114
254,26,1.1972679485167776
248,47,1.1505117474922113
318,13,1.1485808246902056
96,54,1.1346639671495982
319,38,1.162368884044034
21,38,1.1645430895899023
523,38,1.148902968902673
371,26,1.0942169390951417
69,38,1.1608542521883334
346,15,1.1764987637954099
490,54,1.1728014703174787
250,53,1.1501103905694825
92,40,1.1271436725343977
418,4,1.1687743312546186
93,12,1.1002767980098724
391,38,1.119315534297909
486,0,1.0567703326897961
36,44,1.1560686653746026
57,38,1.136827093948211
106,53,1.1461979885186468
412,54,1.1175845840147562
318,54,1.1546000484377146
459,44,1.1514904948749713
496,44,1.1231117988271373
422,26,1.0814985973494393
32,26,1.172190903552941
604,47,1.1760772615671158
364,45,1.1057552014078413
518,23,1.182336464524269
472,54,1.145890725510461
523,13,1.1442095759723867
546,4,1.1154316578592574
92,5,1.1164286636880465
32,8,1.1818264563168799
106,26,1.1596172047512872
106,38,1.1404098586312361
250,4,1.1395029776862688
472,2,1.1744013210492474
141,47,1.1717163481350457
172,40,1.1702119830463613
414,26,1.118893990027053
32,4,1.1502746705498015
248,40,1.1689671650528908
32,45,1.1540658580405372
95,38,1.1541408970952034
36,4,1.1474976002105646
21,44,1.1691827231219836
586,13,1.0960609737251485
205,45,1.159983734666769
291,13,1.1597051327782018
319,5,1.1580602845975332
382,4,1.1568459887057543
96,47,1.134390078485012
3,54,1.1444493516215257
382,45,1.1591159839715277
459,45,1.1527672755931104
377,5,1.1315980170454298
316,5,1.1540170168238026
369,4,1.144726496722017
334,45,1.1401573055024659
485,54,1.1679041178098746
319,44,1.163768614509276
319,26,1.1860147714614868
95,5,1.156840052987848
319,54,1.1604997057999884
319,53,1.171923347881862
250,44,1.1402304358780384
409,45,1.1637932817850793
36,38,1.1515437785003866
53,47,1.1683424523632442
421,28,1.1726031175681524
346,44,1.1583981620413917
608,45,1.1876216945903642
495,44,1.1531526925308364
312,13,1.1723971542503153
110,54,1.121135073048728
346,0,1.2151063063314982
3,47,1.1404639471854483
319,4,1.1629040805356843
106,49,1.1749695262738638
421,52,1.199206025472709
382,13,1.1468883877886193
409,47,1.1573858921016966
69,54,1.154950927676899
346,47,1.147229763346591
316,53,1.162498027086258
394,25,1.106427459445383
341,49,1.0859027076512575
164,47,1.1407813115843706
53,54,1.1731638392167432
506,54,1.1363944408616848
53,45,1.182385356764176
490,40,1.1829630133828946
597,4,1.1461587447140897
21,2,1.1944515300648553
238,13,1.1481658571532793
546,38,1.1068077374781882
303,47,1.1290147969765323
106,54,1.1384849441902978
187,13,1.1600819255358406
604,53,1.1897129650626863
238,8,1.187062946813447
358,54,1.1220751947590284
205,54,1.1534494406410627
447,40,1.0897665268608503
148,55,1.193481651267835
112,4,1.1582914630749397
57,13,1.126264013283487
377,38,1.131208647042513
575,20,1.1080375531954425
184,47,1.1213041442845548
6,2,1.1701958762548332
418,2,1.194794254111392
112,54,1.1553026368575436
319,13,1.15213309441294
79,28,1.166835192590952
301,53,1.1236953660845757
79,5,1.1441927530935831
495,13,1.1404300880219256
346,4,1.1561202284480845
112,40,1.1723377582217966
248,13,1.1469704705689634
164,2,1.1724389025143214
95,13,1.1472890334469932
346,53,1.1652727265443121
79,38,1.146530230130468
485,28,1.1897036821714468
547,40,1.1762479019484349
600,13,1.1168543975800276
106,47,1.1282240423773016
485,13,1.1592739969491959
459,4,1.146551980503968
42,28,1.175102529249021
184,4,1.1299599302666528
340,45,1.171204075217247
248,44,1.1621150150895119
29,15,1.1368839027626174
385,45,1.1611052719610078
106,44,1.141381052987916
238,40,1.168347645018782
346,5,1.152744964563421
79,2,1.1649958991578646
334,13,1.130338721908629
471,26,1.1477741386209215
452,24,1.0328966093116574
77,4,1.1316276309745652
346,40,1.168358966175999
29,28,1.1424792887909072
334,47,1.124202184911285
56,53,1.1632409588034665
471,12,1.1561360295329774
365,54,1.122512061281928
369,47,1.1381440088152885
133,38,1.128568783402443
199,47,1.1690783921097005
164,13,1.1398267969489098
346,23,1.21264686784707
418,5,1.162637590297631
494,47,1.1762313673804914
95,54,1.1512929052114487
141,13,1.1647060731691974
422,5,1.070432657642024
92,47,1.1122411787509918
229,54,1.1294106508472137
511,53,1.1799523271620274
511,13,1.1598041637667589
248,5,1.155594149870532
377,54,1.1280800298388516
121,5,1.1289874320583684
26,13,1.0920827399407114
56,45,1.1589805074036121
567,54,1.1147103884390421
184,23,1.1905056993876184
21,40,1.1789692310350282
53,15,1.2086369143798947
248,54,1.1580989685441767
64,38,1.1073165574842798
340,47,1.1608150324651174
530,47,1.1067138559051923
445,38,1.1435466089418955
261,49,1.1705045306256838
410,54,1.169580731973318
53,13,1.1635940031181755
248,38,1.1603870993213994
272,53,1.0938807699297155
318,39,1.196101979751672
490,28,1.1888231801401292
598,45,1.1268375585121768
490,13,1.162343388955508
29,47,1.1229083005871092
184,49,1.1761495141046387
319,0,1.216362860585962
79,12,1.1729710857783044
496,45,1.1204573512077332
557,38,1.1331180111904229
238,54,1.1519380850451333
495,54,1.1527667348938329
61,54,1.102744904978733
164,49,1.185476181762559
21,4,1.1658120724771703
261,23,1.1873872099178178
559,54,1.144377052783966
346,54,1.1534849155162061
591,47,1.121191834764821
266,13,1.156289305537939
319,2,1.1894685008696146
472,13,1.1414095216563769
199,4,1.17803390723254
346,8,1.1894251028341907
35,2,1.1468923687934875
323,38,1.144816266505846
608,5,1.180014262774161
184,53,1.1415289086954934
184,40,1.1431132098327257
227,13,1.0629704653152399
246,4,1.0844308328149574
598,31,1.1810168100886844
3,28,1.1629196483242725
533,5,1.1259280837007932
323,54,1.1446689061288322
266,54,1.1641343118888992
21,26,1.188484087586403
402,54,1.0844050367346167
595,45,1.1298789706613337
250,5,1.1388204864093237
407,45,1.1658595117873378
472,4,1.1492761823215656
250,38,1.1360108671443803
110,45,1.1279202880603927
261,44,1.145456362515688
46,26,1.1534199468858009
480,54,1.1766359699623925
356,13,1.1087840369769506
121,4,1.1282228279326643
523,5,1.148853203015668
56,38,1.1522926605705703
597,47,1.138442560398419
537,40,1.1663639843463898
142,44,1.1824684994561332
112,5,1.1567253804366504
104,54,1.081017175955432
515,54,1.0721973537334375
133,45,1.1335535847714968
518,44,1.1306702534535102
66,40,1.0634709974484784
600,54,1.1261393196348632
604,40,1.193883172103337
21,13,1.1570920497179031
459,8,1.1766597053834371
547,13,1.1543866262904234
152,44,1.1563491587127959
561,54,1.133870588881629
377,4,1.1323485661830222
318,45,1.15671430355204
335,54,1.1376058273017406
53,5,1.1759166037663817
21,5,1.1658301697378712
112,0,1.2056098069463457
396,38,1.0980031192302704
291,53,1.174972993986947
523,44,1.1517668894625135
518,54,1.1305351536720991
604,54,1.1818658544548921
511,23,1.2143299994724137
581,38,1.1537871472537518
334,54,1.1346375782574927
377,44,1.1374448404780455
242,38,1.1169200417186533
261,4,1.1424599066376686
604,45,1.185043405475361
152,26,1.1733267403074674
411,54,1.11684344259889
546,54,1.1050102476562773
601,13,1.0935798339279634
